ORDER_ID,PART_ID,SUPPLIER_ID,WAREHOUSE_ID,ORDER_DATE,PROMISED_DATE,ACTUAL_DATE,ORDER_QTY,RECEIVED_QTY,UNIT_COST_KRW,ORDER_AMOUNT_KRW,DELAY_DAYS,ORDER_TYPE,STATUS
ORD000022,PT026,SUP010,WH003,2022-01-05,2022-01-08,2022-01-08,12600,12600,3470,43722000,0,REGULAR,DELIVERED
ORD000023,PT026,SUP010,WH004,2022-01-05,2022-01-08,2022-01-10,10400,10400,3363,34975200,0,BLANKET,DELIVERED
ORD000024,PT004,SUP007,WH003,2022-01-06,2022-01-13,2022-01-15,62,62,608513,37727806,0,EMERGENCY,DELIVERED
ORD000025,PT010,SUP003,WH004,2022-01-06,2022-01-20,2022-01-22,42,42,959843,40313406,0,BLANKET,DELIVERED
ORD000026,PT012,SUP010,WH004,2022-01-06,2022-01-11,2022-01-14,2040,2040,12528,25557120,0,REGULAR,DELIVERED
ORD000027,PT028,SUP010,WH002,2022-01-06,2022-01-11,2022-01-11,26850,26850,5759,154629150,0,REGULAR,DELIVERED
ORD000028,PT004,SUP007,WH003,2022-01-07,2022-01-14,2022-01-24,66,66,646351,42659166,10,EMERGENCY,DELAYED
ORD000029,PT020,SUP006,WH003,2022-01-07,2022-01-14,2022-01-15,810,810,41743,33811830,0,REGULAR,DELIVERED
ORD000030,PT021,SUP008,WH003,2022-01-07,2022-01-21,2022-01-26,408,408,191832,78267456,0,REGULAR,DELIVERED
ORD000031,PT024,SUP009,WH004,2022-01-07,2022-01-09,2022-02-05,4700,4700,8204,38558800,27,EMERGENCY,DELAYED
ORD000032,PT006,SUP002,WH003,2022-01-08,2022-01-13,2022-01-14,116,116,222108,25764528,0,EMERGENCY,DELIVERED
ORD000033,PT014,SUP005,WH007,2022-01-08,2022-01-15,2022-01-22,190,190,66072,12553680,0,BLANKET,DELIVERED
ORD000034,PT024,SUP009,WH008,2022-01-08,2022-01-13,2022-01-31,2900,2900,8787,25482300,18,BLANKET,DELAYED
ORD000035,PT005,SUP004,WH001,2022-01-09,2022-01-23,2022-01-28,188,188,388135,72969380,0,REGULAR,DELIVERED
ORD000036,PT027,SUP009,WH007,2022-01-09,2022-01-10,2022-01-11,7800,7800,771,6013800,0,EMERGENCY,DELIVERED
ORD000037,PT010,SUP003,WH003,2022-01-10,2022-01-24,2022-01-24,71,71,935270,66404170,0,REGULAR,DELIVERED
ORD000038,PT011,SUP010,WH001,2022-01-10,2022-01-17,2022-01-19,4540,4540,18699,84893460,0,BLANKET,DELIVERED
ORD000039,PT014,SUP005,WH003,2022-01-10,2022-01-17,2022-01-17,600,600,64394,38636400,0,REGULAR,DELIVERED
ORD000040,PT017,SUP005,WH003,2022-01-10,2022-01-17,2022-01-19,928,928,46989,43605792,0,REGULAR,DELIVERED
ORD000041,PT020,SUP006,WH007,2022-01-10,2022-01-13,2022-01-17,170,170,40034,6805780,0,EMERGENCY,DELIVERED
ORD000042,PT021,SUP008,WH008,2022-01-10,2022-01-17,2022-02-10,188,188,194171,36504148,24,EMERGENCY,DELAYED
ORD000043,PT022,SUP005,WH007,2022-01-10,2022-01-15,,112,0,67349,7543088,0,EMERGENCY,CANCELLED
ORD000044,PT001,SUP001,WH006,2022-01-11,2022-01-25,2022-01-25,11,11,1870700,20577700,0,REGULAR,DELIVERED
ORD000045,PT004,SUP007,WH003,2022-01-11,2022-01-25,2022-02-09,68,68,643781,43777108,15,REGULAR,DELAYED
ORD000046,PT017,SUP005,WH008,2022-01-11,2022-01-18,,528,0,46115,24348720,0,BLANKET,CANCELLED
ORD000047,PT019,SUP003,WH007,2022-01-11,2022-01-18,2022-01-21,180,180,52853,9513540,0,REGULAR,DELIVERED
ORD000048,PT002,SUP004,WH006,2022-01-12,2022-02-02,2022-02-04,6,6,2077891,12467346,0,REGULAR,DELIVERED
ORD000049,PT004,SUP007,WH004,2022-01-12,2022-01-26,2022-02-06,74,74,604199,44710726,11,REGULAR,DELAYED
ORD000050,PT011,SUP010,WH006,2022-01-12,2022-01-19,2022-01-29,540,418,17530,9466200,10,BLANKET,PARTIAL
ORD000051,PT015,SUP010,WH002,2022-01-12,2022-01-19,2022-01-21,2230,2230,23019,51332370,0,BLANKET,DELIVERED
ORD000052,PT021,SUP008,WH001,2022-01-12,2022-01-19,2022-01-22,950,950,183163,174004850,0,EMERGENCY,DELIVERED
ORD000053,PT010,SUP003,WH004,2022-01-13,2022-01-27,2022-01-27,50,50,967996,48399800,0,REGULAR,DELIVERED
ORD000054,PT023,SUP010,WH003,2022-01-13,2022-01-16,2022-01-18,17300,17300,1506,26053800,0,REGULAR,DELIVERED
ORD000055,PT023,SUP010,WH005,2022-01-13,2022-01-14,2022-01-17,17000,17000,1486,25262000,0,EMERGENCY,DELIVERED
ORD000056,PT007,SUP001,WH003,2022-01-14,2022-02-01,2022-02-02,44,44,499108,21960752,0,REGULAR,DELIVERED
ORD000057,PT016,SUP002,WH008,2022-01-14,2022-01-24,2022-01-24,164,164,96062,15754168,0,REGULAR,DELIVERED
ORD000058,PT029,SUP009,WH001,2022-01-14,2022-01-17,2022-01-24,37900,37900,4574,173354600,0,REGULAR,DELIVERED
ORD000059,PT001,SUP001,WH005,2022-01-15,2022-01-22,2022-01-26,20,20,1741346,34826920,0,EMERGENCY,DELIVERED
ORD000060,PT014,SUP005,WH003,2022-01-15,2022-01-22,2022-01-27,910,910,62177,56581070,0,BLANKET,DELIVERED
ORD000061,PT018,SUP002,WH008,2022-01-15,2022-01-22,2022-01-22,308,308,77180,23771440,0,REGULAR,DELIVERED
ORD000062,PT001,SUP001,WH005,2022-01-16,2022-01-30,2022-02-01,26,26,1834397,47694322,0,REGULAR,DELIVERED
ORD000063,PT018,SUP002,WH002,2022-01-16,2022-01-23,2022-01-31,1616,1616,75553,122093648,8,REGULAR,DELAYED
ORD000064,PT018,SUP002,WH001,2022-01-17,2022-01-24,2022-01-27,1972,1972,77750,153323000,0,BLANKET,DELIVERED
ORD000065,PT015,SUP010,WH007,2022-01-18,2022-01-25,2022-02-04,180,180,22799,4103820,10,BLANKET,DELAYED
ORD000066,PT018,SUP002,WH003,2022-01-18,2022-01-21,2022-01-22,952,952,74213,70650776,0,EMERGENCY,DELIVERED
ORD000067,PT021,SUP008,WH004,2022-01-18,2022-02-01,2022-02-24,404,404,186450,75325800,23,BLANKET,DELAYED
ORD000068,PT023,SUP010,WH006,2022-01-18,2022-01-19,2022-01-22,8200,8200,1542,12644400,0,EMERGENCY,DELIVERED
ORD000069,PT030,SUP010,WH002,2022-01-20,2022-01-23,2022-01-25,37600,37600,2101,78997600,0,REGULAR,DELIVERED
ORD000070,PT016,SUP002,WH001,2022-01-21,2022-01-31,2022-02-02,1400,1400,94133,131786200,0,REGULAR,DELIVERED
ORD000071,PT022,SUP005,WH001,2022-01-21,2022-01-31,2022-02-04,1480,1480,64784,95880320,0,REGULAR,DELIVERED
ORD000072,PT008,SUP007,WH003,2022-01-22,2022-02-05,2022-02-10,70,70,329579,23070530,0,REGULAR,DELIVERED
ORD000073,PT025,SUP009,WH007,2022-01-22,2022-01-27,2022-01-30,2850,2850,12070,34399500,0,REGULAR,DELIVERED
ORD000074,PT007,SUP001,WH006,2022-01-23,2022-02-01,2022-02-04,24,24,492214,11813136,0,EMERGENCY,DELIVERED
ORD000075,PT012,SUP010,WH001,2022-01-23,2022-01-28,2022-01-29,7000,7000,12274,85918000,0,REGULAR,DELIVERED
ORD000076,PT013,SUP003,WH006,2022-01-23,2022-01-28,2022-01-31,440,440,7781,3423640,0,REGULAR,DELIVERED
ORD000077,PT016,SUP002,WH004,2022-01-23,2022-01-28,2022-01-30,388,388,92923,36054124,0,EMERGENCY,DELIVERED
ORD000078,PT017,SUP005,WH005,2022-01-23,2022-01-30,2022-02-02,456,456,48742,22226352,0,REGULAR,DELIVERED
ORD000079,PT028,SUP010,WH007,2022-01-23,2022-01-28,2022-01-31,1800,1800,6299,11338200,0,REGULAR,DELIVERED
ORD000080,PT005,SUP004,WH006,2022-01-24,2022-02-07,2022-02-21,36,36,379225,13652100,14,REGULAR,DELAYED
ORD000081,PT024,SUP009,WH002,2022-01-24,2022-01-26,2022-01-28,15250,15250,8593,131043250,0,EMERGENCY,DELIVERED
ORD000082,PT029,SUP009,WH007,2022-01-24,2022-01-27,,3400,0,4392,14932800,0,REGULAR,CANCELLED
ORD000083,PT029,SUP009,WH004,2022-01-25,2022-01-28,2022-01-31,14700,14700,4536,66679200,0,REGULAR,DELIVERED
ORD000084,PT016,SUP002,WH003,2022-01-26,2022-01-31,2022-02-03,472,472,95881,45255832,0,EMERGENCY,DELIVERED
ORD000085,PT017,SUP005,WH002,2022-01-27,2022-02-03,2022-02-04,1368,1368,46640,63803520,0,REGULAR,DELIVERED
ORD000086,PT023,SUP010,WH001,2022-01-27,2022-01-30,2022-02-01,51500,51500,1548,79722000,0,BLANKET,DELIVERED
ORD000087,PT004,SUP007,WH006,2022-01-28,2022-02-11,2022-02-14,22,22,616839,13570458,0,REGULAR,DELIVERED
ORD000088,PT002,SUP004,WH001,2022-01-29,2022-02-19,2022-02-21,44,44,2034735,89528340,0,REGULAR,DELIVERED
ORD000089,PT013,SUP003,WH003,2022-01-29,2022-01-31,,1700,0,7773,13214100,0,EMERGENCY,CANCELLED
ORD000090,PT015,SUP010,WH007,2022-01-29,2022-02-01,2022-02-04,210,210,22144,4650240,0,EMERGENCY,DELIVERED
ORD000091,PT021,SUP008,WH008,2022-01-29,2022-02-12,,202,0,191415,38665830,0,REGULAR,CANCELLED
ORD000092,PT007,SUP001,WH004,2022-01-30,2022-02-08,,40,0,499840,19993600,0,EMERGENCY,CANCELLED
ORD000093,PT019,SUP003,WH005,2022-01-30,2022-02-06,2022-02-09,550,550,55301,30415550,0,REGULAR,DELIVERED
ORD000094,PT024,SUP009,WH003,2022-01-30,2022-02-04,2022-02-07,6050,6050,8117,49107850,0,REGULAR,DELIVERED
ORD000095,PT001,SUP001,WH003,2022-01-31,2022-02-14,2022-02-15,33,33,1717421,56674893,0,REGULAR,DELIVERED
ORD000096,PT005,SUP004,WH001,2022-01-31,2022-02-14,2022-02-22,240,240,387642,93034080,8,REGULAR,DELAYED
ORD000097,PT008,SUP007,WH005,2022-01-31,2022-02-14,2022-02-27,56,56,309763,17346728,13,BLANKET,DELAYED
ORD000098,PT017,SUP005,WH003,2022-01-31,2022-02-07,2022-02-10,904,904,47745,43161480,0,BLANKET,DELIVERED
ORD000099,PT020,SUP006,WH002,2022-01-31,2022-02-07,2022-02-08,1600,1600,40835,65336000,0,BLANKET,DELIVERED
ORD000100,PT007,SUP001,WH001,2022-02-01,2022-02-19,2022-02-19,156,156,464190,72413640,0,BLANKET,DELIVERED
ORD000101,PT012,SUP010,WH007,2022-02-01,2022-02-06,2022-02-08,400,400,11479,4591600,0,REGULAR,DELIVERED
ORD000102,PT019,SUP003,WH007,2022-02-01,2022-02-08,2022-02-11,120,120,56998,6839760,0,REGULAR,DELIVERED
ORD000103,PT020,SUP006,WH002,2022-02-01,2022-02-08,2022-02-23,1100,1100,40147,44161700,15,REGULAR,DELAYED
ORD000104,PT029,SUP009,WH006,2022-02-01,2022-02-04,2022-03-05,3700,3700,4637,17156900,29,REGULAR,DELAYED
ORD000105,PT006,SUP002,WH005,2022-02-02,2022-02-12,2022-02-15,80,80,219705,17576400,0,BLANKET,DELIVERED
ORD000106,PT011,SUP010,WH007,2022-02-02,2022-02-09,2022-02-12,360,360,18778,6760080,0,REGULAR,DELIVERED
ORD000107,PT013,SUP003,WH004,2022-02-02,2022-02-07,2022-02-07,1220,1220,7604,9276880,0,REGULAR,DELIVERED
ORD000108,PT024,SUP009,WH008,2022-02-02,2022-02-07,2022-03-05,2950,2950,8114,23936300,26,BLANKET,DELAYED
ORD000109,PT025,SUP009,WH006,2022-02-02,2022-02-07,2022-02-13,2750,2750,12494,34358500,0,REGULAR,DELIVERED
ORD000110,PT027,SUP009,WH003,2022-02-02,2022-02-05,2022-02-11,23400,23400,810,18954000,0,BLANKET,DELIVERED
ORD000111,PT002,SUP004,WH005,2022-02-03,2022-02-13,2022-02-18,16,16,2036212,32579392,0,EMERGENCY,DELIVERED
ORD000112,PT030,SUP010,WH004,2022-02-04,2022-02-05,2022-02-05,27800,27800,2138,59436400,0,EMERGENCY,DELIVERED
ORD000113,PT009,SUP001,WH006,2022-02-05,2022-02-10,2022-02-12,28,28,255877,7164556,0,EMERGENCY,DELIVERED
ORD000114,PT012,SUP010,WH004,2022-02-05,2022-02-10,2022-02-12,2500,2500,11994,29985000,0,REGULAR,DELIVERED
ORD000115,PT023,SUP010,WH007,2022-02-05,2022-02-06,2022-02-07,4000,4000,1458,5832000,0,EMERGENCY,DELIVERED
ORD000116,PT001,SUP001,WH004,2022-02-06,2022-02-13,2022-02-13,23,23,1820723,41876629,0,EMERGENCY,DELIVERED
ORD000117,PT002,SUP004,WH002,2022-02-06,2022-02-27,2022-03-04,40,40,2012931,80517240,0,BLANKET,DELIVERED
ORD000118,PT006,SUP002,WH005,2022-02-06,2022-02-16,2022-02-22,112,112,225907,25301584,0,REGULAR,DELIVERED
ORD000119,PT003,SUP006,WH003,2022-02-07,2022-02-25,,48,0,889330,42687840,0,REGULAR,CANCELLED
ORD000120,PT010,SUP003,WH002,2022-02-07,2022-02-21,2022-02-21,95,95,910697,86516215,0,REGULAR,DELIVERED
ORD000121,PT020,SUP006,WH002,2022-02-07,2022-02-14,2022-02-22,1720,1720,40234,69202480,8,REGULAR,DELAYED
ORD000122,PT026,SUP010,WH007,2022-02-07,2022-02-10,2022-02-17,3800,3800,3495,13281000,0,REGULAR,DELIVERED
ORD000123,PT014,SUP005,WH004,2022-02-09,2022-02-16,2022-03-03,490,490,63214,30974860,15,REGULAR,DELAYED
ORD000124,PT023,SUP010,WH001,2022-02-10,2022-02-13,2022-02-13,56800,56800,1537,87301600,0,REGULAR,DELIVERED
ORD000125,PT003,SUP006,WH005,2022-02-11,2022-03-01,2022-03-01,24,24,883644,21207456,0,REGULAR,DELIVERED
ORD000126,PT006,SUP002,WH002,2022-02-11,2022-02-21,2022-02-24,192,192,213355,40964160,0,REGULAR,DELIVERED
ORD000127,PT022,SUP005,WH001,2022-02-11,2022-02-21,2022-02-26,1560,1560,69491,108405960,0,REGULAR,DELIVERED
ORD000128,PT024,SUP009,WH005,2022-02-11,2022-02-16,2022-03-05,5550,4202,8747,48545850,17,REGULAR,PARTIAL
ORD000129,PT016,SUP002,WH004,2022-02-12,2022-02-22,2022-02-22,332,332,93910,31178120,0,REGULAR,DELIVERED
ORD000130,PT018,SUP002,WH003,2022-02-12,2022-02-19,2022-02-19,828,828,78554,65042712,0,REGULAR,DELIVERED
ORD000131,PT024,SUP009,WH008,2022-02-12,2022-02-17,2022-02-23,2800,2800,8713,24396400,0,REGULAR,DELIVERED
ORD000132,PT005,SUP004,WH006,2022-02-13,2022-02-27,2022-03-04,36,36,398751,14355036,0,BLANKET,DELIVERED
ORD000133,PT010,SUP003,WH003,2022-02-13,2022-02-27,2022-02-27,56,56,965390,54061840,0,REGULAR,DELIVERED
ORD000134,PT015,SUP010,WH007,2022-02-13,2022-02-20,2022-02-20,170,170,22299,3790830,0,REGULAR,DELIVERED
ORD000135,PT024,SUP009,WH006,2022-02-13,2022-02-18,2022-02-19,2050,2050,8269,16951450,0,BLANKET,DELIVERED
ORD000136,PT025,SUP009,WH003,2022-02-13,2022-02-15,2022-02-17,10750,10750,12274,131945500,0,EMERGENCY,DELIVERED
ORD000137,PT029,SUP009,WH003,2022-02-13,2022-02-16,2022-03-02,10000,10000,4616,46160000,14,REGULAR,DELAYED
ORD000138,PT005,SUP004,WH002,2022-02-14,2022-02-28,2022-03-01,188,188,377807,71027716,0,REGULAR,DELIVERED
ORD000139,PT011,SUP010,WH001,2022-02-14,2022-02-21,2022-02-23,3960,3960,17158,67945680,0,REGULAR,DELIVERED
ORD000140,PT023,SUP010,WH004,2022-02-14,2022-02-17,2022-02-18,17400,17400,1493,25978200,0,REGULAR,DELIVERED
ORD000141,PT027,SUP009,WH006,2022-02-14,2022-02-17,2022-02-18,8200,8200,803,6584600,0,REGULAR,DELIVERED
ORD000142,PT029,SUP009,WH002,2022-02-14,2022-02-17,2022-02-24,26200,26200,4413,115620600,0,BLANKET,DELIVERED
ORD000143,PT005,SUP004,WH001,2022-02-15,2022-02-22,2022-02-25,200,200,366612,73322400,0,EMERGENCY,DELIVERED
ORD000144,PT013,SUP003,WH004,2022-02-15,2022-02-17,,1320,0,7933,10471560,0,EMERGENCY,CANCELLED
ORD000145,PT019,SUP003,WH008,2022-02-15,2022-02-22,2022-02-22,220,220,54635,12019700,0,REGULAR,DELIVERED
ORD000146,PT021,SUP008,WH005,2022-02-15,2022-02-22,2022-03-17,318,318,183320,58295760,23,EMERGENCY,DELAYED
ORD000147,PT011,SUP010,WH008,2022-02-16,2022-02-23,2022-02-24,860,860,18028,15504080,0,REGULAR,DELIVERED
ORD000148,PT026,SUP010,WH001,2022-02-16,2022-02-17,2022-02-19,37600,37600,3420,128592000,0,EMERGENCY,DELIVERED
ORD000149,PT023,SUP010,WH003,2022-02-17,2022-02-20,2022-02-23,17600,17600,1454,25590400,0,REGULAR,DELIVERED
ORD000150,PT029,SUP009,WH003,2022-02-17,2022-02-20,2022-02-25,14900,14900,4673,69627700,0,BLANKET,DELIVERED
ORD000151,PT030,SUP010,WH004,2022-02-17,2022-02-20,2022-02-20,26000,26000,2186,56836000,0,REGULAR,DELIVERED
ORD000152,PT008,SUP007,WH003,2022-02-18,2022-03-04,2022-03-07,72,72,304600,21931200,0,BLANKET,DELIVERED
ORD000153,PT011,SUP010,WH008,2022-02-18,2022-02-21,,1140,0,17655,20126700,0,EMERGENCY,CANCELLED
ORD000154,PT012,SUP010,WH005,2022-02-18,2022-02-23,2022-02-23,1560,1560,11647,18169320,0,REGULAR,DELIVERED
ORD000155,PT012,SUP010,WH007,2022-02-18,2022-02-23,2022-02-26,500,500,12288,6144000,0,REGULAR,DELIVERED
ORD000156,PT014,SUP005,WH001,2022-02-18,2022-02-25,2022-03-01,1940,1940,64123,124398620,0,REGULAR,DELIVERED
ORD000157,PT018,SUP002,WH004,2022-02-18,2022-02-21,2022-02-23,452,452,74281,33575012,0,EMERGENCY,DELIVERED
ORD000158,PT024,SUP009,WH004,2022-02-18,2022-02-20,2022-02-25,4900,4900,8338,40856200,0,EMERGENCY,DELIVERED
ORD000159,PT019,SUP003,WH002,2022-02-19,2022-02-26,2022-03-01,1320,1320,53887,71130840,0,REGULAR,DELIVERED
ORD000160,PT006,SUP002,WH006,2022-02-20,2022-03-02,2022-03-02,52,52,212508,11050416,0,BLANKET,DELIVERED
ORD000161,PT009,SUP001,WH002,2022-02-20,2022-03-02,2022-03-05,216,216,251114,54240624,0,REGULAR,DELIVERED
ORD000162,PT011,SUP010,WH006,2022-02-20,2022-02-27,2022-03-01,700,700,17980,12586000,0,BLANKET,DELIVERED
ORD000163,PT026,SUP010,WH006,2022-02-21,2022-02-22,2022-02-22,5000,5000,3474,17370000,0,EMERGENCY,DELIVERED
ORD000164,PT027,SUP009,WH001,2022-02-21,2022-02-24,2022-02-28,67800,67800,798,54104400,0,REGULAR,DELIVERED
ORD000165,PT006,SUP002,WH003,2022-02-22,2022-03-04,2022-03-06,192,192,218107,41876544,0,REGULAR,DELIVERED
ORD000166,PT010,SUP003,WH002,2022-02-22,2022-03-08,2022-03-08,111,111,975498,108280278,0,REGULAR,DELIVERED
ORD000167,PT011,SUP010,WH005,2022-02-22,2022-03-01,2022-03-01,1420,1420,17260,24509200,0,REGULAR,DELIVERED
ORD000168,PT021,SUP008,WH001,2022-02-22,2022-03-08,2022-03-12,828,828,179730,148816440,0,BLANKET,DELIVERED
ORD000169,PT012,SUP010,WH007,2022-02-23,2022-02-28,2022-03-04,520,520,11960,6219200,0,BLANKET,DELIVERED
ORD000170,PT018,SUP002,WH001,2022-02-23,2022-03-02,2022-03-04,2188,2188,77637,169869756,0,BLANKET,DELIVERED
ORD000171,PT025,SUP009,WH002,2022-02-23,2022-02-28,2022-03-19,13150,13150,12556,165111400,19,REGULAR,DELAYED
ORD000172,PT025,SUP009,WH002,2022-02-23,2022-02-28,2022-03-06,14050,14050,11495,161504750,0,BLANKET,DELIVERED
ORD000173,PT013,SUP003,WH002,2022-02-25,2022-03-02,2022-03-05,3220,3220,8141,26214020,0,REGULAR,DELIVERED
ORD000174,PT002,SUP004,WH004,2022-02-26,2022-03-19,2022-04-01,25,21,2012930,50323250,13,BLANKET,PARTIAL
ORD000175,PT003,SUP006,WH004,2022-02-26,2022-03-16,2022-03-21,50,50,855345,42767250,0,REGULAR,DELIVERED
ORD000176,PT006,SUP002,WH005,2022-02-26,2022-03-08,2022-03-11,92,92,217620,20021040,0,BLANKET,DELIVERED
ORD000177,PT010,SUP003,WH004,2022-02-26,2022-03-12,2022-03-16,33,33,908654,29985582,0,REGULAR,DELIVERED
ORD000178,PT029,SUP009,WH002,2022-02-26,2022-03-01,2022-03-13,17000,17000,4710,80070000,12,REGULAR,DELAYED
ORD000179,PT001,SUP001,WH005,2022-02-27,2022-03-13,2022-03-23,30,30,1855131,55653930,10,REGULAR,DELAYED
ORD000180,PT013,SUP003,WH008,2022-02-27,2022-03-04,2022-03-06,760,760,8332,6332320,0,REGULAR,DELIVERED
ORD000181,PT016,SUP002,WH001,2022-02-28,2022-03-10,2022-03-10,1108,1108,98258,108869864,0,REGULAR,DELIVERED
ORD000182,PT004,SUP007,WH001,2022-03-01,2022-03-15,2022-03-18,140,140,637000,89180000,0,REGULAR,DELIVERED
ORD000183,PT019,SUP003,WH002,2022-03-01,2022-03-04,2022-03-06,880,880,55944,49230720,0,EMERGENCY,DELIVERED
ORD000184,PT021,SUP008,WH007,2022-03-01,2022-03-15,2022-04-05,112,112,187937,21048944,21,REGULAR,DELAYED
ORD000185,PT024,SUP009,WH006,2022-03-01,2022-03-03,2022-03-10,2200,2200,8780,19316000,0,EMERGENCY,DELIVERED
ORD000186,PT025,SUP009,WH006,2022-03-01,2022-03-06,2022-03-10,4050,4050,12280,49734000,0,BLANKET,DELIVERED
ORD000187,PT027,SUP009,WH007,2022-03-01,2022-03-04,2022-03-06,6200,6200,832,5158400,0,REGULAR,DELIVERED
ORD000188,PT029,SUP009,WH003,2022-03-01,2022-03-04,2022-03-22,15600,15600,4638,72352800,18,REGULAR,DELAYED
ORD000189,PT004,SUP007,WH005,2022-03-02,2022-03-09,2022-03-09,60,60,635357,38121420,0,EMERGENCY,DELIVERED
ORD000190,PT010,SUP003,WH003,2022-03-02,2022-03-16,2022-03-19,39,39,977018,38103702,0,BLANKET,DELIVERED
ORD000191,PT014,SUP005,WH004,2022-03-02,2022-03-05,2022-03-05,450,450,66107,29748150,0,EMERGENCY,DELIVERED
ORD000192,PT029,SUP009,WH005,2022-03-02,2022-03-05,2022-03-08,11100,11100,4577,50804700,0,REGULAR,DELIVERED
ORD000193,PT005,SUP004,WH006,2022-03-03,2022-03-17,2022-03-18,40,40,389273,15570920,0,REGULAR,DELIVERED
ORD000194,PT006,SUP002,WH006,2022-03-03,2022-03-13,2022-03-16,48,48,223819,10743312,0,REGULAR,DELIVERED
ORD000195,PT008,SUP007,WH001,2022-03-03,2022-03-17,2022-03-18,182,182,312447,56865354,0,BLANKET,DELIVERED
ORD000196,PT009,SUP001,WH006,2022-03-03,2022-03-13,2022-03-15,32,32,255612,8179584,0,REGULAR,DELIVERED
ORD000197,PT011,SUP010,WH003,2022-03-03,2022-03-06,2022-03-06,2180,2180,18422,40159960,0,EMERGENCY,DELIVERED
ORD000198,PT023,SUP010,WH002,2022-03-03,2022-03-06,2022-03-08,32600,32600,1440,46944000,0,REGULAR,DELIVERED
ORD000199,PT003,SUP006,WH005,2022-03-04,2022-03-22,2022-03-25,40,40,850948,34037920,0,REGULAR,DELIVERED
ORD000200,PT007,SUP001,WH004,2022-03-04,2022-03-22,2022-03-23,54,54,476037,25705998,0,REGULAR,DELIVERED
ORD000201,PT008,SUP007,WH001,2022-03-04,2022-03-18,2022-03-22,206,206,314964,64882584,0,REGULAR,DELIVERED
ORD000202,PT003,SUP006,WH006,2022-03-05,2022-03-23,2022-03-25,22,22,836311,18398842,0,REGULAR,DELIVERED
ORD000203,PT006,SUP002,WH002,2022-03-05,2022-03-15,2022-03-23,224,127,213054,47724096,8,REGULAR,PARTIAL
ORD000204,PT027,SUP009,WH004,2022-03-05,2022-03-08,2022-03-20,20400,20400,774,15789600,12,REGULAR,DELAYED
ORD000205,PT001,SUP001,WH004,2022-03-06,2022-03-20,2022-03-21,33,33,1841714,60776562,0,BLANKET,DELIVERED
