DEMAND_ID,PART_ID,WAREHOUSE_ID,YEAR_MONTH,DEMAND_TYPE_ACTUAL,DEMAND_QTY,FORECAST_QTY,FORECAST_ERROR_PCT,UNIT_COST_KRW,DEMAND_AMOUNT_KRW
DMD000034,PT006,WH004,2022-01,REGULAR,34,37,8.82,220000,7480000
DMD000035,PT006,WH005,2022-01,REGULAR,31,,,220000,6820000
DMD000036,PT006,WH006,2022-01,REGULAR,17,,,220000,3740000
DMD000037,PT007,WH001,2022-01,REGULAR,0,0,,480000,0
DMD000038,PT007,WH002,2022-01,REGULAR,0,0,,480000,0
DMD000039,PT007,WH003,2022-01,REGULAR,0,0,,480000,0
DMD000040,PT007,WH004,2022-01,REGULAR,0,0,,480000,0
DMD000041,PT007,WH005,2022-01,REGULAR,0,0,,480000,0
DMD000042,PT007,WH006,2022-01,REGULAR,8,7,12.5,480000,3840000
DMD000043,PT008,WH001,2022-01,REGULAR,0,0,,320000,0
DMD000044,PT008,WH002,2022-01,REGULAR,0,,,320000,0
DMD000045,PT008,WH003,2022-01,EMERGENCY,26,28,7.69,320000,8320000
DMD000046,PT008,WH004,2022-01,REGULAR,0,0,,320000,0
DMD000047,PT008,WH005,2022-01,REGULAR,0,0,,320000,0
DMD000048,PT008,WH006,2022-01,REGULAR,0,0,,320000,0
DMD000049,PT009,WH001,2022-01,REGULAR,0,,,250000,0
DMD000050,PT009,WH002,2022-01,REGULAR,0,0,,250000,0
DMD000051,PT009,WH006,2022-01,AS,20,17,15.0,250000,5000000
DMD000052,PT009,WH007,2022-01,REGULAR,0,0,,250000,0
DMD000053,PT010,WH001,2022-01,REGULAR,67,65,2.99,950000,63650000
DMD000054,PT010,WH002,2022-01,REGULAR,51,50,1.96,950000,48450000
DMD000055,PT010,WH003,2022-01,REGULAR,32,,,950000,30400000
DMD000056,PT010,WH004,2022-01,REGULAR,26,29,11.54,950000,24700000
DMD000057,PT010,WH005,2022-01,REGULAR,20,18,10.0,950000,19000000
DMD000058,PT010,WH006,2022-01,REGULAR,9,10,11.11,950000,8550000
DMD000059,PT011,WH001,2022-01,REGULAR,760,742,2.37,18000,13680000
DMD000060,PT011,WH002,2022-01,REGULAR,593,631,6.41,18000,10674000
DMD000061,PT011,WH003,2022-01,REGULAR,310,317,2.26,18000,5580000
DMD000062,PT011,WH004,2022-01,REGULAR,264,,,18000,4752000
DMD000063,PT011,WH005,2022-01,REGULAR,216,193,10.65,18000,3888000
DMD000064,PT011,WH006,2022-01,REGULAR,98,,,18000,1764000
DMD000065,PT011,WH007,2022-01,REGULAR,74,65,12.16,18000,1332000
DMD000066,PT011,WH008,2022-01,REGULAR,136,140,2.94,18000,2448000
DMD000067,PT012,WH001,2022-01,REGULAR,823,930,13.0,12000,9876000
DMD000068,PT012,WH002,2022-01,REGULAR,633,613,3.16,12000,7596000
DMD000069,PT012,WH003,2022-01,EMERGENCY,349,375,7.45,12000,4188000
DMD000070,PT012,WH004,2022-01,EMERGENCY,281,322,14.59,12000,3372000
DMD000071,PT012,WH005,2022-01,REGULAR,229,258,12.66,12000,2748000
DMD000072,PT012,WH006,2022-01,REGULAR,130,116,10.77,12000,1560000
DMD000073,PT012,WH007,2022-01,REGULAR,84,96,14.29,12000,1008000
DMD000074,PT012,WH008,2022-01,REGULAR,146,137,6.16,12000,1752000
DMD000075,PT013,WH001,2022-01,REGULAR,587,,,8000,4696000
DMD000076,PT013,WH002,2022-01,REGULAR,373,347,6.97,8000,2984000
DMD000077,PT013,WH003,2022-01,REGULAR,253,263,3.95,8000,2024000
DMD000078,PT013,WH004,2022-01,REGULAR,188,207,10.11,8000,1504000
DMD000079,PT013,WH005,2022-01,REGULAR,159,135,15.09,8000,1272000
DMD000080,PT013,WH006,2022-01,REGULAR,83,89,7.23,8000,664000
DMD000081,PT013,WH007,2022-01,EMERGENCY,53,,,8000,424000
DMD000082,PT013,WH008,2022-01,REGULAR,116,117,0.86,8000,928000
DMD000083,PT014,WH001,2022-01,REGULAR,274,,,65000,17810000
DMD000084,PT014,WH002,2022-01,REGULAR,194,211,8.76,65000,12610000
DMD000085,PT014,WH003,2022-01,REGULAR,131,121,7.63,65000,8515000
DMD000086,PT014,WH004,2022-01,REGULAR,99,96,3.03,65000,6435000
DMD000087,PT014,WH005,2022-01,REGULAR,75,83,10.67,65000,4875000
DMD000088,PT014,WH006,2022-01,REGULAR,43,36,16.28,65000,2795000
DMD000089,PT014,WH007,2022-01,REGULAR,26,28,7.69,65000,1690000
DMD000090,PT014,WH008,2022-01,REGULAR,57,61,7.02,65000,3705000
DMD000091,PT015,WH001,2022-01,REGULAR,257,235,8.56,22000,5654000
DMD000092,PT015,WH002,2022-01,REGULAR,178,193,8.43,22000,3916000
DMD000093,PT015,WH003,2022-01,REGULAR,97,,,22000,2134000
DMD000094,PT015,WH004,2022-01,REGULAR,90,84,6.67,22000,1980000
DMD000095,PT015,WH005,2022-01,REGULAR,70,70,0.0,22000,1540000
DMD000096,PT015,WH006,2022-01,REGULAR,33,29,12.12,22000,726000
DMD000097,PT015,WH007,2022-01,REGULAR,22,,,22000,484000
DMD000098,PT015,WH008,2022-01,REGULAR,50,51,2.0,22000,1100000
DMD000099,PT016,WH001,2022-01,REGULAR,175,162,7.43,95000,16625000
DMD000100,PT016,WH002,2022-01,REGULAR,121,122,0.83,95000,11495000
DMD000101,PT016,WH003,2022-01,EMERGENCY,84,80,4.76,95000,7980000
DMD000102,PT016,WH004,2022-01,REGULAR,65,61,6.15,95000,6175000
DMD000103,PT016,WH005,2022-01,REGULAR,56,52,7.14,95000,5320000
DMD000104,PT016,WH006,2022-01,REGULAR,26,23,11.54,95000,2470000
DMD000105,PT016,WH007,2022-01,REGULAR,19,21,10.53,95000,1805000
DMD000106,PT016,WH008,2022-01,REGULAR,34,28,17.65,95000,3230000
DMD000107,PT017,WH001,2022-01,REGULAR,310,324,4.52,48000,14880000
DMD000108,PT017,WH002,2022-01,REGULAR,233,231,0.86,48000,11184000
DMD000109,PT017,WH003,2022-01,REGULAR,150,,,48000,7200000
DMD000110,PT017,WH004,2022-01,REGULAR,110,104,5.45,48000,5280000
DMD000111,PT017,WH005,2022-01,REGULAR,99,90,9.09,48000,4752000
DMD000112,PT017,WH006,2022-01,REGULAR,42,41,2.38,48000,2016000
DMD000113,PT017,WH007,2022-01,REGULAR,28,29,3.57,48000,1344000
DMD000114,PT017,WH008,2022-01,REGULAR,65,60,7.69,48000,3120000
DMD000115,PT018,WH001,2022-01,REGULAR,227,245,7.93,78000,17706000
DMD000116,PT018,WH002,2022-01,REGULAR,186,,,78000,14508000
DMD000117,PT018,WH003,2022-01,REGULAR,113,,,78000,8814000
DMD000118,PT018,WH004,2022-01,REGULAR,94,102,8.51,78000,7332000
DMD000119,PT018,WH005,2022-01,REGULAR,82,93,13.41,78000,6396000
DMD000120,PT018,WH006,2022-01,REGULAR,38,38,0.0,78000,2964000
DMD000121,PT018,WH007,2022-01,REGULAR,25,26,4.0,78000,1950000
DMD000122,PT018,WH008,2022-01,REGULAR,47,48,2.13,78000,3666000
DMD000123,PT019,WH001,2022-01,EMERGENCY,225,209,7.11,55000,12375000
DMD000124,PT019,WH002,2022-01,REGULAR,161,152,5.59,55000,8855000
DMD000125,PT019,WH003,2022-01,REGULAR,93,98,5.38,55000,5115000
DMD000126,PT019,WH004,2022-01,REGULAR,71,71,0.0,55000,3905000
DMD000127,PT019,WH005,2022-01,REGULAR,63,70,11.11,55000,3465000
DMD000128,PT019,WH006,2022-01,REGULAR,35,37,5.71,55000,1925000
DMD000129,PT019,WH007,2022-01,REGULAR,20,21,5.0,55000,1100000
DMD000130,PT019,WH008,2022-01,REGULAR,49,52,6.12,55000,2695000
DMD000131,PT020,WH001,2022-01,REGULAR,275,251,8.73,42000,11550000
DMD000132,PT020,WH002,2022-01,REGULAR,183,192,4.92,42000,7686000
DMD000133,PT020,WH003,2022-01,REGULAR,113,100,11.5,42000,4746000
DMD000134,PT020,WH004,2022-01,EMERGENCY,85,86,1.18,42000,3570000
DMD000135,PT020,WH005,2022-01,REGULAR,83,,,42000,3486000
DMD000136,PT020,WH006,2022-01,REGULAR,36,32,11.11,42000,1512000
DMD000137,PT020,WH007,2022-01,REGULAR,28,30,7.14,42000,1176000
DMD000138,PT020,WH008,2022-01,EMERGENCY,51,,,42000,2142000
DMD000139,PT021,WH001,2022-01,REGULAR,90,85,5.56,185000,16650000
DMD000140,PT021,WH002,2022-01,REGULAR,71,76,7.04,185000,13135000
DMD000141,PT021,WH003,2022-01,REGULAR,38,,,185000,7030000
DMD000142,PT021,WH004,2022-01,REGULAR,29,29,0.0,185000,5365000
DMD000143,PT021,WH005,2022-01,REGULAR,28,25,10.71,185000,5180000
DMD000144,PT021,WH006,2022-01,REGULAR,14,,,185000,2590000
DMD000145,PT021,WH007,2022-01,EMERGENCY,9,,,185000,1665000
DMD000146,PT021,WH008,2022-01,REGULAR,17,19,11.76,185000,3145000
DMD000147,PT022,WH001,2022-01,REGULAR,125,,,68000,8500000
DMD000148,PT022,WH002,2022-01,REGULAR,92,,,68000,6256000
DMD000149,PT022,WH003,2022-01,REGULAR,57,50,12.28,68000,3876000
DMD000150,PT022,WH004,2022-01,REGULAR,44,43,2.27,68000,2992000
DMD000151,PT022,WH005,2022-01,REGULAR,36,39,8.33,68000,2448000
DMD000152,PT022,WH006,2022-01,REGULAR,16,16,0.0,68000,1088000
DMD000153,PT022,WH007,2022-01,REGULAR,12,12,0.0,68000,816000
DMD000154,PT022,WH008,2022-01,REGULAR,22,22,0.0,68000,1496000
DMD000155,PT023,WH001,2022-01,REGULAR,2665,2479,6.98,1500,3997500
DMD000156,PT023,WH002,2022-01,REGULAR,2158,,,1500,3237000
DMD000157,PT023,WH003,2022-01,REGULAR,1152,1190,3.3,1500,1728000
DMD000158,PT023,WH004,2022-01,REGULAR,855,773,9.59,1500,1282500
DMD000159,PT023,WH005,2022-01,REGULAR,858,955,11.31,1500,1287000
DMD000160,PT023,WH006,2022-01,REGULAR,386,,,1500,579000
DMD000161,PT023,WH007,2022-01,REGULAR,247,246,0.4,1500,370500
DMD000162,PT023,WH008,2022-01,REGULAR,560,558,0.36,1500,840000
DMD000163,PT024,WH001,2022-01,REGULAR,661,699,5.75,8500,5618500
DMD000164,PT024,WH002,2022-01,REGULAR,548,553,0.91,8500,4658000
DMD000165,PT024,WH003,2022-01,REGULAR,339,359,5.9,8500,2881500
DMD000166,PT024,WH004,2022-01,REGULAR,239,,,8500,2031500
DMD000167,PT024,WH005,2022-01,REGULAR,199,214,7.54,8500,1691500
DMD000168,PT024,WH006,2022-01,REGULAR,101,107,5.94,8500,858500
DMD000169,PT024,WH007,2022-01,REGULAR,72,63,12.5,8500,612000
DMD000170,PT024,WH008,2022-01,EMERGENCY,136,,,8500,1156000
DMD000171,PT025,WH001,2022-01,REGULAR,2718,3104,14.2,12000,32616000
DMD000172,PT025,WH002,2022-01,REGULAR,2104,,,12000,25248000
DMD000173,PT025,WH003,2022-01,REGULAR,1212,1238,2.15,12000,14544000
DMD000174,PT025,WH004,2022-01,EMERGENCY,933,,,12000,11196000
DMD000175,PT025,WH005,2022-01,REGULAR,881,966,9.65,12000,10572000
DMD000176,PT025,WH006,2022-01,REGULAR,370,320,13.51,12000,4440000
DMD000177,PT025,WH007,2022-01,REGULAR,273,313,14.65,12000,3276000
DMD000178,PT025,WH008,2022-01,REGULAR,568,617,8.63,12000,6816000
DMD000179,PT026,WH001,2022-01,REGULAR,1808,1776,1.77,3500,6328000
DMD000180,PT026,WH002,2022-01,REGULAR,1482,1535,3.58,3500,5187000
DMD000181,PT026,WH003,2022-01,REGULAR,848,773,8.84,3500,2968000
DMD000182,PT026,WH004,2022-01,REGULAR,650,,,3500,2275000
DMD000183,PT026,WH005,2022-01,REGULAR,494,,,3500,1729000
DMD000184,PT026,WH006,2022-01,REGULAR,275,252,8.36,3500,962500
DMD000185,PT026,WH007,2022-01,REGULAR,187,197,5.35,3500,654500
DMD000186,PT026,WH008,2022-01,REGULAR,380,398,4.74,3500,1330000
DMD000187,PT027,WH001,2022-01,REGULAR,4432,4628,4.42,800,3545600
DMD000188,PT027,WH002,2022-01,REGULAR,3595,,,800,2876000
DMD000189,PT027,WH003,2022-01,REGULAR,1947,1987,2.05,800,1557600
DMD000190,PT027,WH004,2022-01,REGULAR,1456,1543,5.98,800,1164800
DMD000191,PT027,WH005,2022-01,EMERGENCY,1350,1180,12.59,800,1080000
DMD000192,PT027,WH006,2022-01,REGULAR,665,615,7.52,800,532000
DMD000193,PT027,WH007,2022-01,REGULAR,491,502,2.24,800,392800
DMD000194,PT027,WH008,2022-01,EMERGENCY,989,920,6.98,800,791200
DMD000195,PT028,WH001,2022-01,KIT,1784,2006,12.44,6000,10704000
DMD000196,PT028,WH002,2022-01,KIT,1404,1231,12.32,6000,8424000
DMD000197,PT028,WH003,2022-01,KIT,851,807,5.17,6000,5106000
DMD000198,PT028,WH004,2022-01,KIT,714,724,1.4,6000,4284000
DMD000199,PT028,WH005,2022-01,KIT,511,496,2.94,6000,3066000
DMD000200,PT028,WH006,2022-01,KIT,282,274,2.84,6000,1692000
DMD000201,PT028,WH007,2022-01,KIT,193,208,7.77,6000,1158000
DMD000202,PT028,WH008,2022-01,KIT,406,430,5.91,6000,2436000
DMD000203,PT029,WH001,2022-01,KIT,2271,2038,10.26,4500,10219500
DMD000204,PT029,WH002,2022-01,KIT,1448,1627,12.36,4500,6516000
DMD000205,PT029,WH003,2022-01,KIT,1632,1738,6.5,4500,7344000
DMD000206,PT029,WH004,2022-01,KIT,847,781,7.79,4500,3811500
DMD000207,PT029,WH005,2022-01,KIT,743,827,11.31,4500,3343500
DMD000208,PT029,WH006,2022-01,KIT,358,404,12.85,4500,1611000
DMD000209,PT029,WH007,2022-01,KIT,205,210,2.44,4500,922500
DMD000210,PT029,WH008,2022-01,KIT,393,374,4.83,4500,1768500
DMD000211,PT030,WH001,2022-01,REGULAR,3631,3436,5.37,2200,7988200
DMD000212,PT030,WH002,2022-01,REGULAR,2806,2581,8.02,2200,6173200
DMD000213,PT030,WH003,2022-01,REGULAR,1472,1562,6.11,2200,3238400
DMD000214,PT030,WH004,2022-01,REGULAR,1231,1349,9.59,2200,2708200
DMD000215,PT030,WH005,2022-01,REGULAR,1078,,,2200,2371600
DMD000216,PT030,WH006,2022-01,REGULAR,549,610,11.11,2200,1207800
DMD000217,PT030,WH007,2022-01,REGULAR,361,385,6.65,2200,794200
DMD000218,PT030,WH008,2022-01,REGULAR,742,,,2200,1632400
DMD000219,PT001,WH001,2022-02,REGULAR,30,31,3.33,1800000,54000000
DMD000220,PT001,WH002,2022-02,REGULAR,40,37,7.5,1800000,72000000
DMD000221,PT001,WH003,2022-02,EMERGENCY,24,,,1800000,43200000
DMD000222,PT001,WH004,2022-02,REGULAR,19,20,5.26,1800000,34200000
DMD000223,PT001,WH005,2022-02,REGULAR,0,0,,1800000,0
DMD000224,PT001,WH006,2022-02,REGULAR,0,0,,1800000,0
DMD000225,PT002,WH001,2022-02,REGULAR,0,0,,2000000,0
DMD000226,PT002,WH002,2022-02,REGULAR,0,,,2000000,0
DMD000227,PT002,WH003,2022-02,REGULAR,0,0,,2000000,0
DMD000228,PT002,WH004,2022-02,REGULAR,0,,,2000000,0
DMD000229,PT002,WH005,2022-02,REGULAR,8,8,0.0,2000000,16000000
DMD000230,PT002,WH006,2022-02,REGULAR,0,0,,2000000,0
DMD000231,PT003,WH001,2022-02,REGULAR,0,0,,850000,0
DMD000232,PT003,WH002,2022-02,REGULAR,22,20,9.09,850000,18700000
DMD000233,PT003,WH003,2022-02,REGULAR,20,22,10.0,850000,17000000
DMD000234,PT003,WH004,2022-02,REGULAR,0,0,,850000,0
DMD000235,PT003,WH005,2022-02,REGULAR,0,0,,850000,0
DMD000236,PT003,WH006,2022-02,REGULAR,0,0,,850000,0
DMD000237,PT004,WH001,2022-02,REGULAR,0,0,,620000,0
DMD000238,PT004,WH002,2022-02,REGULAR,25,24,4.0,620000,15500000
DMD000239,PT004,WH003,2022-02,REGULAR,0,0,,620000,0
DMD000240,PT004,WH004,2022-02,REGULAR,0,0,,620000,0
DMD000241,PT004,WH005,2022-02,REGULAR,28,30,7.14,620000,17360000
DMD000242,PT004,WH006,2022-02,REGULAR,13,12,7.69,620000,8060000
DMD000243,PT005,WH001,2022-02,KIT,70,75,7.14,380000,26600000
DMD000244,PT005,WH002,2022-02,KIT,91,91,0.0,380000,34580000
DMD000245,PT005,WH003,2022-02,KIT,33,32,3.03,380000,12540000
DMD000246,PT005,WH004,2022-02,KIT,26,,,380000,9880000
DMD000247,PT005,WH005,2022-02,KIT,41,43,4.88,380000,15580000
DMD000248,PT005,WH006,2022-02,EMERGENCY,13,14,7.69,380000,4940000
DMD000249,PT006,WH001,2022-02,REGULAR,108,113,4.63,220000,23760000
DMD000250,PT006,WH002,2022-02,REGULAR,82,92,12.2,220000,18040000
DMD000251,PT006,WH003,2022-02,REGULAR,46,,,220000,10120000
DMD000252,PT006,WH004,2022-02,EMERGENCY,38,34,10.53,220000,8360000
DMD000253,PT006,WH005,2022-02,REGULAR,34,31,8.82,220000,7480000
DMD000254,PT006,WH006,2022-02,REGULAR,15,14,6.67,220000,3300000
DMD000255,PT007,WH001,2022-02,REGULAR,0,0,,480000,0
DMD000256,PT007,WH002,2022-02,REGULAR,0,0,,480000,0
DMD000257,PT007,WH003,2022-02,REGULAR,25,22,12.0,480000,12000000
DMD000258,PT007,WH004,2022-02,REGULAR,0,0,,480000,0
DMD000259,PT007,WH005,2022-02,REGULAR,8,7,12.5,480000,3840000
DMD000260,PT007,WH006,2022-02,REGULAR,4,4,0.0,480000,1920000
DMD000261,PT008,WH001,2022-02,REGULAR,0,0,,320000,0
DMD000262,PT008,WH002,2022-02,REGULAR,0,0,,320000,0
DMD000263,PT008,WH003,2022-02,REGULAR,46,39,15.22,320000,14720000
DMD000264,PT008,WH004,2022-02,REGULAR,0,,,320000,0
DMD000265,PT008,WH005,2022-02,REGULAR,0,,,320000,0
DMD000266,PT008,WH006,2022-02,REGULAR,8,8,0.0,320000,2560000
DMD000267,PT009,WH001,2022-02,REGULAR,0,0,,250000,0
DMD000268,PT009,WH002,2022-02,AS,48,,,250000,12000000
DMD000269,PT009,WH006,2022-02,REGULAR,0,0,,250000,0
DMD000270,PT009,WH007,2022-02,REGULAR,0,0,,250000,0
DMD000271,PT010,WH001,2022-02,EMERGENCY,57,,,950000,54150000
DMD000272,PT010,WH002,2022-02,REGULAR,47,50,6.38,950000,44650000
DMD000273,PT010,WH003,2022-02,REGULAR,28,24,14.29,950000,26600000
DMD000274,PT010,WH004,2022-02,REGULAR,22,,,950000,20900000
DMD000275,PT010,WH005,2022-02,REGULAR,19,18,5.26,950000,18050000
DMD000276,PT010,WH006,2022-02,REGULAR,8,7,12.5,950000,7600000
DMD000277,PT011,WH001,2022-02,REGULAR,718,626,12.81,18000,12924000
DMD000278,PT011,WH002,2022-02,REGULAR,551,,,18000,9918000
DMD000279,PT011,WH003,2022-02,REGULAR,332,314,5.42,18000,5976000
DMD000280,PT011,WH004,2022-02,REGULAR,253,261,3.16,18000,4554000
DMD000281,PT011,WH005,2022-02,REGULAR,224,234,4.46,18000,4032000
DMD000282,PT011,WH006,2022-02,REGULAR,112,110,1.79,18000,2016000
DMD000283,PT011,WH007,2022-02,REGULAR,69,67,2.9,18000,1242000
DMD000284,PT011,WH008,2022-02,REGULAR,141,135,4.26,18000,2538000
DMD000285,PT012,WH001,2022-02,REGULAR,878,,,12000,10536000
DMD000286,PT012,WH002,2022-02,REGULAR,558,,,12000,6696000
DMD000287,PT012,WH003,2022-02,REGULAR,387,397,2.58,12000,4644000
DMD000288,PT012,WH004,2022-02,REGULAR,273,,,12000,3276000
DMD000289,PT012,WH005,2022-02,REGULAR,251,278,10.76,12000,3012000
DMD000290,PT012,WH006,2022-02,REGULAR,132,126,4.55,12000,1584000
DMD000291,PT012,WH007,2022-02,REGULAR,76,69,9.21,12000,912000
DMD000292,PT012,WH008,2022-02,REGULAR,173,186,7.51,12000,2076000
DMD000293,PT013,WH001,2022-02,REGULAR,573,654,14.14,8000,4584000
DMD000294,PT013,WH002,2022-02,REGULAR,414,355,14.25,8000,3312000
DMD000295,PT013,WH003,2022-02,REGULAR,259,234,9.65,8000,2072000
DMD000296,PT013,WH004,2022-02,REGULAR,181,154,14.92,8000,1448000
DMD000297,PT013,WH005,2022-02,REGULAR,164,146,10.98,8000,1312000
DMD000298,PT013,WH006,2022-02,REGULAR,73,66,9.59,8000,584000
DMD000299,PT013,WH007,2022-02,REGULAR,52,55,5.77,8000,416000
DMD000300,PT013,WH008,2022-02,EMERGENCY,109,,,8000,872000
DMD000301,PT014,WH001,2022-02,REGULAR,251,264,5.18,65000,16315000
DMD000302,PT014,WH002,2022-02,REGULAR,209,205,1.91,65000,13585000
DMD000303,PT014,WH003,2022-02,REGULAR,127,,,65000,8255000
DMD000304,PT014,WH004,2022-02,REGULAR,90,89,1.11,65000,5850000
DMD000305,PT014,WH005,2022-02,EMERGENCY,73,75,2.74,65000,4745000
DMD000306,PT014,WH006,2022-02,REGULAR,38,33,13.16,65000,2470000
DMD000307,PT014,WH007,2022-02,REGULAR,26,,,65000,1690000
DMD000308,PT014,WH008,2022-02,REGULAR,50,53,6.0,65000,3250000
DMD000309,PT015,WH001,2022-02,REGULAR,298,259,13.09,22000,6556000
DMD000310,PT015,WH002,2022-02,REGULAR,190,,,22000,4180000
DMD000311,PT015,WH003,2022-02,REGULAR,135,137,1.48,22000,2970000
DMD000312,PT015,WH004,2022-02,EMERGENCY,96,,,22000,2112000
DMD000313,PT015,WH005,2022-02,REGULAR,81,83,2.47,22000,1782000
DMD000314,PT015,WH006,2022-02,REGULAR,45,,,22000,990000
DMD000315,PT015,WH007,2022-02,REGULAR,26,26,0.0,22000,572000
DMD000316,PT015,WH008,2022-02,REGULAR,53,50,5.66,22000,1166000
DMD000317,PT016,WH001,2022-02,REGULAR,180,,,95000,17100000
DMD000318,PT016,WH002,2022-02,REGULAR,145,154,6.21,95000,13775000
DMD000319,PT016,WH003,2022-02,REGULAR,86,76,11.63,95000,8170000
DMD000320,PT016,WH004,2022-02,REGULAR,64,66,3.12,95000,6080000
DMD000321,PT016,WH005,2022-02,REGULAR,56,60,7.14,95000,5320000
DMD000322,PT016,WH006,2022-02,REGULAR,26,26,0.0,95000,2470000
DMD000323,PT016,WH007,2022-02,REGULAR,18,18,0.0,95000,1710000
DMD000324,PT016,WH008,2022-02,REGULAR,32,30,6.25,95000,3040000
DMD000325,PT017,WH001,2022-02,REGULAR,287,270,5.92,48000,13776000
DMD000326,PT017,WH002,2022-02,REGULAR,215,187,13.02,48000,10320000
DMD000327,PT017,WH003,2022-02,REGULAR,151,151,0.0,48000,7248000
DMD000328,PT017,WH004,2022-02,REGULAR,111,124,11.71,48000,5328000
DMD000329,PT017,WH005,2022-02,REGULAR,100,94,6.0,48000,4800000
DMD000330,PT017,WH006,2022-02,REGULAR,43,,,48000,2064000
DMD000331,PT017,WH007,2022-02,REGULAR,34,36,5.88,48000,1632000
DMD000332,PT017,WH008,2022-02,REGULAR,58,56,3.45,48000,2784000
DMD000333,PT018,WH001,2022-02,REGULAR,253,,,78000,19734000
DMD000334,PT018,WH002,2022-02,REGULAR,180,171,5.0,78000,14040000
DMD000335,PT018,WH003,2022-02,REGULAR,119,103,13.45,78000,9282000
DMD000336,PT018,WH004,2022-02,REGULAR,91,97,6.59,78000,7098000
DMD000337,PT018,WH005,2022-02,REGULAR,81,76,6.17,78000,6318000
DMD000338,PT018,WH006,2022-02,REGULAR,35,39,11.43,78000,2730000
DMD000339,PT018,WH007,2022-02,REGULAR,24,27,12.5,78000,1872000
DMD000340,PT018,WH008,2022-02,REGULAR,49,53,8.16,78000,3822000
DMD000341,PT019,WH001,2022-02,REGULAR,239,252,5.44,55000,13145000
DMD000342,PT019,WH002,2022-02,REGULAR,173,165,4.62,55000,9515000
DMD000343,PT019,WH003,2022-02,REGULAR,94,106,12.77,55000,5170000
DMD000344,PT019,WH004,2022-02,EMERGENCY,74,,,55000,4070000
DMD000345,PT019,WH005,2022-02,REGULAR,72,,,55000,3960000
DMD000346,PT019,WH006,2022-02,REGULAR,36,31,13.89,55000,1980000
DMD000347,PT019,WH007,2022-02,REGULAR,23,,,55000,1265000
DMD000348,PT019,WH008,2022-02,REGULAR,41,44,7.32,55000,2255000
DMD000349,PT020,WH001,2022-02,REGULAR,251,244,2.79,42000,10542000
DMD000350,PT020,WH002,2022-02,REGULAR,191,178,6.81,42000,8022000
DMD000351,PT020,WH003,2022-02,REGULAR,120,113,5.83,42000,5040000
DMD000352,PT020,WH004,2022-02,REGULAR,93,89,4.3,42000,3906000
DMD000353,PT020,WH005,2022-02,REGULAR,88,82,6.82,42000,3696000
DMD000354,PT020,WH006,2022-02,REGULAR,40,43,7.5,42000,1680000
DMD000355,PT020,WH007,2022-02,REGULAR,25,26,4.0,42000,1050000
