INVENTORY_ID,PART_ID,WAREHOUSE_ID,SNAPSHOT_DATE,STOCK_QTY,SAFETY_STOCK_QTY,REORDER_POINT,STOCK_STATUS,INVENTORY_VALUE_KRW,LAST_MOVEMENT_DATE
INV000038,PT007,WH002,2022-03-31,7,9,9,CRITICAL,3360000,
INV000039,PT007,WH003,2022-03-31,12,1,6,NORMAL,5760000,
INV000040,PT007,WH004,2022-03-31,17,1,7,NORMAL,8160000,2022-01-31
INV000041,PT007,WH005,2022-03-31,1,1,2,LOW,480000,2022-01-03
INV000042,PT007,WH006,2022-03-31,3,1,5,LOW,1440000,2022-02-09
INV000043,PT008,WH001,2022-03-31,14,8,8,NORMAL,4480000,2022-03-10
INV000044,PT008,WH002,2022-03-31,21,8,8,OVERSTOCK,6720000,2022-01-10
INV000045,PT008,WH003,2022-03-31,35,1,12,OVERSTOCK,11200000,
INV000046,PT008,WH004,2022-03-31,18,1,7,OVERSTOCK,5760000,2022-02-12
INV000047,PT008,WH005,2022-03-31,16,1,6,OVERSTOCK,5120000,2022-03-05
INV000048,PT008,WH006,2022-03-31,2,1,3,LOW,640000,2022-01-30
INV000049,PT009,WH001,2022-03-31,2,8,8,CRITICAL,500000,
INV000050,PT009,WH002,2022-03-31,24,1,20,NORMAL,6000000,2022-03-18
INV000051,PT009,WH006,2022-03-31,12,1,5,NORMAL,3000000,2022-01-26
INV000052,PT009,WH007,2022-03-31,6,8,8,CRITICAL,1500000,2022-02-06
INV000053,PT010,WH001,2022-03-31,8,1,26,LOW,7600000,2022-02-04
INV000054,PT010,WH002,2022-03-31,35,1,21,NORMAL,33250000,2022-01-19
INV000055,PT010,WH003,2022-03-31,25,1,12,NORMAL,23750000,2022-01-02
INV000056,PT010,WH004,2022-03-31,17,1,10,NORMAL,16150000,2022-03-26
INV000057,PT010,WH005,2022-03-31,22,1,8,OVERSTOCK,20900000,2022-01-03
INV000058,PT010,WH006,2022-03-31,7,1,4,NORMAL,6650000,2022-02-14
INV000059,PT011,WH001,2022-03-31,350,20,212,NORMAL,6300000,2022-01-28
INV000060,PT011,WH002,2022-03-31,407,15,155,OVERSTOCK,7326000,2022-01-14
INV000061,PT011,WH003,2022-03-31,97,8,89,NORMAL,1746000,2021-12-31
INV000062,PT011,WH004,2022-03-31,196,7,71,OVERSTOCK,3528000,2022-02-06
INV000063,PT011,WH005,2022-03-31,65,6,63,NORMAL,1170000,2022-03-24
INV000064,PT011,WH006,2022-03-31,21,3,29,LOW,378000,2022-01-27
INV000065,PT011,WH007,2022-03-31,27,2,20,NORMAL,486000,2022-02-04
INV000066,PT011,WH008,2022-03-31,102,3,38,OVERSTOCK,1836000,2022-02-14
INV000067,PT012,WH001,2022-03-31,346,23,182,NORMAL,4152000,2022-02-25
INV000068,PT012,WH002,2022-03-31,276,15,121,NORMAL,3312000,2022-01-06
INV000069,PT012,WH003,2022-03-31,184,10,80,NORMAL,2208000,2022-02-25
INV000070,PT012,WH004,2022-03-31,145,7,58,OVERSTOCK,1740000,2022-02-02
INV000071,PT012,WH005,2022-03-31,117,6,51,NORMAL,1404000,2022-01-09
INV000072,PT012,WH006,2022-03-31,67,4,27,NORMAL,804000,2022-02-02
INV000073,PT012,WH007,2022-03-31,43,2,16,OVERSTOCK,516000,2022-01-07
INV000074,PT012,WH008,2022-03-31,12,4,32,LOW,144000,2022-02-26
INV000075,PT013,WH001,2022-03-31,43,15,119,LOW,344000,2022-02-02
INV000076,PT013,WH002,2022-03-31,134,10,82,NORMAL,1072000,2022-03-30
INV000077,PT013,WH003,2022-03-31,95,6,53,NORMAL,760000,2022-01-22
INV000078,PT013,WH004,2022-03-31,72,4,37,NORMAL,576000,2022-03-01
INV000079,PT013,WH005,2022-03-31,69,4,34,NORMAL,552000,2022-03-27
INV000080,PT013,WH006,2022-03-31,15,3,17,LOW,120000,2022-02-14
INV000081,PT013,WH007,2022-03-31,10,1,10,NORMAL,80000,2022-03-26
INV000082,PT013,WH008,2022-03-31,54,3,23,NORMAL,432000,2022-03-30
INV000083,PT014,WH001,2022-03-31,97,7,74,NORMAL,6305000,2022-03-05
INV000084,PT014,WH002,2022-03-31,127,5,56,NORMAL,8255000,2022-02-07
INV000085,PT014,WH003,2022-03-31,67,3,36,NORMAL,4355000,2022-01-12
INV000086,PT014,WH004,2022-03-31,16,2,26,LOW,1040000,2022-02-10
INV000087,PT014,WH005,2022-03-31,24,2,22,NORMAL,1560000,2022-03-25
INV000088,PT014,WH006,2022-03-31,23,1,11,NORMAL,1495000,2022-03-27
INV000089,PT014,WH007,2022-03-31,11,1,7,NORMAL,715000,2022-03-23
INV000090,PT014,WH008,2022-03-31,40,1,14,OVERSTOCK,2600000,2022-03-19
INV000091,PT015,WH001,2022-03-31,98,7,79,NORMAL,2156000,2022-02-09
INV000092,PT015,WH002,2022-03-31,51,5,58,LOW,1122000,2022-02-26
INV000093,PT015,WH003,2022-03-31,87,3,34,OVERSTOCK,1914000,2022-03-25
INV000094,PT015,WH004,2022-03-31,69,2,28,NORMAL,1518000,2022-02-06
INV000095,PT015,WH005,2022-03-31,29,2,23,NORMAL,638000,2022-01-21
INV000096,PT015,WH006,2022-03-31,16,1,11,NORMAL,352000,2022-03-04
INV000097,PT015,WH007,2022-03-31,6,1,8,LOW,132000,2022-02-08
INV000098,PT015,WH008,2022-03-31,23,1,15,NORMAL,506000,2022-02-24
INV000099,PT016,WH001,2022-03-31,158,5,73,NORMAL,15010000,2022-02-08
INV000100,PT016,WH002,2022-03-31,136,3,52,OVERSTOCK,12920000,2022-02-27
INV000101,PT016,WH003,2022-03-31,28,2,32,LOW,2660000,2022-03-13
INV000102,PT016,WH004,2022-03-31,65,1,24,OVERSTOCK,6175000,2022-01-16
INV000103,PT016,WH005,2022-03-31,41,1,21,NORMAL,3895000,2022-02-16
INV000104,PT016,WH006,2022-03-31,19,1,10,NORMAL,1805000,2022-01-16
INV000105,PT016,WH007,2022-03-31,7,1,7,NORMAL,665000,2022-03-24
INV000106,PT016,WH008,2022-03-31,34,1,13,OVERSTOCK,3230000,
INV000107,PT017,WH001,2022-03-31,177,8,89,NORMAL,8496000,2022-01-28
INV000108,PT017,WH002,2022-03-31,155,6,63,NORMAL,7440000,
INV000109,PT017,WH003,2022-03-31,111,4,42,OVERSTOCK,5328000,2022-02-08
INV000110,PT017,WH004,2022-03-31,33,3,30,NORMAL,1584000,2022-01-14
INV000111,PT017,WH005,2022-03-31,75,2,28,OVERSTOCK,3600000,2022-01-08
INV000112,PT017,WH006,2022-03-31,18,1,12,NORMAL,864000,2022-02-28
INV000113,PT017,WH007,2022-03-31,23,1,9,OVERSTOCK,1104000,
INV000114,PT017,WH008,2022-03-31,9,1,17,LOW,432000,2022-02-17
INV000115,PT018,WH001,2022-03-31,104,6,69,NORMAL,8112000,2022-02-24
INV000116,PT018,WH002,2022-03-31,114,5,52,NORMAL,8892000,2022-01-14
INV000117,PT018,WH003,2022-03-31,28,3,33,LOW,2184000,2022-02-14
INV000118,PT018,WH004,2022-03-31,50,2,24,NORMAL,3900000,2022-01-02
INV000119,PT018,WH005,2022-03-31,17,2,22,LOW,1326000,
INV000120,PT018,WH006,2022-03-31,23,1,10,NORMAL,1794000,
INV000121,PT018,WH007,2022-03-31,9,1,7,NORMAL,702000,2022-02-16
INV000122,PT018,WH008,2022-03-31,20,1,14,NORMAL,1560000,2022-01-28
INV000123,PT019,WH001,2022-03-31,34,6,65,LOW,1870000,2021-12-31
INV000124,PT019,WH002,2022-03-31,81,4,46,NORMAL,4455000,2022-03-10
INV000125,PT019,WH003,2022-03-31,51,2,27,NORMAL,2805000,2022-02-07
INV000126,PT019,WH004,2022-03-31,55,2,20,OVERSTOCK,3025000,2022-01-17
INV000127,PT019,WH005,2022-03-31,10,1,18,LOW,550000,2022-01-30
INV000128,PT019,WH006,2022-03-31,9,1,10,LOW,495000,2022-01-14
INV000129,PT019,WH007,2022-03-31,10,1,6,NORMAL,550000,2022-01-03
INV000130,PT019,WH008,2022-03-31,6,1,12,LOW,330000,2022-03-04
INV000131,PT020,WH001,2022-03-31,201,7,73,OVERSTOCK,8442000,2022-02-06
INV000132,PT020,WH002,2022-03-31,158,5,56,OVERSTOCK,6636000,2022-02-16
INV000133,PT020,WH003,2022-03-31,94,3,34,OVERSTOCK,3948000,2022-03-29
INV000134,PT020,WH004,2022-03-31,38,2,24,NORMAL,1596000,
INV000135,PT020,WH005,2022-03-31,10,2,24,LOW,420000,2022-02-07
INV000136,PT020,WH006,2022-03-31,25,1,10,OVERSTOCK,1050000,2022-03-27
INV000137,PT020,WH007,2022-03-31,17,1,7,NORMAL,714000,2022-01-26
INV000138,PT020,WH008,2022-03-31,5,1,14,LOW,210000,2022-03-04
INV000139,PT021,WH001,2022-03-31,138,3,59,NORMAL,25530000,2022-02-20
INV000140,PT021,WH002,2022-03-31,65,2,44,NORMAL,12025000,2022-01-24
INV000141,PT021,WH003,2022-03-31,69,1,24,OVERSTOCK,12765000,2022-03-01
INV000142,PT021,WH004,2022-03-31,17,1,18,LOW,3145000,2022-02-14
INV000143,PT021,WH005,2022-03-31,24,1,16,NORMAL,4440000,2022-02-16
INV000144,PT021,WH006,2022-03-31,18,1,9,NORMAL,3330000,2022-03-30
INV000145,PT021,WH007,2022-03-31,13,1,5,OVERSTOCK,2405000,2022-01-10
INV000146,PT021,WH008,2022-03-31,6,1,10,LOW,1110000,2022-03-23
INV000147,PT022,WH001,2022-03-31,105,4,54,NORMAL,7140000,2022-02-01
INV000148,PT022,WH002,2022-03-31,71,3,40,NORMAL,4828000,2022-02-27
INV000149,PT022,WH003,2022-03-31,56,1,23,NORMAL,3808000,2022-02-26
INV000150,PT022,WH004,2022-03-31,17,1,18,LOW,1156000,2022-02-04
INV000151,PT022,WH005,2022-03-31,24,1,15,NORMAL,1632000,2022-01-10
INV000152,PT022,WH006,2022-03-31,13,1,8,NORMAL,884000,2022-02-25
INV000153,PT022,WH007,2022-03-31,17,1,6,OVERSTOCK,1156000,2022-01-19
INV000154,PT022,WH008,2022-03-31,19,1,11,NORMAL,1292000,2022-02-18
INV000155,PT023,WH001,2022-03-31,1163,80,389,OVERSTOCK,1744500,2022-03-27
INV000156,PT023,WH002,2022-03-31,250,61,298,LOW,375000,2022-01-09
INV000157,PT023,WH003,2022-03-31,63,33,162,LOW,94500,2022-02-11
INV000158,PT023,WH004,2022-03-31,187,26,127,NORMAL,280500,2022-02-15
INV000159,PT023,WH005,2022-03-31,80,23,112,LOW,120000,2022-03-24
INV000160,PT023,WH006,2022-03-31,40,18,64,LOW,60000,2022-03-04
INV000161,PT023,WH007,2022-03-31,91,7,36,OVERSTOCK,136500,2022-03-14
INV000162,PT023,WH008,2022-03-31,145,15,75,NORMAL,217500,2022-01-10
INV000163,PT024,WH001,2022-03-31,235,23,170,NORMAL,1997500,2022-03-28
INV000164,PT024,WH002,2022-03-31,401,19,139,OVERSTOCK,3408500,2022-03-09
INV000165,PT024,WH003,2022-03-31,226,11,82,OVERSTOCK,1921000,2022-02-07
INV000166,PT024,WH004,2022-03-31,73,8,59,NORMAL,620500,2022-02-27
INV000167,PT024,WH005,2022-03-31,19,7,51,LOW,161500,2022-01-14
INV000168,PT024,WH006,2022-03-31,16,4,26,LOW,136000,2022-03-23
INV000169,PT024,WH007,2022-03-31,42,2,17,NORMAL,357000,2022-03-04
INV000170,PT024,WH008,2022-03-31,95,4,34,OVERSTOCK,807500,
INV000171,PT025,WH001,2022-03-31,292,58,421,LOW,3504000,2022-01-12
INV000172,PT025,WH002,2022-03-31,403,44,319,NORMAL,4836000,
INV000173,PT025,WH003,2022-03-31,540,25,184,OVERSTOCK,6480000,2022-03-28
INV000174,PT025,WH004,2022-03-31,161,20,148,NORMAL,1932000,2022-01-04
INV000175,PT025,WH005,2022-03-31,357,17,125,OVERSTOCK,4284000,
INV000176,PT025,WH006,2022-03-31,25,12,62,LOW,300000,2022-02-09
INV000177,PT025,WH007,2022-03-31,109,5,39,OVERSTOCK,1308000,
INV000178,PT025,WH008,2022-03-31,236,12,86,OVERSTOCK,2832000,2022-03-15
INV000179,PT026,WH001,2022-03-31,624,53,259,NORMAL,2184000,
INV000180,PT026,WH002,2022-03-31,182,40,194,LOW,637000,2022-02-14
INV000181,PT026,WH003,2022-03-31,124,23,113,NORMAL,434000,2022-02-01
INV000182,PT026,WH004,2022-03-31,78,18,88,LOW,273000,2022-02-02
INV000183,PT026,WH005,2022-03-31,166,14,71,NORMAL,581000,2022-02-01
INV000184,PT026,WH006,2022-03-31,115,12,43,OVERSTOCK,402500,2022-01-22
INV000185,PT026,WH007,2022-03-31,71,5,25,OVERSTOCK,248500,2022-02-16
INV000186,PT026,WH008,2022-03-31,101,10,50,NORMAL,353500,2022-01-22
INV000187,PT027,WH001,2022-03-31,1648,134,649,OVERSTOCK,1318400,2022-03-20
INV000188,PT027,WH002,2022-03-31,836,99,479,NORMAL,668800,2022-01-03
INV000189,PT027,WH003,2022-03-31,225,57,279,LOW,180000,2022-03-13
INV000190,PT027,WH004,2022-03-31,297,41,201,NORMAL,237600,2022-03-14
INV000191,PT027,WH005,2022-03-31,346,38,184,NORMAL,276800,2022-03-18
INV000192,PT027,WH006,2022-03-31,169,28,102,NORMAL,135200,2022-02-12
INV000193,PT027,WH007,2022-03-31,84,13,66,NORMAL,67200,2022-02-05
INV000194,PT027,WH008,2022-03-31,310,27,130,NORMAL,248000,2022-01-05
INV000195,PT028,WH001,2022-03-31,768,47,341,NORMAL,4608000,2022-02-15
INV000196,PT028,WH002,2022-03-31,542,39,286,NORMAL,3252000,2022-01-24
INV000197,PT028,WH003,2022-03-31,100,22,159,LOW,600000,2022-01-10
INV000198,PT028,WH004,2022-03-31,151,17,128,NORMAL,906000,2022-01-25
INV000199,PT028,WH005,2022-03-31,153,14,101,NORMAL,918000,
INV000200,PT028,WH006,2022-03-31,169,13,69,NORMAL,1014000,
INV000201,PT028,WH007,2022-03-31,90,5,41,NORMAL,540000,2022-01-19
INV000202,PT028,WH008,2022-03-31,84,11,80,NORMAL,504000,2022-02-17
INV000203,PT029,WH001,2022-03-31,654,59,286,NORMAL,2943000,2022-03-13
INV000204,PT029,WH002,2022-03-31,442,44,214,NORMAL,1989000,2022-02-21
INV000205,PT029,WH003,2022-03-31,57,29,141,LOW,256500,2022-03-27
INV000206,PT029,WH004,2022-03-31,137,19,92,NORMAL,616500,2022-01-13
INV000207,PT029,WH005,2022-03-31,253,18,90,OVERSTOCK,1138500,2022-02-13
INV000208,PT029,WH006,2022-03-31,86,12,45,NORMAL,387000,2022-03-04
INV000209,PT029,WH007,2022-03-31,40,6,31,NORMAL,180000,2022-01-24
INV000210,PT029,WH008,2022-03-31,24,10,49,LOW,108000,
INV000211,PT030,WH001,2022-03-31,1215,107,519,NORMAL,2673000,
INV000212,PT030,WH002,2022-03-31,266,77,375,LOW,585200,2022-02-16
INV000213,PT030,WH003,2022-03-31,236,44,213,NORMAL,519200,2022-02-01
INV000214,PT030,WH004,2022-03-31,333,34,167,NORMAL,732600,2022-02-24
INV000215,PT030,WH005,2022-03-31,199,31,153,NORMAL,437800,2022-02-11
INV000216,PT030,WH006,2022-03-31,91,24,86,NORMAL,200200,2022-03-14
INV000217,PT030,WH007,2022-03-31,42,10,48,LOW,92400,2022-02-22
INV000218,PT030,WH008,2022-03-31,231,21,101,NORMAL,508200,2022-02-27
INV000219,PT001,WH001,2022-06-30,11,1,7,NORMAL,19800000,2022-06-25
INV000220,PT001,WH002,2022-06-30,2,8,8,CRITICAL,3600000,
INV000221,PT001,WH003,2022-06-30,3,1,3,NORMAL,5400000,2022-05-14
INV000222,PT001,WH004,2022-06-30,5,1,3,NORMAL,9000000,2022-05-21
INV000223,PT001,WH005,2022-06-30,3,1,2,NORMAL,5400000,2022-05-01
INV000224,PT001,WH006,2022-06-30,2,1,1,NORMAL,3600000,2022-06-16
INV000225,PT002,WH001,2022-06-30,5,1,4,NORMAL,10000000,
INV000226,PT002,WH002,2022-06-30,19,9,9,NORMAL,38000000,2022-05-07
INV000227,PT002,WH003,2022-06-30,4,1,2,NORMAL,8000000,2022-06-10
INV000228,PT002,WH004,2022-06-30,3,1,3,NORMAL,6000000,2022-05-17
INV000229,PT002,WH005,2022-06-30,5,1,2,OVERSTOCK,10000000,2022-05-03
INV000230,PT002,WH006,2022-06-30,4,1,3,NORMAL,8000000,2022-06-27
INV000231,PT003,WH001,2022-06-30,13,1,10,NORMAL,11050000,
INV000232,PT003,WH002,2022-06-30,6,9,9,CRITICAL,5100000,2022-06-10
INV000233,PT003,WH003,2022-06-30,14,9,9,NORMAL,11900000,2022-05-10
INV000234,PT003,WH004,2022-06-30,11,9,9,NORMAL,9350000,2022-05-24
INV000235,PT003,WH005,2022-06-30,22,9,9,NORMAL,18700000,2022-04-02
INV000236,PT003,WH006,2022-06-30,3,1,2,NORMAL,2550000,2022-04-27
INV000237,PT004,WH001,2022-06-30,52,1,19,OVERSTOCK,32240000,2022-06-23
INV000238,PT004,WH002,2022-06-30,2,1,5,LOW,1240000,2022-05-14
INV000239,PT004,WH003,2022-06-30,12,1,10,NORMAL,7440000,2022-05-23
INV000240,PT004,WH004,2022-06-30,12,1,10,NORMAL,7440000,2022-05-17
INV000241,PT004,WH005,2022-06-30,21,8,8,OVERSTOCK,13020000,2022-05-05
INV000242,PT004,WH006,2022-06-30,7,1,3,NORMAL,4340000,2022-05-06
INV000243,PT005,WH001,2022-06-30,116,2,39,OVERSTOCK,44080000,2022-04-06
INV000244,PT005,WH002,2022-06-30,26,1,30,LOW,9880000,2022-04-06
INV000245,PT005,WH003,2022-06-30,32,1,20,NORMAL,12160000,2022-05-07
INV000246,PT005,WH004,2022-06-30,25,1,18,NORMAL,9500000,
INV000247,PT005,WH005,2022-06-30,32,1,13,NORMAL,12160000,2022-06-29
INV000248,PT005,WH006,2022-06-30,5,1,5,NORMAL,1900000,2022-04-16
INV000249,PT006,WH001,2022-06-30,22,3,42,LOW,4840000,2022-06-23
INV000250,PT006,WH002,2022-06-30,34,2,32,NORMAL,7480000,
INV000251,PT006,WH003,2022-06-30,9,1,18,LOW,1980000,2022-04-03
INV000252,PT006,WH004,2022-06-30,22,1,14,NORMAL,4840000,2022-06-09
INV000253,PT006,WH005,2022-06-30,6,1,12,LOW,1320000,2022-05-02
INV000254,PT006,WH006,2022-06-30,11,1,6,NORMAL,2420000,2022-04-19
INV000255,PT007,WH001,2022-06-30,16,1,12,NORMAL,7680000,
INV000256,PT007,WH002,2022-06-30,36,1,13,OVERSTOCK,17280000,2022-05-29
INV000257,PT007,WH003,2022-06-30,18,1,7,OVERSTOCK,8640000,2022-05-07
INV000258,PT007,WH004,2022-06-30,3,9,9,CRITICAL,1440000,2022-04-24
INV000259,PT007,WH005,2022-06-30,35,1,12,OVERSTOCK,16800000,2022-04-08
INV000260,PT007,WH006,2022-06-30,4,1,2,NORMAL,1920000,2022-06-25
INV000261,PT008,WH001,2022-06-30,12,1,10,NORMAL,3840000,2022-04-20
INV000262,PT008,WH002,2022-06-30,6,8,8,CRITICAL,1920000,
INV000263,PT008,WH003,2022-06-30,3,1,6,LOW,960000,2022-06-07
INV000264,PT008,WH004,2022-06-30,3,8,8,CRITICAL,960000,2022-06-23
INV000265,PT008,WH005,2022-06-30,1,1,5,LOW,320000,2022-04-03
INV000266,PT008,WH006,2022-06-30,25,12,12,NORMAL,8000000,2022-06-02
INV000267,PT009,WH001,2022-06-30,25,1,9,OVERSTOCK,6250000,2022-04-27
INV000268,PT009,WH002,2022-06-30,41,1,22,NORMAL,10250000,2022-06-29
INV000269,PT009,WH006,2022-06-30,25,12,12,NORMAL,6250000,2022-04-21
INV000270,PT009,WH007,2022-06-30,5,1,3,NORMAL,1250000,2022-06-08
INV000271,PT010,WH001,2022-06-30,54,1,19,OVERSTOCK,51300000,2022-06-21
INV000272,PT010,WH002,2022-06-30,27,1,15,NORMAL,25650000,2022-04-23
INV000273,PT010,WH003,2022-06-30,9,1,9,NORMAL,8550000,2022-05-03
INV000274,PT010,WH004,2022-06-30,10,1,6,NORMAL,9500000,2022-05-08
INV000275,PT010,WH005,2022-06-30,14,1,6,NORMAL,13300000,2022-05-29
INV000276,PT010,WH006,2022-06-30,6,1,3,NORMAL,5700000,2022-06-12
INV000277,PT011,WH001,2022-06-30,482,20,210,NORMAL,8676000,2022-05-22
INV000278,PT011,WH002,2022-06-30,244,14,145,NORMAL,4392000,
INV000279,PT011,WH003,2022-06-30,98,8,90,NORMAL,1764000,2022-05-09
INV000280,PT011,WH004,2022-06-30,113,7,77,NORMAL,2034000,2022-06-10
INV000281,PT011,WH005,2022-06-30,131,5,58,NORMAL,2358000,2022-05-25
INV000282,PT011,WH006,2022-06-30,82,4,32,OVERSTOCK,1476000,2022-04-08
INV000283,PT011,WH007,2022-06-30,37,2,21,NORMAL,666000,2022-06-08
INV000284,PT011,WH008,2022-06-30,98,4,42,NORMAL,1764000,2022-05-05
INV000285,PT012,WH001,2022-06-30,230,21,165,NORMAL,2760000,2022-04-07
INV000286,PT012,WH002,2022-06-30,157,17,133,NORMAL,1884000,
INV000287,PT012,WH003,2022-06-30,160,9,74,NORMAL,1920000,2022-05-22
INV000288,PT012,WH004,2022-06-30,60,7,58,NORMAL,720000,2022-05-21
INV000289,PT012,WH005,2022-06-30,68,6,51,NORMAL,816000,2022-06-18
INV000290,PT012,WH006,2022-06-30,29,4,26,NORMAL,348000,2022-05-11
INV000291,PT012,WH007,2022-06-30,42,2,17,NORMAL,504000,2022-04-18
INV000292,PT012,WH008,2022-06-30,64,4,33,NORMAL,768000,2022-06-18
INV000293,PT013,WH001,2022-06-30,276,14,111,NORMAL,2208000,2022-05-05
INV000294,PT013,WH002,2022-06-30,116,10,84,NORMAL,928000,2022-06-04
INV000295,PT013,WH003,2022-06-30,98,6,50,NORMAL,784000,
INV000296,PT013,WH004,2022-06-30,28,5,40,LOW,224000,2022-04-16
INV000297,PT013,WH005,2022-06-30,79,4,34,NORMAL,632000,2022-04-18
INV000298,PT013,WH006,2022-06-30,44,3,18,NORMAL,352000,2022-04-15
INV000299,PT013,WH007,2022-06-30,13,1,10,NORMAL,104000,2022-04-24
INV000300,PT013,WH008,2022-06-30,9,2,21,LOW,72000,2022-04-06
INV000301,PT014,WH001,2022-06-30,234,7,79,OVERSTOCK,15210000,2022-06-12
INV000302,PT014,WH002,2022-06-30,105,5,57,NORMAL,6825000,2022-05-29
INV000303,PT014,WH003,2022-06-30,64,3,31,NORMAL,4160000,2022-04-08
INV000304,PT014,WH004,2022-06-30,16,2,25,LOW,1040000,2022-04-28
INV000305,PT014,WH005,2022-06-30,14,2,22,LOW,910000,2022-06-01
INV000306,PT014,WH006,2022-06-30,17,1,11,NORMAL,1105000,2022-04-19
INV000307,PT014,WH007,2022-06-30,19,1,8,NORMAL,1235000,
INV000308,PT014,WH008,2022-06-30,17,1,13,NORMAL,1105000,2022-06-03
INV000309,PT015,WH001,2022-06-30,233,13,138,NORMAL,5126000,2022-05-22
INV000310,PT015,WH002,2022-06-30,227,10,103,NORMAL,4994000,2022-05-19
INV000311,PT015,WH003,2022-06-30,95,5,58,NORMAL,2090000,2022-05-27
INV000312,PT015,WH004,2022-06-30,111,4,46,NORMAL,2442000,2022-05-11
INV000313,PT015,WH005,2022-06-30,83,3,39,NORMAL,1826000,2022-05-19
INV000314,PT015,WH006,2022-06-30,38,1,18,NORMAL,836000,2022-05-09
INV000315,PT015,WH007,2022-06-30,24,1,12,NORMAL,528000,2022-05-13
INV000316,PT015,WH008,2022-06-30,65,2,26,OVERSTOCK,1430000,2022-05-11
INV000317,PT016,WH001,2022-06-30,127,5,70,NORMAL,12065000,
INV000318,PT016,WH002,2022-06-30,140,3,52,OVERSTOCK,13300000,2022-06-13
INV000319,PT016,WH003,2022-06-30,88,2,32,OVERSTOCK,8360000,2022-04-29
INV000320,PT016,WH004,2022-06-30,49,1,24,NORMAL,4655000,2022-05-28
INV000321,PT016,WH005,2022-06-30,56,1,20,OVERSTOCK,5320000,2022-05-07
INV000322,PT016,WH006,2022-06-30,27,1,10,OVERSTOCK,2565000,2022-06-25
INV000323,PT016,WH007,2022-06-30,9,1,7,NORMAL,855000,
INV000324,PT016,WH008,2022-06-30,37,1,13,OVERSTOCK,3515000,2022-05-28
INV000325,PT017,WH001,2022-06-30,233,9,95,NORMAL,11184000,2022-06-22
