PRODUCTION_ID,LINE_ID,PRODUCT_ID,PRODUCTION_DATE,SHIFT,PLANNED_OUTPUT,ACTUAL_OUTPUT,UTILIZATION_RATE_PCT,OPERATION_HOURS,DOWNTIME_HOURS,DOWNTIME_REASON,YIELD_RATE_PCT
PRD-000037,LINE-01,PRD001,2023-02-06,전일,857,754,88.0,23.5,,,98.84
PRD-000038,LINE-01,PRD001,2023-02-07,주간,874,87,10.0,5.7,16.7,계획정비,99.02
PRD-000039,LINE-01,PRD001,2023-02-08,전일,783,802,102.4,20.9,,,97.61
PRD-000040,LINE-01,PRD001,2023-02-09,전일,863,802,92.9,23.5,,,96.98
PRD-000041,LINE-01,PRD001,2023-02-10,전일,845,876,103.7,23.5,,,98.03
PRD-000042,LINE-01,PRD001,2023-02-11,전일,830,826,99.5,21.7,,,96.4
PRD-000043,LINE-01,PRD001,2023-02-12,전일,830,258,31.1,13.6,8.5,설비고장,94.63
PRD-000044,LINE-01,PRD001,2023-02-13,전일,900,877,97.4,22.9,,,97.08
PRD-000045,LINE-01,PRD001,2023-02-14,전일,786,734,93.4,22.7,,,98.15
PRD-000046,LINE-01,PRD001,2023-02-15,전일,809,208,25.7,12.5,10.9,설비고장,91.98
PRD-000047,LINE-01,PRD001,2023-02-16,전일,873,857,98.2,22.1,,,97.17
PRD-000048,LINE-01,PRD001,2023-02-17,전일,800,711,88.9,20.2,,,98.14
PRD-000049,LINE-01,PRD001,2023-02-18,전일,895,863,96.4,22.0,,,98.3
PRD-000050,LINE-01,PRD001,2023-02-19,전일,799,807,101.0,20.2,,,98.97
PRD-000051,LINE-01,PRD001,2023-02-20,전일,864,905,104.7,23.8,,,98.14
PRD-000052,LINE-01,PRD001,2023-02-21,전일,832,733,88.1,21.8,,,98.94
PRD-000053,LINE-01,PRD001,2023-02-22,전일,831,824,99.2,21.1,,,97.89
PRD-000054,LINE-01,PRD001,2023-02-23,전일,867,859,99.1,21.7,,,97.63
PRD-000055,LINE-01,PRD001,2023-02-24,전일,824,827,100.4,23.4,,,97.33
PRD-000056,LINE-01,PRD001,2023-02-25,전일,896,911,101.7,22.0,,,97.7
PRD-000057,LINE-01,PRD001,2023-02-26,전일,872,887,101.7,23.9,,,99.17
PRD-000058,LINE-01,PRD001,2023-02-27,전일,829,848,102.3,20.2,,,96.74
PRD-000059,LINE-01,PRD001,2023-02-28,전일,876,890,101.6,23.3,,,98.62
PRD-000060,LINE-01,PRD001,2023-03-01,전일,905,776,85.7,23.8,,,96.07
PRD-000061,LINE-01,PRD001,2023-03-02,전일,849,758,89.3,23.1,,,98.13
PRD-000062,LINE-01,PRD001,2023-03-03,전일,906,789,87.1,23.7,,,99.18
PRD-000063,LINE-01,PRD001,2023-03-04,전일,853,866,101.5,20.4,,,98.98
PRD-000064,LINE-01,PRD001,2023-03-05,전일,773,739,95.6,20.3,,,96.04
PRD-000065,LINE-01,PRD001,2023-03-06,전일,859,872,101.5,21.7,,,99.38
PRD-000066,LINE-01,PRD001,2023-03-07,전일,837,784,93.7,21.3,,,99.27
PRD-000067,LINE-01,PRD001,2023-03-08,전일,855,791,92.5,22.0,,,97.71
PRD-000068,LINE-01,PRD001,2023-03-09,전일,868,785,90.4,22.1,,,96.84
PRD-000069,LINE-01,PRD001,2023-03-10,전일,836,829,99.2,23.2,1.1,원자재부족,97.07
PRD-000070,LINE-01,PRD001,2023-03-11,전일,875,801,91.5,21.1,,,96.42
PRD-000071,LINE-01,PRD001,2023-03-12,전일,877,777,88.6,23.0,,,98.06
PRD-000072,LINE-01,PRD001,2023-03-13,전일,887,806,90.9,20.7,,,96.16
PRD-000073,LINE-01,PRD001,2023-03-14,전일,876,762,87.0,22.3,,,97.54
PRD-000074,LINE-01,PRD002,2023-03-15,전일,886,666,75.2,20.6,,,99.32
PRD-000075,LINE-01,PRD002,2023-03-16,전일,853,830,97.3,21.8,,,99.01
PRD-000076,LINE-01,PRD002,2023-03-17,전일,906,788,87.0,22.5,,,96.28
PRD-000077,LINE-01,PRD002,2023-03-18,전일,826,815,98.7,21.2,,,98.47
PRD-000078,LINE-01,PRD002,2023-03-19,주간,801,63,7.9,5.2,17.6,계획정비,98.81
PRD-000079,LINE-01,PRD002,2023-03-20,전일,806,708,87.8,20.7,,,98.62
PRD-000080,LINE-01,PRD002,2023-03-21,전일,811,754,93.0,22.0,,,96.28
PRD-000081,LINE-01,PRD002,2023-03-22,전일,771,690,89.5,24.0,,,96.94
PRD-000082,LINE-01,PRD002,2023-03-23,전일,861,889,103.3,24.0,,,98.85
PRD-000083,LINE-01,PRD002,2023-03-24,전일,864,882,102.1,21.6,,,98.32
PRD-000084,LINE-01,PRD002,2023-03-25,주간,780,59,7.6,2.5,20.0,계획정비,99.03
PRD-000085,LINE-01,PRD002,2023-03-26,전일,775,739,95.4,22.5,,,96.71
PRD-000086,LINE-01,PRD002,2023-03-27,전일,831,822,98.9,20.1,,,98.8
PRD-000087,LINE-01,PRD002,2023-03-28,전일,769,716,93.1,24.0,,,97.62
PRD-000088,LINE-01,PRD002,2023-03-29,전일,871,828,95.1,21.7,,,97.65
PRD-000089,LINE-01,PRD002,2023-03-30,전일,854,853,99.9,23.5,,,98.77
PRD-000090,LINE-01,PRD002,2023-03-31,전일,841,852,101.3,22.9,,,98.03
PRD-000091,LINE-01,PRD002,2023-04-01,전일,837,767,91.6,21.8,,,96.66
PRD-000092,LINE-01,PRD002,2023-04-02,전일,879,754,85.8,22.8,,,97.35
PRD-000093,LINE-01,PRD002,2023-04-03,전일,773,734,95.0,23.5,,,97.54
PRD-000094,LINE-01,PRD002,2023-04-04,주간,788,205,26.0,5.9,18.0,계획정비,98.74
PRD-000095,LINE-01,PRD002,2023-04-05,전일,815,802,98.4,23.8,,,99.11
PRD-000096,LINE-01,PRD002,2023-04-06,주간,777,147,18.9,5.7,16.3,계획정비,98.61
PRD-000097,LINE-01,PRD002,2023-04-07,전일,791,719,90.9,20.2,,,97.03
PRD-000098,LINE-01,PRD002,2023-04-08,전일,844,812,96.2,20.7,2.7,라인전환,98.39
PRD-000099,LINE-01,PRD002,2023-04-09,전일,859,809,94.2,23.6,,,97.01
PRD-000100,LINE-01,PRD002,2023-04-10,전일,904,946,104.6,22.6,,,96.88
PRD-000101,LINE-01,PRD002,2023-04-11,전일,823,779,94.7,21.5,,,97.04
PRD-000102,LINE-01,PRD002,2023-04-12,주간,887,210,23.7,11.9,,,94.7
PRD-000103,LINE-01,PRD002,2023-04-13,전일,809,816,100.9,20.9,,,96.88
PRD-000104,LINE-01,PRD002,2023-04-14,전일,787,684,86.9,21.2,,,98.03
PRD-000105,LINE-01,PRD002,2023-04-15,전일,810,809,99.9,20.8,,,99.07
PRD-000106,LINE-01,PRD002,2023-04-16,전일,791,816,103.2,23.9,,,99.05
PRD-000107,LINE-01,PRD002,2023-04-17,전일,778,778,100.0,23.4,,,99.43
PRD-000108,LINE-01,PRD002,2023-04-18,전일,770,737,95.7,21.5,,,96.92
PRD-000109,LINE-01,PRD002,2023-04-19,전일,801,684,85.4,23.7,,,96.22
PRD-000110,LINE-01,PRD002,2023-04-20,전일,811,755,93.1,20.2,3.0,설비고장,96.34
PRD-000111,LINE-01,PRD002,2023-04-21,전일,864,862,99.8,22.3,,,99.1
PRD-000112,LINE-01,PRD002,2023-04-22,전일,856,888,103.7,20.1,,,97.55
PRD-000113,LINE-01,PRD002,2023-04-23,전일,782,771,98.6,20.2,,,99.39
PRD-000114,LINE-01,PRD002,2023-04-24,전일,798,780,97.7,20.2,,,99.46
PRD-000115,LINE-01,PRD002,2023-04-25,전일,847,819,96.7,21.3,2.8,설비고장,96.97
PRD-000116,LINE-01,PRD002,2023-04-26,전일,863,737,85.4,21.4,,,98.06
PRD-000117,LINE-01,PRD002,2023-04-27,전일,786,734,93.4,23.0,,,98.72
PRD-000118,LINE-01,PRD002,2023-04-28,전일,904,776,85.8,21.8,,,96.21
PRD-000119,LINE-01,PRD002,2023-04-29,전일,783,777,99.2,20.3,2.0,설비고장,96.44
PRD-000120,LINE-01,PRD002,2023-04-30,전일,854,776,90.9,20.4,,,98.98
PRD-000121,LINE-01,PRD002,2023-05-01,전일,833,746,89.6,23.3,,,98.55
PRD-000122,LINE-01,PRD002,2023-05-02,전일,905,893,98.7,20.3,,,96.33
PRD-000123,LINE-01,PRD002,2023-05-03,전일,848,820,96.7,22.7,,,99.06
PRD-000124,LINE-01,PRD002,2023-05-04,전일,907,879,96.9,20.4,,,96.54
PRD-000125,LINE-01,PRD002,2023-05-05,전일,848,740,87.3,22.3,,,98.96
PRD-000126,LINE-01,PRD002,2023-05-06,전일,771,798,103.5,20.1,,,98.67
PRD-000127,LINE-01,PRD002,2023-05-07,전일,788,773,98.1,20.6,,,96.11
PRD-000128,LINE-01,PRD002,2023-05-08,전일,817,754,92.3,23.1,,,96.3
PRD-000129,LINE-01,PRD002,2023-05-09,전일,865,782,90.4,21.9,,,96.96
PRD-000130,LINE-01,PRD002,2023-05-10,전일,808,796,98.5,22.1,,,96.77
PRD-000131,LINE-01,PRD002,2023-05-11,주간,811,51,6.3,2.5,,,97.15
PRD-000132,LINE-01,PRD002,2023-05-12,전일,869,825,94.9,20.3,,,96.15
PRD-000133,LINE-01,PRD002,2023-05-13,전일,850,819,96.4,21.2,,,99.38
PRD-000134,LINE-01,PRD002,2023-05-14,전일,820,768,93.7,21.0,,,97.83
PRD-000135,LINE-01,PRD002,2023-05-15,전일,880,761,86.5,22.1,,,98.72
PRD-000136,LINE-01,PRD002,2023-05-16,전일,789,686,86.9,20.8,,,98.66
PRD-000137,LINE-01,PRD002,2023-05-17,전일,879,834,94.9,22.7,,,98.25
PRD-000138,LINE-01,PRD002,2023-05-18,전일,789,681,86.3,22.5,,,98.07
PRD-000139,LINE-01,PRD002,2023-05-19,주간,834,9,1.1,3.5,19.9,계획정비,98.26
PRD-000140,LINE-01,PRD019,2023-05-20,전일,847,775,91.5,23.6,3.1,라인전환,96.66
PRD-000141,LINE-01,PRD019,2023-05-21,전일,832,842,101.2,23.9,2.1,설비고장,96.87
PRD-000142,LINE-01,PRD019,2023-05-22,전일,821,744,90.6,23.1,,,96.18
PRD-000143,LINE-01,PRD019,2023-05-23,전일,848,786,92.7,22.9,,,99.17
PRD-000144,LINE-01,PRD019,2023-05-24,전일,851,747,87.8,21.2,,,98.32
PRD-000145,LINE-01,PRD019,2023-05-25,전일,848,829,97.8,23.3,,,98.9
PRD-000146,LINE-01,PRD019,2023-05-26,전일,864,822,95.1,21.5,,,96.75
PRD-000147,LINE-01,PRD019,2023-05-27,전일,911,802,88.0,23.4,2.4,라인전환,96.13
PRD-000148,LINE-01,PRD019,2023-05-28,전일,791,803,101.5,22.9,1.4,원자재부족,99.39
PRD-000149,LINE-01,PRD019,2023-05-29,전일,802,836,104.2,23.6,,,98.37
PRD-000150,LINE-01,PRD019,2023-05-30,전일,808,748,92.6,23.9,,,98.8
PRD-000151,LINE-01,PRD019,2023-05-31,전일,837,773,92.4,22.8,,,96.44
PRD-000152,LINE-01,PRD019,2023-06-01,전일,789,739,93.7,23.3,,,99.26
PRD-000153,LINE-01,PRD019,2023-06-02,전일,823,712,86.5,20.1,,,98.94
PRD-000154,LINE-01,PRD019,2023-06-03,전일,809,821,101.5,23.0,,,98.15
PRD-000155,LINE-01,PRD019,2023-06-04,주간,799,35,4.4,5.8,17.0,계획정비,97.48
PRD-000156,LINE-01,PRD019,2023-06-05,전일,860,838,97.4,20.4,,,98.09
PRD-000157,LINE-01,PRD019,2023-06-06,전일,788,737,93.5,21.0,,,98.33
PRD-000158,LINE-01,PRD019,2023-06-07,전일,843,802,95.1,21.6,,,98.22
PRD-000159,LINE-01,PRD019,2023-06-08,전일,777,697,89.7,23.1,,,97.16
PRD-000160,LINE-01,PRD019,2023-06-09,전일,793,797,100.5,23.9,,,96.64
PRD-000161,LINE-01,PRD019,2023-06-10,전일,903,774,85.7,20.2,,,96.15
PRD-000162,LINE-01,PRD019,2023-06-11,전일,846,761,90.0,21.1,,,96.17
PRD-000163,LINE-01,PRD019,2023-06-12,전일,830,771,92.9,23.6,,,99.41
PRD-000164,LINE-01,PRD019,2023-06-13,전일,842,850,101.0,20.3,,,98.88
PRD-000165,LINE-01,PRD019,2023-06-14,전일,863,786,91.1,20.7,,,97.56
PRD-000166,LINE-01,PRD019,2023-06-15,전일,860,867,100.8,20.3,,,97.27
PRD-000167,LINE-01,PRD019,2023-06-16,전일,788,765,97.1,20.1,2.4,품질문제,97.27
PRD-000168,LINE-01,PRD019,2023-06-17,전일,821,770,93.8,22.3,,,97.39
PRD-000169,LINE-01,PRD019,2023-06-18,전일,873,829,95.0,23.7,2.4,계획정비,96.75
PRD-000170,LINE-01,PRD019,2023-06-19,전일,778,688,88.4,24.0,,,99.39
PRD-000171,LINE-01,PRD019,2023-06-20,전일,846,869,102.7,22.8,,,98.23
PRD-000172,LINE-01,PRD019,2023-06-21,전일,796,698,87.7,20.1,,,97.29
PRD-000173,LINE-01,PRD019,2023-06-22,전일,777,722,92.9,22.1,,,98.88
PRD-000174,LINE-01,PRD019,2023-06-23,전일,860,808,94.0,20.5,,,97.93
PRD-000175,LINE-01,PRD019,2023-06-24,전일,786,747,95.0,23.3,,,97.06
PRD-000176,LINE-01,PRD019,2023-06-25,전일,904,862,95.4,23.4,,,98.22
PRD-000177,LINE-01,PRD019,2023-06-26,전일,844,802,95.0,22.4,,,96.6
PRD-000178,LINE-01,PRD019,2023-06-27,전일,901,773,85.8,20.3,,,98.7
PRD-000179,LINE-01,PRD019,2023-06-28,전일,857,733,85.5,22.6,,,96.86
PRD-000180,LINE-01,PRD019,2023-06-29,전일,867,764,88.1,21.9,,,98.12
PRD-000181,LINE-01,PRD019,2023-06-30,전일,817,759,92.9,22.1,1.1,설비고장,96.94
PRD-000182,LINE-01,PRD019,2023-07-01,전일,856,770,90.0,23.3,,,98.52
PRD-000183,LINE-01,PRD019,2023-07-02,전일,839,764,91.1,20.4,,,97.6
PRD-000184,LINE-01,PRD019,2023-07-03,전일,808,289,35.8,13.4,10.0,설비고장,88.07
PRD-000185,LINE-01,PRD019,2023-07-04,전일,820,762,92.9,21.5,,,97.35
PRD-000186,LINE-01,PRD019,2023-07-05,전일,865,755,87.3,21.6,,,97.19
PRD-000187,LINE-01,PRD019,2023-07-06,전일,841,798,94.9,20.2,,,98.81
PRD-000188,LINE-01,PRD019,2023-07-07,전일,788,816,103.6,20.7,,,98.59
PRD-000189,LINE-01,PRD019,2023-07-08,전일,844,837,99.2,21.9,1.3,설비고장,99.43
PRD-000190,LINE-01,PRD019,2023-07-09,전일,853,770,90.3,22.9,,,96.6
PRD-000191,LINE-01,PRD019,2023-07-10,전일,789,778,98.6,22.3,,,96.67
PRD-000192,LINE-01,PRD019,2023-07-11,전일,797,757,95.0,23.5,,,96.22
PRD-000193,LINE-01,PRD019,2023-07-12,전일,863,824,95.5,23.8,,,97.87
PRD-000194,LINE-01,PRD019,2023-07-13,전일,866,875,101.0,22.4,,,96.86
PRD-000195,LINE-01,PRD019,2023-07-14,전일,810,735,90.7,22.8,,,97.68
PRD-000196,LINE-01,PRD019,2023-07-15,전일,865,800,92.5,23.3,,,98.82
PRD-000197,LINE-01,PRD019,2023-07-16,전일,817,766,93.8,23.0,,,98.9
PRD-000198,LINE-01,PRD019,2023-07-17,전일,856,828,96.7,20.2,,,96.79
PRD-000199,LINE-01,PRD019,2023-07-18,전일,836,824,98.6,20.0,,,99.25
PRD-000200,LINE-01,PRD019,2023-07-19,전일,836,743,88.9,21.3,,,99.18
PRD-000201,LINE-01,PRD019,2023-07-20,전일,872,904,103.7,21.7,,,99.27
PRD-000202,LINE-01,PRD002,2023-07-21,전일,893,652,73.0,22.3,2.2,라인전환,99.44
PRD-000203,LINE-01,PRD002,2023-07-22,전일,787,748,95.0,20.8,0.9,계획정비,98.27
PRD-000204,LINE-01,PRD002,2023-07-23,전일,865,768,88.8,23.3,,,96.3
PRD-000205,LINE-01,PRD002,2023-07-24,전일,814,732,89.9,21.5,,,96.93
PRD-000206,LINE-01,PRD002,2023-07-25,전일,805,742,92.2,20.2,1.3,계획정비,98.4
PRD-000207,LINE-01,PRD002,2023-07-26,전일,859,891,103.7,22.5,,,96.47
PRD-000208,LINE-01,PRD002,2023-07-27,전일,827,793,95.9,23.0,,,98.89
PRD-000209,LINE-01,PRD002,2023-07-28,전일,881,841,95.5,20.3,,,96.22
PRD-000210,LINE-01,PRD002,2023-07-29,전일,791,807,102.0,20.5,,,98.04
PRD-000211,LINE-01,PRD002,2023-07-30,전일,786,733,93.3,22.2,,,97.08
PRD-000212,LINE-01,PRD002,2023-07-31,야간,799,35,4.4,8.8,15.1,설비고장,96.95
PRD-000213,LINE-01,PRD002,2023-08-01,주간,826,190,23.0,5.1,16.9,계획정비,98.26
PRD-000214,LINE-01,PRD002,2023-08-02,전일,822,654,79.6,22.6,,,96.62
PRD-000215,LINE-01,PRD002,2023-08-03,전일,800,626,78.2,23.9,,,98.52
PRD-000216,LINE-01,PRD002,2023-08-04,전일,834,675,80.9,23.7,,,96.39
PRD-000217,LINE-01,PRD002,2023-08-05,전일,895,702,78.4,20.3,,,97.56
PRD-000218,LINE-01,PRD002,2023-08-06,전일,774,667,86.2,23.0,,,96.49
PRD-000219,LINE-01,PRD002,2023-08-07,전일,873,733,84.0,20.9,,,99.45
PRD-000220,LINE-01,PRD002,2023-08-08,전일,807,713,88.4,22.5,,,97.73
PRD-000221,LINE-01,PRD002,2023-08-09,전일,813,698,85.9,21.2,,,97.88
PRD-000222,LINE-01,PRD002,2023-08-10,전일,869,808,93.0,22.2,,,97.95
PRD-000223,LINE-01,PRD002,2023-08-11,전일,861,819,95.1,20.4,,,96.67
PRD-000224,LINE-01,PRD002,2023-08-12,전일,893,729,81.6,21.9,,,97.17
PRD-000225,LINE-01,PRD002,2023-08-13,전일,795,730,91.8,23.7,,,98.46
PRD-000226,LINE-01,PRD002,2023-08-14,전일,879,748,85.1,21.2,,,99.09
PRD-000227,LINE-01,PRD002,2023-08-15,전일,872,804,92.2,23.7,,,97.45
PRD-000228,LINE-01,PRD002,2023-08-16,전일,770,680,88.3,21.2,,,96.81
PRD-000229,LINE-01,PRD002,2023-08-17,전일,862,782,90.7,23.1,,,98.53
PRD-000230,LINE-01,PRD002,2023-08-18,전일,818,660,80.7,20.7,,,99.47
PRD-000231,LINE-01,PRD002,2023-08-19,주간,889,252,28.3,4.7,17.8,계획정비,97.44
PRD-000232,LINE-01,PRD002,2023-08-20,전일,769,672,87.4,20.2,,,99.27
PRD-000233,LINE-01,PRD002,2023-08-21,전일,770,677,87.9,20.0,,,96.96
PRD-000234,LINE-01,PRD002,2023-08-22,전일,868,747,86.1,20.4,0.9,원자재부족,98.17
PRD-000235,LINE-01,PRD002,2023-08-23,전일,779,746,95.8,22.3,,,96.79
PRD-000236,LINE-01,PRD002,2023-08-24,전일,891,821,92.1,21.6,,,97.67
PRD-000237,LINE-01,PRD002,2023-08-25,전일,779,730,93.7,22.3,,,96.33
PRD-000238,LINE-01,PRD002,2023-08-26,전일,897,815,90.9,21.1,,,98.4
PRD-000239,LINE-01,PRD002,2023-08-27,주간,901,170,18.9,12.2,10.3,설비고장,94.41
PRD-000240,LINE-01,PRD002,2023-08-28,전일,802,750,93.5,22.7,,,97.34
PRD-000241,LINE-01,PRD002,2023-08-29,전일,867,690,79.6,20.2,,,98.94
PRD-000242,LINE-01,PRD002,2023-08-30,전일,825,762,92.4,22.5,,,97.58
PRD-000243,LINE-01,PRD002,2023-08-31,전일,822,670,81.5,20.3,,,98.79
PRD-000244,LINE-01,PRD002,2023-09-01,주간,790,168,21.3,4.5,18.0,계획정비,97.11
PRD-000245,LINE-01,PRD002,2023-09-02,전일,782,678,86.7,21.8,,,97.43
PRD-000246,LINE-01,PRD002,2023-09-03,전일,781,757,96.9,23.5,1.5,설비고장,98.54
PRD-000247,LINE-01,PRD002,2023-09-04,전일,792,715,90.3,22.0,1.6,계획정비,97.05
PRD-000248,LINE-01,PRD002,2023-09-05,전일,839,816,97.3,20.4,,,99.32
PRD-000249,LINE-01,PRD002,2023-09-06,전일,831,777,93.5,21.2,,,98.43
PRD-000250,LINE-01,PRD002,2023-09-07,전일,813,810,99.6,23.9,,,97.14
PRD-000251,LINE-01,PRD002,2023-09-08,전일,796,835,104.9,22.7,,,99.34
PRD-000252,LINE-01,PRD002,2023-09-09,전일,887,766,86.4,22.7,1.3,품질문제,98.31
PRD-000253,LINE-01,PRD002,2023-09-10,주간,910,130,14.3,3.6,19.4,계획정비,99.22
PRD-000254,LINE-01,PRD002,2023-09-11,전일,819,842,102.8,20.4,,,98.33
PRD-000255,LINE-01,PRD002,2023-09-12,전일,860,842,97.9,23.9,,,96.04
PRD-000256,LINE-01,PRD002,2023-09-13,전일,842,813,96.6,21.8,,,98.7
PRD-000257,LINE-01,PRD002,2023-09-14,전일,771,671,87.0,23.7,2.6,원자재부족,97.22
PRD-000258,LINE-01,PRD002,2023-09-15,전일,818,711,86.9,21.3,,,98.84
PRD-000259,LINE-01,PRD002,2023-09-16,전일,861,848,98.5,23.7,,,97.81
PRD-000260,LINE-01,PRD002,2023-09-17,전일,829,781,94.2,22.5,,,98.3
PRD-000261,LINE-01,PRD002,2023-09-18,전일,895,841,94.0,21.6,,,96.72
PRD-000262,LINE-01,PRD002,2023-09-19,전일,782,801,102.4,21.5,,,96.4
PRD-000263,LINE-01,PRD002,2023-09-20,전일,860,833,96.9,22.3,,,98.96
PRD-000264,LINE-01,PRD002,2023-09-21,전일,869,790,90.9,22.7,,,96.84
PRD-000265,LINE-01,PRD002,2023-09-22,전일,788,731,92.8,22.3,,,97.7
PRD-000266,LINE-01,PRD002,2023-09-23,전일,792,699,88.3,20.6,,,97.58
PRD-000267,LINE-01,PRD003,2023-09-24,전일,796,639,80.3,21.6,3.0,라인전환,98.49
PRD-000268,LINE-01,PRD003,2023-09-25,전일,882,788,89.3,21.1,,,96.59
PRD-000269,LINE-01,PRD003,2023-09-26,전일,847,739,87.2,21.1,,,99.47
PRD-000270,LINE-01,PRD003,2023-09-27,전일,831,742,89.3,20.4,,,98.63
PRD-000271,LINE-01,PRD003,2023-09-28,전일,818,828,101.2,23.5,2.5,원자재부족,98.84
PRD-000272,LINE-01,PRD003,2023-09-29,전일,856,861,100.6,23.2,,,97.86
PRD-000273,LINE-01,PRD003,2023-09-30,전일,810,781,96.4,20.5,,,97.44
PRD-000274,LINE-01,PRD003,2023-10-01,전일,892,802,89.9,23.3,,,98.37
PRD-000275,LINE-01,PRD003,2023-10-02,전일,827,777,94.0,21.6,,,98.43
PRD-000276,LINE-01,PRD003,2023-10-03,전일,851,871,102.4,22.9,,,98.32
PRD-000277,LINE-01,PRD003,2023-10-04,전일,907,920,101.4,21.1,,,97.18
PRD-000278,LINE-01,PRD003,2023-10-05,전일,817,805,98.5,20.2,,,98.93
PRD-000279,LINE-01,PRD003,2023-10-06,전일,833,873,104.8,20.8,,,96.46
PRD-000280,LINE-01,PRD003,2023-10-07,전일,807,791,98.0,20.3,,,98.27
PRD-000281,LINE-01,PRD003,2023-10-08,전일,876,819,93.5,22.8,1.7,원자재부족,98.08
PRD-000282,LINE-01,PRD003,2023-10-09,주간,817,29,3.5,5.4,17.2,계획정비,97.67
PRD-000283,LINE-01,PRD003,2023-10-10,전일,820,746,91.0,23.1,,,96.47
PRD-000284,LINE-01,PRD003,2023-10-11,전일,849,825,97.2,21.8,,,98.2
PRD-000285,LINE-01,PRD003,2023-10-12,전일,799,822,102.9,23.0,,,97.34
PRD-000286,LINE-01,PRD003,2023-10-13,전일,860,773,89.9,23.1,,,98.97
PRD-000287,LINE-01,PRD003,2023-10-14,전일,795,738,92.8,23.1,,,96.84
PRD-000288,LINE-01,PRD003,2023-10-15,전일,859,742,86.4,23.9,,,96.46
PRD-000289,LINE-01,PRD003,2023-10-16,전일,792,747,94.3,20.1,1.2,설비고장,99.23
PRD-000290,LINE-01,PRD003,2023-10-17,전일,878,820,93.4,20.3,,,98.16
