DEFECT_ID,LINE_ID,EQUIPMENT_ID,PRODUCT_ID,DEFECT_DATE,DEFECT_TYPE,INSPECTED_QTY,DEFECT_QTY,DEFECT_RATE_PCT,SEVERITY,DISPOSITION,REWORK_COST_KRW,ROOT_CAUSE
DFT-000022,LINE-01,EQP011,PRD002,2023-06-20,치수불량,109,1,0.92,MAJOR,폐기,,원자재불량
DFT-000023,LINE-05,EQP014,PRD013,2023-04-02,조립불량,226,4,1.77,MINOR,재작업,1781393,설비마모
DFT-000024,LINE-02,EQP013,PRD004,2024-11-05,치수불량,494,3,0.61,MINOR,특채,,
DFT-000025,LINE-04,EQP006,PRD011,2024-11-09,도장불량,384,7,1.82,MINOR,재작업,703757,
DFT-000026,LINE-04,EQP006,PRD011,2023-10-11,도장불량,68,1,1.47,MINOR,폐기,,
DFT-000027,LINE-03,EQP004,PRD007,2023-10-17,치수불량,481,7,1.46,MINOR,폐기,,원자재불량
DFT-000028,LINE-03,EQP004,PRD007,2023-07-31,치수불량,145,1,0.69,MINOR,재작업,,환경요인
DFT-000029,LINE-04,EQP006,PRD011,2023-05-03,외관불량,88,1,1.14,MINOR,재작업,,
DFT-000030,LINE-04,EQP006,PRD011,2024-02-10,도장불량,50,1,2.0,MAJOR,재작업,1374909,공정파라미터
DFT-000031,LINE-02,EQP003,PRD005,2023-09-02,외관불량,388,7,1.8,MAJOR,폐기,,공정파라미터
DFT-000032,LINE-05,EQP007,PRD015,2023-08-15,외관불량,409,36,8.8,CRITICAL,폐기,,설비마모
DFT-000033,LINE-04,EQP006,PRD012,2024-11-29,도장불량,415,5,1.2,MAJOR,특채,,설비마모
DFT-000034,LINE-01,EQP001,PRD002,2024-01-07,기능불량,443,8,1.81,MAJOR,폐기,,환경요인
DFT-000035,LINE-04,EQP006,PRD011,2023-10-25,도장불량,307,4,1.3,MAJOR,특채,,
DFT-000036,LINE-01,EQP001,PRD019,2023-06-23,외관불량,357,6,1.68,MAJOR,재작업,83183,
DFT-000037,LINE-03,EQP004,PRD010,2024-05-13,치수불량,430,3,0.7,MAJOR,폐기,,공정파라미터
DFT-000038,LINE-03,EQP005,PRD007,2023-01-22,치수불량,131,1,0.76,MINOR,특채,,작업자오류
DFT-000039,LINE-06,EQP015,PRD018,2024-09-10,기능불량,500,7,1.4,MINOR,특채,,공정파라미터
DFT-000040,LINE-01,EQP002,PRD001,2023-06-18,외관불량,298,15,5.03,MINOR,재작업,1462696,작업자오류
DFT-000041,LINE-04,EQP006,PRD011,2024-05-14,외관불량,452,8,1.77,MAJOR,특채,,
DFT-000042,LINE-04,EQP006,PRD012,2024-08-19,도장불량,492,6,1.22,CRITICAL,폐기,,설비마모
DFT-000043,LINE-01,EQP002,PRD001,2023-02-22,외관불량,348,4,1.15,MINOR,폐기,,공정파라미터
DFT-000044,LINE-02,EQP013,PRD005,2023-09-18,외관불량,261,1,0.38,MAJOR,특채,,설비마모
DFT-000045,LINE-03,EQP005,PRD007,2023-06-13,기능불량,109,1,0.92,MINOR,폐기,,
DFT-000046,LINE-04,EQP006,PRD012,2023-07-22,외관불량,301,21,6.98,MAJOR,재작업,,원자재불량
DFT-000047,LINE-06,EQP009,PRD017,2023-07-27,기능불량,97,1,1.03,MINOR,재작업,1953125,환경요인
DFT-000048,LINE-04,EQP006,PRD012,2023-03-12,도장불량,248,4,1.61,MAJOR,특채,,설비마모
DFT-000049,LINE-03,EQP012,PRD008,2024-07-16,기능불량,278,2,0.72,MAJOR,특채,,공정파라미터
DFT-000050,LINE-01,EQP002,PRD019,2023-04-16,기능불량,231,1,0.43,MINOR,재작업,852721,작업자오류
DFT-000051,LINE-04,EQP006,PRD012,2024-02-23,외관불량,468,3,0.64,MINOR,재작업,1982933,
DFT-000052,LINE-01,EQP010,PRD002,2024-11-27,기능불량,339,4,1.18,MINOR,재작업,1264149,원자재불량
DFT-000053,LINE-01,EQP002,PRD003,2023-05-03,기능불량,441,3,0.68,MAJOR,특채,,원자재불량
DFT-000054,LINE-02,EQP003,PRD005,2023-12-08,치수불량,494,8,1.62,MINOR,폐기,,
DFT-000055,LINE-05,EQP014,PRD013,2023-05-06,기능불량,321,5,1.56,MAJOR,재작업,760645,
DFT-000056,LINE-04,EQP006,PRD011,2024-03-19,도장불량,166,2,1.2,CRITICAL,재작업,,공정파라미터
DFT-000057,LINE-04,EQP006,PRD011,2024-04-20,도장불량,58,1,1.72,MINOR,재작업,123408,환경요인
DFT-000058,LINE-03,EQP005,PRD009,2024-05-11,기능불량,62,1,1.61,MAJOR,재작업,568486,환경요인
DFT-000059,LINE-04,EQP006,PRD012,2024-03-20,도장불량,445,6,1.35,MAJOR,특채,,작업자오류
DFT-000060,LINE-05,EQP008,PRD016,2024-03-10,외관불량,338,5,1.48,MAJOR,재작업,,공정파라미터
DFT-000061,LINE-02,EQP013,PRD004,2023-09-28,치수불량,491,3,0.61,MINOR,특채,,설비마모
DFT-000062,LINE-03,EQP012,PRD007,2024-02-20,치수불량,400,3,0.75,CRITICAL,폐기,,공정파라미터
DFT-000063,LINE-02,EQP013,PRD020,2023-08-25,치수불량,374,2,0.53,MINOR,폐기,,설비마모
DFT-000064,LINE-01,EQP002,PRD003,2024-04-27,치수불량,269,3,1.12,MAJOR,특채,,원자재불량
DFT-000065,LINE-01,EQP001,PRD002,2024-06-30,치수불량,184,1,0.54,MINOR,폐기,,공정파라미터
DFT-000066,LINE-06,EQP009,PRD018,2024-03-23,치수불량,105,1,0.95,CRITICAL,폐기,,
DFT-000067,LINE-03,EQP005,PRD010,2023-07-29,용접불량,226,2,0.88,MINOR,폐기,,작업자오류
DFT-000068,LINE-03,EQP005,PRD008,2024-03-03,용접불량,100,1,1.0,MINOR,폐기,,
DFT-000069,LINE-02,EQP013,PRD004,2024-02-17,치수불량,494,9,1.82,MINOR,폐기,,원자재불량
DFT-000070,LINE-01,EQP010,PRD003,2023-02-16,외관불량,426,2,0.47,MINOR,폐기,,
DFT-000071,LINE-01,EQP010,PRD001,2024-06-26,기능불량,367,35,9.54,MINOR,재작업,,공정파라미터
DFT-000072,LINE-05,EQP014,PRD014,2023-07-09,기능불량,289,4,1.38,CRITICAL,재작업,1751893,환경요인
DFT-000073,LINE-02,EQP003,PRD006,2024-03-20,치수불량,97,1,1.03,MINOR,재작업,1286213,원자재불량
DFT-000074,LINE-03,EQP005,PRD007,2023-01-08,기능불량,51,1,1.96,MAJOR,특채,,원자재불량
DFT-000075,LINE-06,EQP009,PRD018,2023-04-25,기능불량,261,2,0.77,MINOR,폐기,,원자재불량
DFT-000076,LINE-05,EQP007,PRD014,2024-02-21,조립불량,293,5,1.71,MINOR,재작업,1748338,
DFT-000077,LINE-03,EQP005,PRD008,2023-03-18,기능불량,144,1,0.69,MINOR,재작업,,
DFT-000078,LINE-04,EQP006,PRD012,2024-02-12,도장불량,172,1,0.58,MINOR,특채,,공정파라미터
DFT-000079,LINE-04,EQP006,PRD011,2024-04-10,외관불량,356,4,1.12,MAJOR,폐기,,작업자오류
DFT-000080,LINE-01,EQP010,PRD001,2023-03-14,치수불량,95,1,1.05,MINOR,재작업,1453414,원자재불량
DFT-000081,LINE-02,EQP013,PRD005,2024-10-10,치수불량,334,6,1.8,MINOR,재작업,1405280,
DFT-000082,LINE-05,EQP008,PRD014,2024-03-11,외관불량,175,1,0.57,MAJOR,특채,,원자재불량
DFT-000083,LINE-01,EQP011,PRD002,2023-06-28,기능불량,466,3,0.64,MAJOR,특채,,설비마모
DFT-000084,LINE-02,EQP003,PRD004,2024-11-19,외관불량,332,27,8.13,MINOR,폐기,,공정파라미터
DFT-000085,LINE-03,EQP012,PRD007,2023-03-28,용접불량,50,1,2.0,MINOR,재작업,,환경요인
DFT-000086,LINE-02,EQP013,PRD020,2024-03-05,외관불량,218,1,0.46,MINOR,폐기,,환경요인
DFT-000087,LINE-04,EQP006,PRD012,2024-07-23,도장불량,458,8,1.75,MAJOR,재작업,1639802,원자재불량
DFT-000088,LINE-06,EQP015,PRD017,2024-10-27,외관불량,258,4,1.55,MAJOR,재작업,1670269,공정파라미터
DFT-000089,LINE-04,EQP006,PRD011,2024-12-15,외관불량,412,3,0.73,MINOR,특채,,작업자오류
DFT-000090,LINE-05,EQP008,PRD015,2023-03-29,조립불량,296,4,1.35,MAJOR,특채,,작업자오류
DFT-000091,LINE-05,EQP008,PRD015,2024-12-05,외관불량,261,25,9.58,MAJOR,특채,,원자재불량
DFT-000092,LINE-05,EQP014,PRD014,2023-11-16,조립불량,367,3,0.82,MINOR,폐기,,원자재불량
DFT-000093,LINE-01,EQP002,PRD003,2023-11-29,외관불량,377,21,5.57,MINOR,폐기,,
DFT-000094,LINE-05,EQP014,PRD013,2023-12-07,기능불량,105,2,1.9,MINOR,폐기,,공정파라미터
DFT-000095,LINE-05,EQP008,PRD013,2023-06-15,조립불량,469,2,0.43,MINOR,재작업,238800,원자재불량
DFT-000096,LINE-01,EQP011,PRD003,2024-07-16,외관불량,57,1,1.75,MAJOR,재작업,1294842,공정파라미터
DFT-000097,LINE-04,EQP006,PRD011,2023-01-04,도장불량,115,1,0.87,MAJOR,특채,,공정파라미터
DFT-000098,LINE-03,EQP004,PRD009,2024-08-25,용접불량,256,2,0.78,CRITICAL,폐기,,공정파라미터
DFT-000099,LINE-02,EQP003,PRD004,2024-01-23,치수불량,391,6,1.53,MINOR,재작업,876895,설비마모
DFT-000100,LINE-03,EQP005,PRD008,2023-12-12,기능불량,370,6,1.62,MINOR,재작업,,
DFT-000101,LINE-06,EQP015,PRD018,2023-01-30,치수불량,499,7,1.4,MINOR,재작업,456173,설비마모
DFT-000102,LINE-01,EQP002,PRD003,2024-02-20,외관불량,241,2,0.83,MINOR,특채,,설비마모
DFT-000103,LINE-02,EQP003,PRD020,2023-10-28,외관불량,284,4,1.41,MAJOR,폐기,,공정파라미터
DFT-000104,LINE-05,EQP007,PRD015,2024-01-29,조립불량,60,1,1.67,MINOR,특채,,
DFT-000105,LINE-03,EQP012,PRD010,2024-10-06,기능불량,243,3,1.23,MINOR,특채,,설비마모
DFT-000106,LINE-05,EQP014,PRD013,2023-11-24,기능불량,198,1,0.51,MAJOR,재작업,1154030,공정파라미터
DFT-000107,LINE-02,EQP013,PRD004,2023-04-18,치수불량,363,21,5.79,MINOR,특채,,환경요인
DFT-000108,LINE-05,EQP014,PRD015,2023-01-23,기능불량,85,1,1.18,MAJOR,재작업,,작업자오류
DFT-000109,LINE-05,EQP014,PRD013,2024-03-26,조립불량,144,1,0.69,MINOR,특채,,
DFT-000110,LINE-01,EQP011,PRD002,2023-09-13,외관불량,278,5,1.8,MAJOR,폐기,,설비마모
DFT-000111,LINE-01,EQP001,PRD003,2024-01-15,치수불량,254,3,1.18,MAJOR,폐기,,공정파라미터
DFT-000112,LINE-06,EQP009,PRD017,2024-08-16,외관불량,188,2,1.06,MAJOR,재작업,1285963,공정파라미터
DFT-000113,LINE-04,EQP006,PRD011,2023-12-03,도장불량,206,3,1.46,MINOR,재작업,1359838,작업자오류
DFT-000114,LINE-05,EQP014,PRD014,2023-07-28,기능불량,278,2,0.72,MINOR,재작업,,공정파라미터
DFT-000115,LINE-05,EQP014,PRD016,2023-10-04,외관불량,348,6,1.72,MINOR,특채,,공정파라미터
DFT-000116,LINE-05,EQP007,PRD015,2023-08-26,조립불량,404,5,1.24,MINOR,특채,,환경요인
DFT-000117,LINE-06,EQP015,PRD018,2023-02-24,기능불량,192,1,0.52,MINOR,재작업,621881,작업자오류
DFT-000118,LINE-05,EQP008,PRD013,2024-05-06,조립불량,221,3,1.36,MINOR,재작업,631468,설비마모
DFT-000119,LINE-05,EQP007,PRD013,2023-04-03,기능불량,458,33,7.21,MAJOR,재작업,1899987,설비마모
DFT-000120,LINE-05,EQP014,PRD013,2024-02-28,외관불량,336,3,0.89,CRITICAL,폐기,,공정파라미터
DFT-000121,LINE-03,EQP004,PRD007,2024-04-25,용접불량,384,3,0.78,MINOR,특채,,원자재불량
DFT-000122,LINE-04,EQP006,PRD012,2024-02-08,외관불량,97,1,1.03,MAJOR,폐기,,설비마모
DFT-000123,LINE-04,EQP006,PRD012,2023-07-05,외관불량,256,4,1.56,CRITICAL,특채,,공정파라미터
DFT-000124,LINE-01,EQP002,PRD001,2024-06-30,치수불량,431,2,0.46,MAJOR,특채,,환경요인
DFT-000125,LINE-01,EQP010,PRD019,2023-11-07,외관불량,464,6,1.29,MAJOR,폐기,,설비마모
DFT-000126,LINE-04,EQP006,PRD012,2023-08-19,도장불량,338,3,0.89,MAJOR,재작업,,공정파라미터
DFT-000127,LINE-05,EQP014,PRD013,2023-02-19,조립불량,140,1,0.71,MINOR,폐기,,
DFT-000128,LINE-01,EQP002,PRD001,2023-01-10,외관불량,489,2,0.41,MAJOR,특채,,작업자오류
DFT-000129,LINE-05,EQP008,PRD013,2024-03-12,조립불량,357,2,0.56,MAJOR,재작업,712987,원자재불량
DFT-000130,LINE-03,EQP004,PRD009,2023-01-15,기능불량,217,1,0.46,MINOR,재작업,1134792,공정파라미터
DFT-000131,LINE-06,EQP009,PRD018,2023-04-06,기능불량,481,8,1.66,MINOR,재작업,,작업자오류
DFT-000132,LINE-03,EQP004,PRD007,2024-09-22,용접불량,187,1,0.53,MINOR,폐기,,
DFT-000133,LINE-02,EQP013,PRD004,2024-11-15,외관불량,83,4,4.82,MAJOR,폐기,,설비마모
DFT-000134,LINE-02,EQP003,PRD020,2024-05-13,외관불량,158,3,1.9,MAJOR,폐기,,작업자오류
DFT-000135,LINE-02,EQP003,PRD005,2023-03-07,외관불량,260,1,0.38,MINOR,폐기,,작업자오류
DFT-000136,LINE-05,EQP014,PRD014,2023-03-19,외관불량,358,3,0.84,MINOR,재작업,494638,작업자오류
DFT-000137,LINE-03,EQP004,PRD009,2024-10-17,기능불량,469,8,1.71,MINOR,특채,,공정파라미터
DFT-000138,LINE-01,EQP011,PRD001,2024-10-24,치수불량,195,2,1.03,MINOR,폐기,,설비마모
DFT-000139,LINE-01,EQP011,PRD003,2023-09-21,기능불량,307,3,0.98,MAJOR,폐기,,환경요인
DFT-000140,LINE-06,EQP015,PRD017,2023-05-22,기능불량,211,2,0.95,MINOR,폐기,,
DFT-000141,LINE-05,EQP007,PRD016,2024-02-16,조립불량,369,5,1.36,MAJOR,특채,,공정파라미터
DFT-000142,LINE-02,EQP013,PRD005,2024-03-26,치수불량,110,1,0.91,MAJOR,폐기,,원자재불량
DFT-000143,LINE-03,EQP005,PRD008,2024-09-02,기능불량,402,6,1.49,CRITICAL,재작업,395839,
DFT-000144,LINE-01,EQP011,PRD019,2023-12-30,치수불량,500,7,1.4,CRITICAL,특채,,설비마모
DFT-000145,LINE-03,EQP012,PRD008,2023-09-03,용접불량,368,3,0.82,MINOR,재작업,1478908,작업자오류
DFT-000146,LINE-06,EQP015,PRD018,2024-01-12,치수불량,204,2,0.98,MINOR,폐기,,공정파라미터
DFT-000147,LINE-02,EQP003,PRD006,2023-08-13,치수불량,65,1,1.54,CRITICAL,특채,,환경요인
DFT-000148,LINE-05,EQP008,PRD014,2024-03-31,외관불량,397,4,1.01,CRITICAL,재작업,1791404,환경요인
DFT-000149,LINE-05,EQP007,PRD013,2024-04-01,외관불량,337,3,0.89,CRITICAL,폐기,,환경요인
DFT-000150,LINE-05,EQP008,PRD016,2024-11-27,외관불량,424,30,7.08,MINOR,폐기,,작업자오류
DFT-000151,LINE-06,EQP015,PRD018,2023-06-11,외관불량,51,1,1.96,MINOR,폐기,,설비마모
DFT-000152,LINE-05,EQP008,PRD015,2024-10-16,외관불량,471,7,1.49,MINOR,특채,,설비마모
DFT-000153,LINE-04,EQP006,PRD011,2023-02-05,도장불량,254,3,1.18,MAJOR,재작업,652993,원자재불량
DFT-000154,LINE-04,EQP006,PRD012,2024-10-09,외관불량,147,1,0.68,MINOR,폐기,,작업자오류
DFT-000155,LINE-01,EQP011,PRD002,2023-10-03,기능불량,343,6,1.75,MAJOR,특채,,환경요인
DFT-000156,LINE-01,EQP001,PRD002,2023-01-01,치수불량,150,1,0.67,MINOR,재작업,1410964,설비마모
DFT-000157,LINE-06,EQP015,PRD017,2024-09-25,기능불량,376,4,1.06,MAJOR,특채,,공정파라미터
DFT-000158,LINE-01,EQP011,PRD002,2023-03-09,외관불량,276,2,0.72,MAJOR,특채,,설비마모
DFT-000159,LINE-06,EQP009,PRD017,2023-04-19,외관불량,88,1,1.14,CRITICAL,특채,,
DFT-000160,LINE-02,EQP003,PRD004,2023-12-05,외관불량,85,1,1.18,MAJOR,폐기,,작업자오류
DFT-000161,LINE-05,EQP008,PRD013,2023-02-08,기능불량,334,2,0.6,MAJOR,폐기,,
DFT-000162,LINE-03,EQP005,PRD009,2023-05-14,치수불량,109,5,4.59,MINOR,폐기,,설비마모
DFT-000163,LINE-02,EQP013,PRD020,2024-10-21,치수불량,180,1,0.56,CRITICAL,재작업,1740973,
DFT-000164,LINE-03,EQP005,PRD007,2024-11-07,기능불량,385,20,5.19,MAJOR,폐기,,공정파라미터
DFT-000165,LINE-06,EQP015,PRD018,2024-10-15,외관불량,239,2,0.84,MINOR,특채,,설비마모
DFT-000166,LINE-04,EQP006,PRD012,2023-08-19,외관불량,300,5,1.67,MINOR,재작업,1645830,환경요인
DFT-000167,LINE-06,EQP009,PRD018,2024-08-20,외관불량,326,3,0.92,MAJOR,재작업,,설비마모
DFT-000168,LINE-03,EQP004,PRD008,2023-10-23,치수불량,62,1,1.61,MAJOR,재작업,,공정파라미터
DFT-000169,LINE-01,EQP002,PRD019,2023-01-03,외관불량,222,2,0.9,MAJOR,특채,,환경요인
DFT-000170,LINE-06,EQP009,PRD018,2023-10-25,치수불량,121,1,0.83,MINOR,재작업,1380969,
DFT-000171,LINE-05,EQP007,PRD013,2023-12-24,기능불량,248,3,1.21,MAJOR,재작업,1951870,설비마모
DFT-000172,LINE-05,EQP014,PRD013,2023-09-22,외관불량,313,5,1.6,MINOR,재작업,,작업자오류
DFT-000173,LINE-03,EQP012,PRD008,2023-11-06,용접불량,213,3,1.41,MINOR,폐기,,
DFT-000174,LINE-04,EQP006,PRD012,2023-05-17,도장불량,339,2,0.59,CRITICAL,특채,,공정파라미터
DFT-000175,LINE-02,EQP013,PRD005,2024-03-15,치수불량,127,1,0.79,MAJOR,특채,,
DFT-000176,LINE-04,EQP006,PRD012,2023-01-13,외관불량,380,4,1.05,MINOR,특채,,
DFT-000177,LINE-02,EQP013,PRD006,2024-04-29,외관불량,341,4,1.17,MINOR,폐기,,원자재불량
DFT-000178,LINE-04,EQP006,PRD012,2023-11-22,외관불량,296,2,0.68,MINOR,특채,,
DFT-000179,LINE-04,EQP006,PRD011,2024-10-03,도장불량,383,4,1.04,MINOR,재작업,,설비마모
DFT-000180,LINE-06,EQP009,PRD018,2023-12-28,외관불량,229,3,1.31,CRITICAL,특채,,환경요인
DFT-000181,LINE-06,EQP009,PRD017,2024-11-14,치수불량,383,7,1.83,CRITICAL,재작업,1289439,
DFT-000182,LINE-03,EQP012,PRD009,2023-04-04,기능불량,372,3,0.81,MINOR,특채,,
DFT-000183,LINE-06,EQP009,PRD018,2023-05-09,치수불량,426,2,0.47,MINOR,특채,,공정파라미터
DFT-000184,LINE-02,EQP003,PRD004,2024-11-08,외관불량,377,3,0.8,MAJOR,재작업,,환경요인
DFT-000185,LINE-03,EQP005,PRD007,2023-09-13,기능불량,305,4,1.31,MINOR,재작업,,원자재불량
DFT-000186,LINE-03,EQP004,PRD010,2024-12-19,치수불량,123,9,7.32,MAJOR,특채,,작업자오류
DFT-000187,LINE-04,EQP006,PRD012,2024-09-24,외관불량,358,2,0.56,MAJOR,특채,,원자재불량
DFT-000188,LINE-04,EQP006,PRD011,2024-06-19,외관불량,265,3,1.13,MAJOR,특채,,설비마모
DFT-000189,LINE-03,EQP012,PRD008,2023-12-23,치수불량,274,2,0.73,MAJOR,재작업,442682,작업자오류
DFT-000190,LINE-06,EQP015,PRD018,2023-05-14,기능불량,186,16,8.6,MAJOR,특채,,공정파라미터
DFT-000191,LINE-03,EQP005,PRD010,2023-09-16,치수불량,143,1,0.7,MINOR,폐기,,환경요인
DFT-000192,LINE-01,EQP011,PRD002,2023-12-06,치수불량,239,13,5.44,MINOR,폐기,,원자재불량
DFT-000193,LINE-03,EQP005,PRD010,2023-11-01,용접불량,370,1,0.27,MINOR,재작업,1905168,공정파라미터
DFT-000194,LINE-06,EQP009,PRD018,2023-12-07,기능불량,209,2,0.96,MINOR,재작업,,
DFT-000195,LINE-04,EQP006,PRD012,2024-04-12,도장불량,229,2,0.87,MAJOR,특채,,원자재불량
DFT-000196,LINE-02,EQP013,PRD004,2024-01-07,외관불량,389,4,1.03,CRITICAL,재작업,1071738,공정파라미터
DFT-000197,LINE-03,EQP005,PRD007,2023-12-28,치수불량,102,1,0.98,MAJOR,재작업,,설비마모
DFT-000198,LINE-02,EQP003,PRD005,2024-04-18,치수불량,316,4,1.27,MAJOR,특채,,설비마모
DFT-000199,LINE-04,EQP006,PRD011,2023-05-18,도장불량,300,5,1.67,MINOR,폐기,,환경요인
DFT-000200,LINE-05,EQP007,PRD013,2023-07-19,외관불량,194,2,1.03,MINOR,폐기,,설비마모
DFT-000201,LINE-06,EQP009,PRD017,2023-01-03,외관불량,425,5,1.18,MINOR,재작업,598247,설비마모
DFT-000202,LINE-03,EQP012,PRD009,2024-02-03,용접불량,405,4,0.99,MAJOR,폐기,,
DFT-000203,LINE-06,EQP015,PRD018,2024-03-01,치수불량,57,1,1.75,MINOR,폐기,,작업자오류
DFT-000204,LINE-01,EQP001,PRD001,2024-02-28,외관불량,328,30,9.15,MINOR,특채,,환경요인
DFT-000205,LINE-06,EQP009,PRD017,2023-01-08,치수불량,149,1,0.67,MAJOR,폐기,,환경요인
DFT-000206,LINE-02,EQP003,PRD004,2024-10-06,치수불량,282,28,9.93,CRITICAL,특채,,설비마모
DFT-000207,LINE-05,EQP014,PRD014,2024-03-10,조립불량,497,5,1.01,MAJOR,특채,,
DFT-000208,LINE-03,EQP004,PRD009,2024-01-11,기능불량,346,2,0.58,CRITICAL,재작업,1473892,원자재불량
DFT-000209,LINE-05,EQP014,PRD014,2023-05-18,외관불량,207,3,1.45,MINOR,특채,,환경요인
DFT-000210,LINE-05,EQP007,PRD015,2023-12-07,외관불량,410,3,0.73,MAJOR,특채,,환경요인
DFT-000211,LINE-03,EQP012,PRD009,2024-11-01,치수불량,95,5,5.26,MINOR,특채,,원자재불량
DFT-000212,LINE-03,EQP012,PRD009,2024-01-04,치수불량,313,2,0.64,MAJOR,특채,,원자재불량
DFT-000213,LINE-01,EQP011,PRD001,2024-09-15,기능불량,63,1,1.59,MINOR,특채,,공정파라미터
DFT-000214,LINE-06,EQP009,PRD018,2023-01-19,치수불량,418,6,1.44,MAJOR,재작업,1885525,환경요인
DFT-000215,LINE-04,EQP006,PRD011,2024-03-14,도장불량,287,5,1.74,MAJOR,특채,,설비마모
DFT-000216,LINE-05,EQP007,PRD013,2023-09-27,외관불량,111,1,0.9,MINOR,폐기,,작업자오류
DFT-000217,LINE-05,EQP014,PRD016,2023-11-05,기능불량,181,9,4.97,MINOR,재작업,1208943,환경요인
DFT-000218,LINE-06,EQP009,PRD018,2023-12-21,외관불량,60,1,1.67,MAJOR,특채,,설비마모
DFT-000219,LINE-01,EQP011,PRD003,2023-01-22,치수불량,386,3,0.78,MINOR,폐기,,원자재불량
DFT-000220,LINE-02,EQP013,PRD006,2024-09-23,외관불량,265,4,1.51,MINOR,특채,,작업자오류
DFT-000221,LINE-06,EQP009,PRD017,2024-09-06,치수불량,405,2,0.49,MAJOR,재작업,369491,작업자오류
DFT-000222,LINE-05,EQP014,PRD015,2023-10-28,기능불량,69,6,8.7,MINOR,폐기,,설비마모
DFT-000223,LINE-04,EQP006,PRD011,2023-02-10,외관불량,187,1,0.53,MINOR,폐기,,공정파라미터
DFT-000224,LINE-03,EQP012,PRD010,2023-06-13,치수불량,284,5,1.76,MAJOR,재작업,1164480,원자재불량
DFT-000225,LINE-06,EQP009,PRD017,2023-05-16,외관불량,68,1,1.47,CRITICAL,재작업,,공정파라미터
DFT-000226,LINE-01,EQP001,PRD003,2024-11-22,치수불량,397,3,0.76,CRITICAL,폐기,,환경요인
DFT-000227,LINE-04,EQP006,PRD011,2023-12-19,외관불량,446,3,0.67,MINOR,특채,,공정파라미터
DFT-000228,LINE-03,EQP012,PRD009,2024-04-05,치수불량,219,2,0.91,MAJOR,폐기,,환경요인
DFT-000229,LINE-04,EQP006,PRD012,2024-03-12,도장불량,255,4,1.57,MINOR,폐기,,설비마모
DFT-000230,LINE-01,EQP002,PRD003,2023-02-22,외관불량,257,2,0.78,MAJOR,재작업,,공정파라미터
DFT-000231,LINE-02,EQP013,PRD006,2023-12-24,외관불량,53,1,1.89,MINOR,특채,,작업자오류
DFT-000232,LINE-06,EQP015,PRD017,2023-12-03,치수불량,70,1,1.43,MINOR,특채,,설비마모
DFT-000233,LINE-01,EQP011,PRD001,2024-06-19,치수불량,380,6,1.58,MINOR,특채,,환경요인
