DELAY_ID,DELIVERY_ID,VEHICLE_ID,ROUTE_ID,DELAY_DATE,SCHEDULED_ARRIVAL,ACTUAL_ARRIVAL,DELAY_MINUTES,DELAY_CAUSE,SEVERITY,CUSTOMER_COMPLAINT,COMPENSATION_KRW,RESOLUTION_STATUS
DLY000037,DLV0007958,VHC020,RTE014,2023-12-17,12:00,15:21,201,교통체증,SEVERE,Y,20000,PENDING
DLY000038,DLV0009425,VHC002,RTE012,2024-02-19,13:21,13:28,7,교통체증,MINOR,N,,RESOLVED
DLY000039,DLV0015688,VHC005,RTE010,2024-11-22,08:45,08:54,9,교통체증,MINOR,N,,RESOLVED
DLY000040,DLV0012681,VHC024,RTE013,2024-07-11,14:53,15:55,62,설비고장,MODERATE,N,,PENDING
DLY000041,DLV0008001,VHC016,RTE012,2023-12-18,13:24,15:18,114,날씨,MODERATE,Y,,RESOLVED
DLY000042,DLV0012277,VHC017,RTE015,2024-06-24,15:39,17:26,107,집하지연,MODERATE,N,,RESOLVED
DLY000043,DLV0005842,VHC007,RTE002,2023-09-11,03:13,08:10,297,교통체증,SEVERE,Y,3000,RESOLVED
DLY000044,DLV0007492,VHC010,RTE013,2023-11-26,12:00,12:09,9,날씨,MINOR,N,,RESOLVED
DLY000045,DLV0000119,VHC016,RTE002,2023-01-06,02:55,07:58,303,날씨,SEVERE,N,,RESOLVED
DLY000046,DLV0011617,VHC013,RTE009,2024-05-26,10:04,10:33,29,집하지연,MINOR,N,,PENDING
DLY000047,DLV0002255,VHC013,RTE016,2023-04-07,01:59,02:20,21,교통체증,MINOR,N,,RESOLVED
DLY000048,DLV0015220,VHC008,RTE017,2024-10-31,19:46,19:57,11,설비고장,MINOR,N,,PENDING
DLY000049,DLV0008849,VHC005,RTE001,2024-01-25,05:09,05:24,15,날씨,MINOR,N,,RESOLVED
DLY000050,DLV0011772,VHC020,RTE002,2024-06-02,02:30,06:20,230,인력부족,SEVERE,N,,RESOLVED
DLY000051,DLV0012802,VHC014,RTE005,2024-07-16,08:05,08:30,25,사고,MINOR,N,,RESOLVED
DLY000052,DLV0006432,VHC010,RTE004,2023-10-08,23:31,00:54,83,날씨,MODERATE,N,,RESOLVED
DLY000053,DLV0011275,VHC010,RTE009,2024-05-11,07:34,07:56,22,사고,MINOR,N,,RESOLVED
DLY000054,DLV0003467,VHC023,RTE017,2023-05-30,23:59,00:09,10,교통체증,MINOR,N,,RESOLVED
DLY000055,DLV0016177,VHC012,RTE013,2024-12-12,12:22,12:32,10,날씨,MINOR,N,,RESOLVED
DLY000056,DLV0008431,VHC001,RTE008,2024-01-06,08:08,08:27,19,설비고장,MINOR,Y,,RESOLVED
DLY000057,DLV0007242,VHC019,RTE006,2023-11-14,09:51,11:42,111,날씨,MODERATE,N,,PENDING
DLY000058,DLV0007238,VHC025,RTE006,2023-11-14,08:13,08:52,39,날씨,MODERATE,Y,5000,RESOLVED
DLY000059,DLV0010095,VHC002,RTE013,2024-03-21,11:49,12:00,11,설비고장,MINOR,N,,RESOLVED
DLY000060,DLV0008891,VHC005,RTE004,2024-01-27,00:46,01:50,64,집하지연,MODERATE,N,,RESOLVED
DLY000061,DLV0013204,VHC011,RTE005,2024-08-02,10:40,16:38,358,집하지연,SEVERE,Y,3000,PENDING
DLY000062,DLV0010706,VHC014,RTE016,2024-04-16,03:02,04:01,59,수취인부재,MODERATE,Y,,RESOLVED
DLY000063,DLV0006405,VHC007,RTE005,2023-10-07,10:02,10:09,7,날씨,MINOR,N,,RESOLVED
DLY000064,DLV0012965,VHC020,RTE003,2024-07-23,02:03,02:15,12,수취인부재,MINOR,Y,,ESCALATED
DLY000065,DLV0010097,VHC008,RTE009,2024-03-21,10:11,10:30,19,사고,MINOR,N,,RESOLVED
DLY000066,DLV0001569,VHC005,RTE006,2023-03-08,10:04,10:53,49,집하지연,MODERATE,N,,ESCALATED
DLY000067,DLV0015983,VHC023,RTE005,2024-12-03,11:52,14:31,159,날씨,SEVERE,Y,10000,RESOLVED
DLY000068,DLV0013945,VHC022,RTE015,2024-09-04,14:13,15:01,48,사고,MODERATE,N,,RESOLVED
DLY000069,DLV0005595,VHC017,RTE007,2023-09-01,11:22,12:01,39,인력부족,MODERATE,N,,RESOLVED
DLY000070,DLV0013014,VHC001,RTE012,2024-07-25,14:58,20:52,354,수취인부재,SEVERE,Y,5000,RESOLVED
DLY000071,DLV0014907,VHC007,RTE009,2024-10-17,08:32,,20,사고,MINOR,N,,RESOLVED
DLY000072,DLV0011594,VHC011,RTE009,2024-05-25,10:18,,12,사고,MINOR,N,,RESOLVED
DLY000073,DLV0008228,VHC006,RTE008,2023-12-27,07:37,08:02,25,설비고장,MINOR,N,,RESOLVED
DLY000074,DLV0014348,VHC014,RTE010,2024-09-22,09:01,10:31,90,설비고장,MODERATE,N,,RESOLVED
DLY000075,DLV0011399,VHC014,RTE017,2024-05-16,21:00,21:08,8,날씨,MINOR,N,,RESOLVED
DLY000076,DLV0011035,VHC024,RTE012,2024-04-30,13:27,,36,교통체증,MODERATE,N,,RESOLVED
DLY000077,DLV0000865,VHC005,RTE006,2023-02-07,12:22,12:31,9,설비고장,MINOR,N,,RESOLVED
DLY000078,DLV0004097,VHC013,RTE012,2023-06-26,11:33,13:22,109,교통체증,MODERATE,Y,,RESOLVED
DLY000079,DLV0002788,VHC023,RTE001,2023-04-30,03:28,05:20,112,설비고장,MODERATE,Y,3000,RESOLVED
DLY000080,DLV0012712,VHC017,RTE019,2024-07-12,14:26,15:25,59,교통체증,MODERATE,Y,3000,RESOLVED
DLY000081,DLV0007682,VHC018,RTE006,2023-12-05,10:41,,10,설비고장,MINOR,N,,RESOLVED
DLY000082,DLV0001882,VHC003,RTE016,2023-03-22,01:48,02:14,26,교통체증,MINOR,N,,RESOLVED
DLY000083,DLV0002052,VHC018,RTE014,2023-03-29,11:56,12:56,60,날씨,MODERATE,Y,,PENDING
DLY000084,DLV0010799,VHC023,RTE012,2024-04-20,13:25,13:34,9,사고,MINOR,N,,RESOLVED
DLY000085,DLV0016408,VHC018,RTE010,2024-12-21,11:28,11:51,23,날씨,MINOR,N,,RESOLVED
DLY000086,DLV0000998,VHC025,RTE005,2023-02-12,11:32,13:30,118,날씨,MODERATE,N,,PENDING
DLY000087,DLV0008839,VHC021,RTE006,2024-01-24,10:58,11:14,16,교통체증,MINOR,N,,RESOLVED
DLY000088,DLV0003150,VHC019,RTE003,2023-05-16,03:14,04:16,62,집하지연,MODERATE,Y,3000,ESCALATED
DLY000089,DLV0010308,VHC014,RTE005,2024-03-30,11:02,,122,인력부족,SEVERE,Y,10000,RESOLVED
DLY000090,DLV0011818,VHC013,RTE006,2024-06-04,11:16,,11,집하지연,MINOR,N,,PENDING
DLY000091,DLV0015760,VHC018,RTE013,2024-11-25,10:23,10:31,8,집하지연,MINOR,N,,RESOLVED
DLY000092,DLV0004621,VHC001,RTE019,2023-07-18,13:24,15:11,107,교통체증,MODERATE,N,,PENDING
DLY000093,DLV0001740,VHC011,RTE008,2023-03-15,11:55,12:19,24,날씨,MINOR,N,,PENDING
DLY000094,DLV0002675,VHC023,RTE005,2023-04-25,09:52,,194,교통체증,SEVERE,Y,5000,RESOLVED
DLY000095,DLV0011970,VHC001,RTE004,2024-06-11,01:38,03:26,108,교통체증,MODERATE,N,,RESOLVED
DLY000096,DLV0016040,VHC011,RTE011,2024-12-06,11:48,11:58,10,날씨,MINOR,N,,RESOLVED
DLY000097,DLV0010483,VHC004,RTE004,2024-04-07,23:13,23:36,23,집하지연,MINOR,Y,,RESOLVED
DLY000098,DLV0016032,VHC010,RTE015,2024-12-06,14:34,,29,날씨,MINOR,N,,RESOLVED
DLY000099,DLV0016610,VHC020,RTE014,2024-12-30,11:00,,298,날씨,SEVERE,Y,20000,PENDING
DLY000100,DLV0006583,VHC013,RTE009,2023-10-15,07:44,08:09,25,사고,MINOR,N,,RESOLVED
DLY000101,DLV0007694,VHC001,RTE003,2023-12-05,04:10,,8,수취인부재,MINOR,N,,RESOLVED
DLY000102,DLV0006446,VHC006,RTE004,2023-10-09,00:08,,28,수취인부재,MINOR,N,,RESOLVED
DLY000103,DLV0014324,VHC022,RTE009,2024-09-21,11:11,13:48,157,설비고장,SEVERE,Y,15000,PENDING
DLY000104,DLV0014129,VHC012,RTE001,2024-09-11,04:15,04:30,15,날씨,MINOR,N,,RESOLVED
DLY000105,DLV0013815,VHC001,RTE010,2024-08-29,09:41,09:52,11,집하지연,MINOR,N,,RESOLVED
DLY000106,DLV0001359,VHC007,RTE019,2023-02-26,11:22,11:46,24,설비고장,MINOR,N,,RESOLVED
DLY000107,DLV0007130,VHC023,RTE008,2023-11-09,09:12,09:29,17,수취인부재,MINOR,N,,PENDING
DLY000108,DLV0000124,VHC002,RTE003,2023-01-06,01:39,01:48,9,수취인부재,MINOR,N,,PENDING
DLY000109,DLV0000055,VHC022,RTE005,2023-01-03,07:55,08:22,27,교통체증,MINOR,N,,PENDING
DLY000110,DLV0003078,VHC002,RTE010,2023-05-12,09:01,13:28,267,날씨,SEVERE,N,,PENDING
DLY000111,DLV0015751,VHC022,RTE019,2024-11-24,14:14,15:39,85,교통체증,MODERATE,N,,PENDING
DLY000112,DLV0002037,VHC002,RTE004,2023-03-28,01:32,01:51,19,사고,MINOR,N,,ESCALATED
DLY000113,DLV0001040,VHC022,RTE019,2023-02-14,13:25,13:31,6,교통체증,MINOR,N,,RESOLVED
DLY000114,DLV0012708,VHC021,RTE015,2024-07-12,14:46,15:09,23,설비고장,MINOR,N,,PENDING
DLY000115,DLV0002056,VHC021,RTE006,2023-03-29,10:03,,71,사고,MODERATE,N,,ESCALATED
DLY000116,DLV0010342,VHC015,RTE012,2024-04-01,11:30,,78,날씨,MODERATE,N,,ESCALATED
DLY000117,DLV0016085,VHC017,RTE015,2024-12-08,15:44,16:45,61,집하지연,MODERATE,Y,,ESCALATED
DLY000118,DLV0012992,VHC007,RTE015,2024-07-24,11:55,13:10,75,날씨,MODERATE,Y,1000,RESOLVED
DLY000119,DLV0004660,VHC020,RTE012,2023-07-20,14:07,14:12,5,교통체증,MINOR,N,,PENDING
DLY000120,DLV0015230,VHC022,RTE007,2024-11-01,10:01,11:53,112,날씨,MODERATE,Y,3000,RESOLVED
DLY000121,DLV0005591,VHC013,RTE007,2023-09-01,07:16,07:35,19,날씨,MINOR,N,,ESCALATED
DLY000122,DLV0005050,VHC019,RTE007,2023-08-05,10:57,,233,인력부족,SEVERE,Y,3000,PENDING
DLY000123,DLV0009254,VHC006,RTE004,2024-02-12,00:41,06:26,345,날씨,SEVERE,Y,5000,ESCALATED
DLY000124,DLV0014035,VHC023,RTE008,2024-09-07,07:32,07:38,6,사고,MINOR,N,,RESOLVED
DLY000125,DLV0001304,VHC004,RTE010,2023-02-24,08:57,09:31,34,인력부족,MODERATE,N,,RESOLVED
DLY000126,DLV0005462,VHC007,RTE008,2023-08-25,10:34,10:57,23,집하지연,MINOR,N,,RESOLVED
DLY000127,DLV0003579,VHC003,RTE010,2023-06-04,09:56,10:39,43,집하지연,MODERATE,N,,PENDING
DLY000128,DLV0011439,VHC025,RTE014,2024-05-18,15:04,16:08,64,교통체증,MODERATE,Y,2000,RESOLVED
DLY000129,DLV0007623,VHC008,RTE006,2023-12-02,11:14,11:38,24,설비고장,MINOR,N,,RESOLVED
DLY000130,DLV0011118,VHC021,RTE012,2024-05-04,13:46,14:02,16,사고,MINOR,N,,RESOLVED
DLY000131,DLV0001433,VHC010,RTE002,2023-03-02,02:32,03:23,51,사고,MODERATE,Y,,RESOLVED
DLY000132,DLV0010645,VHC007,RTE003,2024-04-14,02:39,03:03,24,사고,MINOR,N,,RESOLVED
DLY000133,DLV0003337,VHC015,RTE004,2023-05-24,01:17,01:44,27,교통체증,MINOR,N,,ESCALATED
DLY000134,DLV0016573,VHC023,RTE013,2024-12-28,10:16,12:02,106,집하지연,MODERATE,N,,RESOLVED
DLY000135,DLV0001114,VHC012,RTE019,2023-02-17,12:37,13:04,27,날씨,MINOR,N,,RESOLVED
DLY000136,DLV0001024,VHC014,RTE003,2023-02-13,03:43,03:56,13,사고,MINOR,N,,RESOLVED
DLY000137,DLV0000807,VHC006,RTE001,2023-02-04,03:03,04:11,68,집하지연,MODERATE,Y,2000,RESOLVED
DLY000138,DLV0003048,VHC013,RTE013,2023-05-11,13:51,13:56,5,사고,MINOR,N,,RESOLVED
DLY000139,DLV0014264,VHC017,RTE016,2024-09-18,03:31,03:52,21,날씨,MINOR,N,,RESOLVED
DLY000140,DLV0012723,VHC007,RTE003,2024-07-12,02:22,02:42,20,날씨,MINOR,N,,RESOLVED
DLY000141,DLV0009889,VHC001,RTE002,2024-03-11,01:47,02:10,23,교통체증,MINOR,N,,RESOLVED
DLY000142,DLV0006178,VHC002,RTE001,2023-09-27,04:15,08:37,262,집하지연,SEVERE,Y,15000,RESOLVED
DLY000143,DLV0000202,VHC010,RTE014,2023-01-10,15:27,15:48,21,교통체증,MINOR,N,,ESCALATED
DLY000144,DLV0011106,VHC002,RTE005,2024-05-03,08:48,09:09,21,인력부족,MINOR,N,,RESOLVED
DLY000145,DLV0003772,VHC011,RTE008,2023-06-12,09:45,,18,설비고장,MINOR,N,,RESOLVED
DLY000146,DLV0005102,VHC019,RTE008,2023-08-08,09:16,09:22,6,교통체증,MINOR,Y,,RESOLVED
DLY000147,DLV0004673,VHC024,RTE004,2023-07-20,23:31,23:44,13,사고,MINOR,N,,RESOLVED
DLY000148,DLV0002626,VHC019,RTE011,2023-04-23,09:02,09:27,25,집하지연,MINOR,N,,RESOLVED
DLY000149,DLV0011447,VHC016,RTE015,2024-05-18,15:30,16:44,74,수취인부재,MODERATE,N,,RESOLVED
DLY000150,DLV0015001,VHC003,RTE013,2024-10-22,13:19,13:34,15,수취인부재,MINOR,N,,RESOLVED
DLY000151,DLV0006234,VHC021,RTE015,2023-09-30,12:13,12:38,25,교통체증,MINOR,N,,ESCALATED
DLY000152,DLV0007250,VHC019,RTE017,2023-11-15,20:27,21:32,65,집하지연,MODERATE,N,,RESOLVED
DLY000153,DLV0011802,VHC002,RTE005,2024-06-04,10:48,11:01,13,교통체증,MINOR,N,,RESOLVED
DLY000154,DLV0007228,VHC003,RTE014,2023-11-14,13:12,17:17,245,사고,SEVERE,N,,RESOLVED
DLY000155,DLV0005146,VHC001,RTE005,2023-08-10,07:12,08:47,95,날씨,MODERATE,N,,ESCALATED
DLY000156,DLV0004002,VHC001,RTE012,2023-06-22,11:41,12:27,46,날씨,MODERATE,Y,,RESOLVED
DLY000157,DLV0009405,VHC003,RTE001,2024-02-18,03:36,03:49,13,날씨,MINOR,N,,RESOLVED
DLY000158,DLV0000644,VHC008,RTE016,2023-01-28,00:16,01:28,72,인력부족,MODERATE,N,,ESCALATED
DLY000159,DLV0005173,VHC006,RTE010,2023-08-11,07:02,08:21,79,사고,MODERATE,Y,,RESOLVED
DLY000160,DLV0012685,VHC010,RTE008,2024-07-11,09:26,09:48,22,날씨,MINOR,N,,RESOLVED
DLY000161,DLV0004528,VHC013,RTE011,2023-07-15,11:50,12:40,50,사고,MODERATE,N,,RESOLVED
DLY000162,DLV0003164,VHC006,RTE005,2023-05-16,09:57,,13,수취인부재,MINOR,N,,RESOLVED
DLY000163,DLV0010696,VHC002,RTE012,2024-04-16,15:00,,83,교통체증,MODERATE,Y,,PENDING
DLY000164,DLV0004919,VHC023,RTE004,2023-07-31,23:12,23:24,12,사고,MINOR,N,,RESOLVED
DLY000165,DLV0007343,VHC011,RTE019,2023-11-20,12:13,13:51,98,집하지연,MODERATE,N,,RESOLVED
DLY000166,DLV0004691,VHC018,RTE011,2023-07-21,10:14,11:12,58,교통체증,MODERATE,N,,PENDING
DLY000167,DLV0009999,VHC014,RTE016,2024-03-17,00:58,01:20,22,수취인부재,MINOR,N,,PENDING
DLY000168,DLV0002012,VHC024,RTE006,2023-03-27,09:34,09:56,22,사고,MINOR,N,,RESOLVED
DLY000169,DLV0002556,VHC010,RTE004,2023-04-20,00:00,00:12,12,수취인부재,MINOR,N,,RESOLVED
DLY000170,DLV0000582,VHC015,RTE012,2023-01-26,14:35,15:18,43,설비고장,MODERATE,N,,PENDING
DLY000171,DLV0006013,VHC004,RTE011,2023-09-19,11:07,11:25,18,설비고장,MINOR,N,,ESCALATED
DLY000172,DLV0007199,VHC025,RTE004,2023-11-12,00:50,01:20,30,날씨,MODERATE,N,,ESCALATED
DLY000173,DLV0010955,VHC001,RTE005,2024-04-27,11:49,13:16,87,교통체증,MODERATE,Y,1000,RESOLVED
DLY000174,DLV0008160,VHC011,RTE010,2023-12-25,06:51,07:58,67,수취인부재,MODERATE,Y,1000,RESOLVED
DLY000175,DLV0001047,VHC025,RTE014,2023-02-14,11:00,12:11,71,날씨,MODERATE,N,,RESOLVED
DLY000176,DLV0004962,VHC022,RTE004,2023-08-02,23:35,01:10,95,집하지연,MODERATE,N,,RESOLVED
DLY000177,DLV0004133,VHC012,RTE012,2023-06-28,11:11,11:36,25,수취인부재,MINOR,N,,RESOLVED
DLY000178,DLV0016598,VHC024,RTE001,2024-12-29,03:43,03:59,16,설비고장,MINOR,N,,RESOLVED
DLY000179,DLV0007375,VHC023,RTE019,2023-11-21,13:17,17:44,267,교통체증,SEVERE,Y,20000,RESOLVED
DLY000180,DLV0004504,VHC020,RTE012,2023-07-13,12:10,12:19,9,사고,MINOR,N,,RESOLVED
DLY000181,DLV0011370,VHC010,RTE001,2024-05-15,04:27,04:55,28,인력부족,MINOR,N,,RESOLVED
DLY000182,DLV0002142,VHC020,RTE016,2023-04-02,00:13,00:31,18,집하지연,MINOR,N,,RESOLVED
DLY000183,DLV0005269,VHC020,RTE010,2023-08-16,10:53,11:05,12,설비고장,MINOR,N,,ESCALATED
DLY000184,DLV0014682,VHC011,RTE010,2024-10-08,09:48,10:08,20,교통체증,MINOR,N,,RESOLVED
DLY000185,DLV0014427,VHC005,RTE001,2024-09-26,05:16,05:39,23,집하지연,MINOR,N,,PENDING
DLY000186,DLV0007317,VHC013,RTE014,2023-11-18,11:02,11:09,7,날씨,MINOR,N,,ESCALATED
DLY000187,DLV0013940,VHC012,RTE019,2024-09-04,11:53,12:12,19,사고,MINOR,N,,RESOLVED
DLY000188,DLV0010330,VHC025,RTE003,2024-03-31,02:40,03:00,20,인력부족,MINOR,N,,ESCALATED
DLY000189,DLV0003925,VHC003,RTE013,2023-06-19,13:15,15:04,109,인력부족,MODERATE,Y,,ESCALATED
DLY000190,DLV0011520,VHC024,RTE007,2024-05-22,09:17,15:01,344,집하지연,SEVERE,Y,3000,RESOLVED
DLY000191,DLV0003860,VHC020,RTE010,2023-06-16,10:58,11:29,31,사고,MODERATE,Y,,RESOLVED
DLY000192,DLV0008740,VHC012,RTE015,2024-01-20,12:32,13:38,66,사고,MODERATE,N,,RESOLVED
DLY000193,DLV0001008,VHC010,RTE004,2023-02-12,00:20,00:42,22,교통체증,MINOR,N,,RESOLVED
DLY000194,DLV0011869,VHC006,RTE009,2024-06-06,11:28,11:39,11,사고,MINOR,N,,RESOLVED
DLY000195,DLV0009856,VHC015,RTE006,2024-03-10,08:36,,7,집하지연,MINOR,N,,RESOLVED
DLY000196,DLV0008360,VHC001,RTE008,2024-01-03,12:27,12:40,13,날씨,MINOR,N,,PENDING
DLY000197,DLV0001147,VHC017,RTE012,2023-02-18,14:46,15:15,29,날씨,MINOR,N,,RESOLVED
DLY000198,DLV0009379,VHC014,RTE010,2024-02-17,08:20,08:44,24,날씨,MINOR,N,,RESOLVED
DLY000199,DLV0008812,VHC008,RTE005,2024-01-23,07:08,13:05,357,인력부족,SEVERE,Y,5000,PENDING
DLY000200,DLV0003699,VHC006,RTE003,2023-06-09,02:20,02:25,5,사고,MINOR,N,,RESOLVED
DLY000201,DLV0013430,VHC017,RTE011,2024-08-12,10:24,10:34,10,설비고장,MINOR,N,,PENDING
DLY000202,DLV0011491,VHC006,RTE010,2024-05-20,08:11,09:07,56,교통체증,MODERATE,N,,RESOLVED
DLY000203,DLV0013377,VHC019,RTE016,2024-08-09,00:56,03:23,147,교통체증,SEVERE,Y,15000,RESOLVED
DLY000204,DLV0005001,VHC006,RTE019,2023-08-03,10:38,10:48,10,사고,MINOR,N,,RESOLVED
DLY000205,DLV0005637,VHC007,RTE014,2023-09-03,14:18,14:35,17,교통체증,MINOR,N,,PENDING
DLY000206,DLV0004976,VHC007,RTE011,2023-08-02,08:08,09:11,63,집하지연,MODERATE,Y,1000,RESOLVED
DLY000207,DLV0015896,VHC023,RTE001,2024-11-30,02:55,04:23,88,날씨,MODERATE,N,,ESCALATED
DLY000208,DLV0004816,VHC008,RTE008,2023-07-26,10:24,10:50,26,날씨,MINOR,N,,PENDING
DLY000209,DLV0000908,VHC025,RTE005,2023-02-08,09:12,10:38,86,수취인부재,MODERATE,N,,RESOLVED
DLY000210,DLV0009804,VHC015,RTE010,2024-03-07,11:25,11:50,25,교통체증,MINOR,N,,RESOLVED
DLY000211,DLV0009291,VHC002,RTE007,2024-02-13,07:46,11:02,196,수취인부재,SEVERE,Y,3000,RESOLVED
DLY000212,DLV0007026,VHC025,RTE012,2023-11-04,11:26,,20,인력부족,MINOR,N,,RESOLVED
DLY000213,DLV0004880,VHC015,RTE007,2023-07-29,09:14,15:08,354,교통체증,SEVERE,Y,15000,RESOLVED
DLY000214,DLV0010609,VHC023,RTE010,2024-04-13,10:10,10:30,20,집하지연,MINOR,N,,RESOLVED
DLY000215,DLV0013500,VHC003,RTE013,2024-08-15,11:40,16:52,312,수취인부재,SEVERE,Y,20000,RESOLVED
DLY000216,DLV0015419,VHC025,RTE016,2024-11-09,02:49,03:10,21,날씨,MINOR,N,,RESOLVED
DLY000217,DLV0011015,VHC016,RTE009,2024-04-29,07:29,07:34,5,사고,MINOR,N,,RESOLVED
DLY000218,DLV0001996,VHC015,RTE016,2023-03-26,03:08,03:37,29,사고,MINOR,N,,RESOLVED
DLY000219,DLV0014379,VHC016,RTE004,2024-09-23,01:18,01:58,40,인력부족,MODERATE,Y,5000,RESOLVED
DLY000220,DLV0000447,VHC010,RTE012,2023-01-19,15:28,15:43,15,날씨,MINOR,N,,RESOLVED
DLY000221,DLV0004172,VHC007,RTE009,2023-06-30,09:26,10:13,47,교통체증,MODERATE,Y,5000,RESOLVED
DLY000222,DLV0010249,VHC024,RTE006,2024-03-27,10:00,11:25,85,사고,MODERATE,Y,,RESOLVED
DLY000223,DLV0004354,VHC001,RTE017,2023-07-08,19:17,22:37,200,설비고장,SEVERE,Y,3000,RESOLVED
DLY000224,DLV0001393,VHC013,RTE004,2023-02-28,23:05,01:37,152,사고,SEVERE,N,,ESCALATED
DLY000225,DLV0008687,VHC001,RTE017,2024-01-17,22:35,22:52,17,인력부족,MINOR,N,,RESOLVED
DLY000226,DLV0012532,VHC007,RTE002,2024-07-04,02:15,02:47,32,교통체증,MODERATE,N,,RESOLVED
DLY000227,DLV0005477,VHC001,RTE012,2023-08-26,11:00,13:01,121,설비고장,SEVERE,Y,5000,RESOLVED
DLY000228,DLV0010520,VHC008,RTE007,2024-04-09,09:57,10:26,29,교통체증,MINOR,N,,RESOLVED
