SALE_ID,PRODUCT_ID,CHANNEL_ID,YEAR_MONTH,SALES_QTY,SALES_AMOUNT,CURRENCY,RETURN_QTY,NET_SALES_QTY
SL000032,PRD001,CH002,2025-02,257,4369.0,USD,4,253
SL000033,PRD001,CH002,2025-03,320,5440.0,USD,5,315
SL000034,PRD001,CH002,2025-04,297,5049.0,USD,3,294
SL000035,PRD001,CH002,2025-05,317,5389.0,USD,4,313
SL000036,PRD001,CH002,2025-06,282,4794.0,USD,5,277
SL000037,PRD001,CH003,2024-01,241,4097.0,USD,3,238
SL000038,PRD001,CH003,2024-02,219,3723.0,USD,3,216
SL000039,PRD001,CH003,2024-03,270,4590.0,USD,3,267
SL000040,PRD001,CH003,2024-04,250,4250.0,USD,3,247
SL000041,PRD001,CH003,2024-05,278,4726.0,USD,3,275
SL000042,PRD001,CH003,2024-06,254,4318.0,USD,4,250
SL000043,PRD001,CH003,2024-07,232,3944.0,USD,2,230
SL000044,PRD001,CH003,2024-08,247,4199.0,USD,3,244
SL000045,PRD001,CH003,2024-09,229,3893.0,USD,2,227
SL000046,PRD001,CH003,2024-10,253,4301.0,USD,4,249
SL000047,PRD001,CH003,2024-11,317,5389.0,USD,4,313
SL000048,PRD001,CH003,2024-12,308,5236.0,USD,4,304
SL000049,PRD001,CH003,2025-01,247,4199.0,USD,3,244
SL000050,PRD001,CH003,2025-02,232,3944.0,USD,4,228
SL000051,PRD001,CH003,2025-03,225,3825.0,USD,3,222
SL000052,PRD001,CH003,2025-04,272,4624.0,USD,4,268
SL000053,PRD001,CH003,2025-05,262,4454.0,USD,4,258
SL000054,PRD001,CH003,2025-06,230,3910.0,USD,3,227
SL000055,PRD001,CH004,2024-01,312,6864000,KRW,5,307
SL000056,PRD001,CH004,2024-02,319,7018000,KRW,4,315
SL000057,PRD001,CH004,2024-03,350,7700000,KRW,4,346
SL000058,PRD001,CH004,2024-04,397,8734000,KRW,7,390
SL000059,PRD001,CH004,2024-05,369,8118000,KRW,5,364
SL000060,PRD001,CH004,2024-06,357,7854000,KRW,4,353
SL000061,PRD001,CH004,2024-07,349,7678000,KRW,5,344
SL000062,PRD001,CH004,2024-08,332,7304000,KRW,5,327
SL000063,PRD001,CH004,2024-09,315,6930000,KRW,4,311
SL000064,PRD001,CH004,2024-10,347,7634000,KRW,6,341
SL000065,PRD001,CH004,2024-11,451,9922000,KRW,8,443
SL000066,PRD001,CH004,2024-12,454,9988000,KRW,5,449
SL000067,PRD001,CH004,2025-01,338,7436000,KRW,6,332
SL000068,PRD001,CH004,2025-02,272,5984000,KRW,4,268
SL000069,PRD001,CH004,2025-03,319,7018000,KRW,5,314
SL000070,PRD001,CH004,2025-04,387,8514000,KRW,4,383
SL000071,PRD001,CH004,2025-05,383,8426000,KRW,5,378
SL000072,PRD001,CH004,2025-06,333,7326000,KRW,6,327
SL000073,PRD001,CH005,2024-01,159,3498000,KRW,1,158
SL000074,PRD001,CH005,2024-02,154,3388000,KRW,2,152
SL000075,PRD001,CH005,2024-03,169,3718000,KRW,2,167
SL000076,PRD001,CH005,2024-04,207,4554000,KRW,3,204
SL000077,PRD001,CH005,2024-05,195,4290000,KRW,2,193
SL000078,PRD001,CH005,2024-06,166,3652000,KRW,2,164
SL000079,PRD001,CH005,2024-07,165,3630000,KRW,2,163
SL000080,PRD001,CH005,2024-08,153,3366000,KRW,1,152
SL000081,PRD001,CH005,2024-09,164,3608000,KRW,2,162
SL000082,PRD001,CH005,2024-10,187,4114000,KRW,3,184
SL000083,PRD001,CH005,2024-11,231,5082000,KRW,2,229
SL000084,PRD001,CH005,2024-12,230,5060000,KRW,3,227
SL000085,PRD001,CH005,2025-01,152,3344000,KRW,1,151
SL000086,PRD001,CH005,2025-02,166,3652000,KRW,2,164
SL000087,PRD001,CH005,2025-03,179,3938000,KRW,3,176
SL000088,PRD001,CH005,2025-04,200,4400000,KRW,2,198
SL000089,PRD001,CH005,2025-05,182,4004000,KRW,2,180
SL000090,PRD001,CH005,2025-06,177,3894000,KRW,2,175
SL000091,PRD001,CH006,2024-01,112,2464000,KRW,1,111
SL000092,PRD001,CH006,2024-02,111,2442000,KRW,1,110
SL000093,PRD001,CH006,2024-03,117,2574000,KRW,1,116
SL000094,PRD001,CH006,2024-04,135,2970000,KRW,1,134
SL000095,PRD001,CH006,2024-05,123,2706000,KRW,1,122
SL000096,PRD001,CH006,2024-06,118,2596000,KRW,1,117
SL000097,PRD001,CH006,2024-07,108,2376000,KRW,2,106
SL000098,PRD001,CH006,2024-08,106,2332000,KRW,1,105
SL000099,PRD001,CH006,2024-09,121,2662000,KRW,1,120
SL000100,PRD001,CH006,2024-10,145,3190000,KRW,2,143
SL000101,PRD001,CH006,2024-11,157,3454000,KRW,2,155
SL000102,PRD001,CH006,2024-12,173,3806000,KRW,2,171
SL000103,PRD001,CH006,2025-01,107,2354000,KRW,1,106
SL000104,PRD001,CH006,2025-02,99,2178000,KRW,1,98
SL000105,PRD001,CH006,2025-03,117,2574000,KRW,2,115
SL000106,PRD001,CH006,2025-04,120,2640000,KRW,2,118
SL000107,PRD001,CH006,2025-05,130,2860000,KRW,1,129
SL000108,PRD001,CH006,2025-06,130,2860000,KRW,2,128
SL000109,PRD001,CH007,2024-01,182,3094.0,USD,3,179
SL000110,PRD001,CH007,2024-02,158,2686.0,USD,2,156
SL000111,PRD001,CH007,2024-03,218,3706.0,USD,3,215
SL000112,PRD001,CH007,2024-04,211,3587.0,USD,3,208
SL000113,PRD001,CH007,2024-05,200,3400.0,USD,3,197
SL000114,PRD001,CH007,2024-06,200,3400.0,USD,3,197
SL000115,PRD001,CH007,2024-07,176,2992.0,USD,3,173
SL000116,PRD001,CH007,2024-08,164,2788.0,USD,1,163
SL000117,PRD001,CH007,2024-09,203,3451.0,USD,3,200
SL000118,PRD001,CH007,2024-10,208,3536.0,USD,2,206
SL000119,PRD001,CH007,2024-11,258,4386.0,USD,3,255
SL000120,PRD001,CH007,2024-12,275,4675.0,USD,4,271
SL000121,PRD001,CH007,2025-01,177,3009.0,USD,2,175
SL000122,PRD001,CH007,2025-02,170,2890.0,USD,3,167
SL000123,PRD001,CH007,2025-03,188,3196.0,USD,3,185
SL000124,PRD001,CH007,2025-04,199,3383.0,USD,2,197
SL000125,PRD001,CH007,2025-05,227,3859.0,USD,2,225
SL000126,PRD001,CH007,2025-06,192,3264.0,USD,3,189
SL000127,PRD002,CH001,2024-01,109,1962000,KRW,2,107
SL000128,PRD002,CH001,2024-02,131,2358000,KRW,4,127
SL000129,PRD002,CH001,2024-03,201,3618000,KRW,4,197
SL000130,PRD002,CH001,2024-04,324,5832000,KRW,10,314
SL000131,PRD002,CH001,2024-05,645,11610000,KRW,19,626
SL000132,PRD002,CH001,2024-06,740,13320000,KRW,14,726
SL000133,PRD002,CH001,2024-07,896,16128000,KRW,25,871
SL000134,PRD002,CH001,2024-08,695,12510000,KRW,22,673
SL000135,PRD002,CH001,2024-09,329,5922000,KRW,5,324
SL000136,PRD002,CH001,2024-10,212,3816000,KRW,4,208
SL000137,PRD002,CH001,2024-11,123,2214000,KRW,3,120
SL000138,PRD002,CH001,2024-12,92,1656000,KRW,1,91
SL000139,PRD002,CH001,2025-01,110,1980000,KRW,2,108
SL000140,PRD002,CH001,2025-02,114,2052000,KRW,3,111
SL000141,PRD002,CH001,2025-03,229,4122000,KRW,4,225
SL000142,PRD002,CH001,2025-04,349,6282000,KRW,7,342
SL000143,PRD002,CH001,2025-05,598,10764000,KRW,18,580
SL000144,PRD002,CH001,2025-06,812,14616000,KRW,15,797
SL000145,PRD002,CH002,2024-01,88,1232.0,USD,1,87
SL000146,PRD002,CH002,2024-02,81,1134.0,USD,2,79
SL000147,PRD002,CH002,2024-03,169,2366.0,USD,3,166
SL000148,PRD002,CH002,2024-04,267,3738.0,USD,6,261
SL000149,PRD002,CH002,2024-05,443,6202.0,USD,7,436
SL000150,PRD002,CH002,2024-06,521,7294.0,USD,16,505
SL000151,PRD002,CH002,2024-07,680,9520.0,USD,17,663
SL000152,PRD002,CH002,2024-08,544,7616.0,USD,14,530
SL000153,PRD002,CH002,2024-09,223,3122.0,USD,4,219
SL000154,PRD002,CH002,2024-10,144,2016.0,USD,4,140
SL000155,PRD002,CH002,2024-11,95,1330.0,USD,2,93
SL000156,PRD002,CH002,2024-12,80,1120.0,USD,1,79
SL000157,PRD002,CH002,2025-01,85,1190.0,USD,1,84
SL000158,PRD002,CH002,2025-02,95,1330.0,USD,2,93
SL000159,PRD002,CH002,2025-03,161,2254.0,USD,4,157
SL000160,PRD002,CH002,2025-04,237,3318.0,USD,7,230
SL000161,PRD002,CH002,2025-05,482,6748.0,USD,15,467
SL000162,PRD002,CH002,2025-06,605,8470.0,USD,18,587
SL000163,PRD002,CH003,2024-01,67,938.0,USD,1,66
SL000164,PRD002,CH003,2024-02,72,1008.0,USD,2,70
SL000165,PRD002,CH003,2024-03,145,2030.0,USD,4,141
SL000166,PRD002,CH003,2024-04,225,3150.0,USD,4,221
SL000167,PRD002,CH003,2024-05,396,5544.0,USD,7,389
SL000168,PRD002,CH003,2024-06,510,7140.0,USD,15,495
SL000169,PRD002,CH003,2024-07,495,6930.0,USD,14,481
SL000170,PRD002,CH003,2024-08,421,5894.0,USD,9,412
SL000171,PRD002,CH003,2024-09,211,2954.0,USD,4,207
SL000172,PRD002,CH003,2024-10,113,1582.0,USD,2,111
SL000173,PRD002,CH003,2024-11,72,1008.0,USD,2,70
SL000174,PRD002,CH003,2024-12,68,952.0,USD,1,67
SL000175,PRD002,CH003,2025-01,77,1078.0,USD,1,76
SL000176,PRD002,CH003,2025-02,82,1148.0,USD,2,80
SL000177,PRD002,CH003,2025-03,149,2086.0,USD,2,147
SL000178,PRD002,CH003,2025-04,232,3248.0,USD,4,228
SL000179,PRD002,CH003,2025-05,409,5726.0,USD,8,401
SL000180,PRD002,CH003,2025-06,437,6118.0,USD,10,427
SL000181,PRD002,CH004,2024-01,109,1962000,KRW,2,107
SL000182,PRD002,CH004,2024-02,107,1926000,KRW,2,105
SL000183,PRD002,CH004,2024-03,188,3384000,KRW,4,184
SL000184,PRD002,CH004,2024-04,282,5076000,KRW,7,275
SL000185,PRD002,CH004,2024-05,472,8496000,KRW,14,458
SL000186,PRD002,CH004,2024-06,670,12060000,KRW,18,652
SL000187,PRD002,CH004,2024-07,770,13860000,KRW,21,749
SL000188,PRD002,CH004,2024-08,578,10404000,KRW,10,568
SL000189,PRD002,CH004,2024-09,289,5202000,KRW,6,283
SL000190,PRD002,CH004,2024-10,168,3024000,KRW,5,163
SL000191,PRD002,CH004,2024-11,109,1962000,KRW,2,107
SL000192,PRD002,CH004,2024-12,84,1512000,KRW,1,83
SL000193,PRD002,CH004,2025-01,102,1836000,KRW,2,100
SL000194,PRD002,CH004,2025-02,97,1746000,KRW,2,95
SL000195,PRD002,CH004,2025-03,209,3762000,KRW,5,204
SL000196,PRD002,CH004,2025-04,321,5778000,KRW,8,313
SL000197,PRD002,CH004,2025-05,504,9072000,KRW,12,492
SL000198,PRD002,CH004,2025-06,598,10764000,KRW,13,585
SL000199,PRD002,CH005,2024-01,53,954000,KRW,1,52
SL000200,PRD002,CH005,2024-02,55,990000,KRW,1,54
SL000201,PRD002,CH005,2024-03,97,1746000,KRW,2,95
SL000202,PRD002,CH005,2024-04,152,2736000,KRW,4,148
SL000203,PRD002,CH005,2024-05,285,5130000,KRW,5,280
SL000204,PRD002,CH005,2024-06,313,5634000,KRW,7,306
SL000205,PRD002,CH005,2024-07,388,6984000,KRW,8,380
SL000206,PRD002,CH005,2024-08,325,5850000,KRW,9,316
SL000207,PRD002,CH005,2024-09,148,2664000,KRW,3,145
SL000208,PRD002,CH005,2024-10,84,1512000,KRW,1,83
SL000209,PRD002,CH005,2024-11,51,918000,KRW,1,50
SL000210,PRD002,CH005,2024-12,48,864000,KRW,0,48
SL000211,PRD002,CH005,2025-01,53,954000,KRW,1,52
SL000212,PRD002,CH005,2025-02,50,900000,KRW,1,49
SL000213,PRD002,CH005,2025-03,98,1764000,KRW,2,96
SL000214,PRD002,CH005,2025-04,157,2826000,KRW,2,155
SL000215,PRD002,CH005,2025-05,283,5094000,KRW,8,275
SL000216,PRD002,CH005,2025-06,315,5670000,KRW,7,308
SL000217,PRD002,CH006,2024-01,33,594000,KRW,1,32
SL000218,PRD002,CH006,2024-02,36,648000,KRW,0,36
SL000219,PRD002,CH006,2024-03,62,1116000,KRW,1,61
SL000220,PRD002,CH006,2024-04,101,1818000,KRW,2,99
SL000221,PRD002,CH006,2024-05,186,3348000,KRW,6,180
SL000222,PRD002,CH006,2024-06,232,4176000,KRW,7,225
SL000223,PRD002,CH006,2024-07,271,4878000,KRW,7,264
SL000224,PRD002,CH006,2024-08,212,3816000,KRW,5,207
SL000225,PRD002,CH006,2024-09,102,1836000,KRW,2,100
SL000226,PRD002,CH006,2024-10,64,1152000,KRW,1,63
SL000227,PRD002,CH006,2024-11,35,630000,KRW,0,35
SL000228,PRD002,CH006,2024-12,28,504000,KRW,0,28
SL000229,PRD002,CH006,2025-01,37,666000,KRW,0,37
SL000230,PRD002,CH006,2025-02,36,648000,KRW,0,36
SL000231,PRD002,CH006,2025-03,60,1080000,KRW,1,59
SL000232,PRD002,CH006,2025-04,97,1746000,KRW,2,95
SL000233,PRD002,CH006,2025-05,181,3258000,KRW,3,178
SL000234,PRD002,CH006,2025-06,215,3870000,KRW,6,209
SL000235,PRD002,CH007,2024-01,62,868.0,USD,1,61
SL000236,PRD002,CH007,2024-02,58,812.0,USD,1,57
SL000237,PRD002,CH007,2024-03,108,1512.0,USD,2,106
SL000238,PRD002,CH007,2024-04,167,2338.0,USD,5,162
SL000239,PRD002,CH007,2024-05,305,4270.0,USD,8,297
SL000240,PRD002,CH007,2024-06,407,5698.0,USD,11,396
SL000241,PRD002,CH007,2024-07,409,5726.0,USD,7,402
SL000242,PRD002,CH007,2024-08,329,4606.0,USD,9,320
SL000243,PRD002,CH007,2024-09,171,2394.0,USD,5,166
SL000244,PRD002,CH007,2024-10,98,1372.0,USD,2,96
SL000245,PRD002,CH007,2024-11,60,840.0,USD,1,59
SL000246,PRD002,CH007,2024-12,47,658.0,USD,0,47
SL000247,PRD002,CH007,2025-01,59,826.0,USD,1,58
SL000248,PRD002,CH007,2025-02,58,812.0,USD,1,57
SL000249,PRD002,CH007,2025-03,107,1498.0,USD,2,105
SL000250,PRD002,CH007,2025-04,168,2352.0,USD,3,165
SL000251,PRD002,CH007,2025-05,307,4298.0,USD,5,302
SL000252,PRD002,CH007,2025-06,371,5194.0,USD,9,362
SL000253,PRD003,CH001,2024-01,688,22016000,KRW,18,670
SL000254,PRD003,CH001,2024-02,611,19552000,KRW,14,597
SL000255,PRD003,CH001,2024-03,291,9312000,KRW,6,285
SL000256,PRD003,CH001,2024-04,207,6624000,KRW,4,203
SL000257,PRD003,CH001,2024-05,147,4704000,KRW,3,144
SL000258,PRD003,CH001,2024-06,126,4032000,KRW,3,123
SL000259,PRD003,CH001,2024-07,114,3648000,KRW,2,112
SL000260,PRD003,CH001,2024-08,108,3456000,KRW,2,106
SL000261,PRD003,CH001,2024-09,219,7008000,KRW,4,215
SL000262,PRD003,CH001,2024-10,350,11200000,KRW,10,340
SL000263,PRD003,CH001,2024-11,618,19776000,KRW,17,601
SL000264,PRD003,CH001,2024-12,893,28576000,KRW,18,875
SL000265,PRD003,CH001,2025-01,687,21984000,KRW,13,674
SL000266,PRD003,CH001,2025-02,610,19520000,KRW,16,594
SL000267,PRD003,CH001,2025-03,324,10368000,KRW,6,318
SL000268,PRD003,CH001,2025-04,228,7296000,KRW,6,222
SL000269,PRD003,CH001,2025-05,130,4160000,KRW,3,127
SL000270,PRD003,CH001,2025-06,125,4000000,KRW,2,123
SL000271,PRD003,CH002,2024-01,606,15150.0,USD,19,587
SL000272,PRD003,CH002,2024-02,456,11400.0,USD,8,448
SL000273,PRD003,CH002,2024-03,230,5750.0,USD,6,224
SL000274,PRD003,CH002,2024-04,180,4500.0,USD,4,176
SL000275,PRD003,CH002,2024-05,109,2725.0,USD,2,107
SL000276,PRD003,CH002,2024-06,93,2325.0,USD,2,91
SL000277,PRD003,CH002,2024-07,82,2050.0,USD,2,80
SL000278,PRD003,CH002,2024-08,96,2400.0,USD,2,94
SL000279,PRD003,CH002,2024-09,138,3450.0,USD,4,134
SL000280,PRD003,CH002,2024-10,269,6725.0,USD,6,263
SL000281,PRD003,CH002,2024-11,443,11075.0,USD,10,433
SL000282,PRD003,CH002,2024-12,615,15375.0,USD,13,602
SL000283,PRD003,CH002,2025-01,609,15225.0,USD,18,591
SL000284,PRD003,CH002,2025-02,455,11375.0,USD,14,441
SL000285,PRD003,CH002,2025-03,246,6150.0,USD,7,239
SL000286,PRD003,CH002,2025-04,171,4275.0,USD,4,167
SL000287,PRD003,CH002,2025-05,109,2725.0,USD,3,106
SL000288,PRD003,CH002,2025-06,85,2125.0,USD,2,83
SL000289,PRD003,CH003,2024-01,478,11950.0,USD,11,467
SL000290,PRD003,CH003,2024-02,407,10175.0,USD,11,396
SL000291,PRD003,CH003,2024-03,190,4750.0,USD,5,185
SL000292,PRD003,CH003,2024-04,146,3650.0,USD,2,144
SL000293,PRD003,CH003,2024-05,94,2350.0,USD,1,93
SL000294,PRD003,CH003,2024-06,74,1850.0,USD,1,73
SL000295,PRD003,CH003,2024-07,73,1825.0,USD,1,72
SL000296,PRD003,CH003,2024-08,80,2000.0,USD,1,79
SL000297,PRD003,CH003,2024-09,117,2925.0,USD,3,114
SL000298,PRD003,CH003,2024-10,205,5125.0,USD,6,199
SL000299,PRD003,CH003,2024-11,390,9750.0,USD,8,382
SL000300,PRD003,CH003,2024-12,462,11550.0,USD,14,448
SL000301,PRD003,CH003,2025-01,435,10875.0,USD,12,423
SL000302,PRD003,CH003,2025-02,411,10275.0,USD,11,400
SL000303,PRD003,CH003,2025-03,207,5175.0,USD,5,202
SL000304,PRD003,CH003,2025-04,137,3425.0,USD,4,133
SL000305,PRD003,CH003,2025-05,80,2000.0,USD,1,79
SL000306,PRD003,CH003,2025-06,77,1925.0,USD,1,76
SL000307,PRD003,CH004,2024-01,675,21600000,KRW,16,659
SL000308,PRD003,CH004,2024-02,581,18592000,KRW,13,568
SL000309,PRD003,CH004,2024-03,293,9376000,KRW,6,287
SL000310,PRD003,CH004,2024-04,200,6400000,KRW,4,196
SL000311,PRD003,CH004,2024-05,116,3712000,KRW,2,114
SL000312,PRD003,CH004,2024-06,98,3136000,KRW,1,97
SL000313,PRD003,CH004,2024-07,105,3360000,KRW,3,102
SL000314,PRD003,CH004,2024-08,98,3136000,KRW,2,96
SL000315,PRD003,CH004,2024-09,174,5568000,KRW,4,170
SL000316,PRD003,CH004,2024-10,325,10400000,KRW,8,317
SL000317,PRD003,CH004,2024-11,502,16064000,KRW,9,493
SL000318,PRD003,CH004,2024-12,673,21536000,KRW,14,659
SL000319,PRD003,CH004,2025-01,622,19904000,KRW,11,611
SL000320,PRD003,CH004,2025-02,581,18592000,KRW,12,569
SL000321,PRD003,CH004,2025-03,306,9792000,KRW,7,299
SL000322,PRD003,CH004,2025-04,200,6400000,KRW,3,197
SL000323,PRD003,CH004,2025-05,131,4192000,KRW,3,128
SL000324,PRD003,CH004,2025-06,112,3584000,KRW,2,110
SL000325,PRD003,CH005,2024-01,339,10848000,KRW,8,331
SL000326,PRD003,CH005,2024-02,278,8896000,KRW,5,273
SL000327,PRD003,CH005,2024-03,156,4992000,KRW,3,153
SL000328,PRD003,CH005,2024-04,105,3360000,KRW,2,103
SL000329,PRD003,CH005,2024-05,57,1824000,KRW,1,56
SL000330,PRD003,CH005,2024-06,49,1568000,KRW,0,49
SL000331,PRD003,CH005,2024-07,54,1728000,KRW,1,53
SL000332,PRD003,CH005,2024-08,59,1888000,KRW,1,58
SL000333,PRD003,CH005,2024-09,94,3008000,KRW,2,92
SL000334,PRD003,CH005,2024-10,161,5152000,KRW,3,158
SL000335,PRD003,CH005,2024-11,271,8672000,KRW,6,265
SL000336,PRD003,CH005,2024-12,364,11648000,KRW,11,353
SL000337,PRD003,CH005,2025-01,375,12000000,KRW,8,367
SL000338,PRD003,CH005,2025-02,304,9728000,KRW,8,296
SL000339,PRD003,CH005,2025-03,150,4800000,KRW,4,146
SL000340,PRD003,CH005,2025-04,93,2976000,KRW,1,92
SL000341,PRD003,CH005,2025-05,65,2080000,KRW,1,64
SL000342,PRD003,CH005,2025-06,50,1600000,KRW,0,50
SL000343,PRD003,CH006,2024-01,205,6560000,KRW,4,201
SL000344,PRD003,CH006,2024-02,201,6432000,KRW,4,197
SL000345,PRD003,CH006,2024-03,90,2880000,KRW,2,88
SL000346,PRD003,CH006,2024-04,68,2176000,KRW,1,67
SL000347,PRD003,CH006,2024-05,43,1376000,KRW,1,42
SL000348,PRD003,CH006,2024-06,38,1216000,KRW,1,37
SL000349,PRD003,CH006,2024-07,37,1184000,KRW,1,36
SL000350,PRD003,CH006,2024-08,35,1120000,KRW,0,35
SL000351,PRD003,CH006,2024-09,61,1952000,KRW,1,60
SL000352,PRD003,CH006,2024-10,108,3456000,KRW,2,106
SL000353,PRD003,CH006,2024-11,167,5344000,KRW,3,164
SL000354,PRD003,CH006,2024-12,258,8256000,KRW,6,252
SL000355,PRD003,CH006,2025-01,218,6976000,KRW,4,214
SL000356,PRD003,CH006,2025-02,205,6560000,KRW,5,200
SL000357,PRD003,CH006,2025-03,104,3328000,KRW,2,102
SL000358,PRD003,CH006,2025-04,65,2080000,KRW,1,64
SL000359,PRD003,CH006,2025-05,38,1216000,KRW,0,38
SL000360,PRD003,CH006,2025-06,34,1088000,KRW,0,34
SL000361,PRD003,CH007,2024-01,348,8700.0,USD,11,337
SL000362,PRD003,CH007,2024-02,352,8800.0,USD,9,343
SL000363,PRD003,CH007,2024-03,174,4350.0,USD,5,169
SL000364,PRD003,CH007,2024-04,113,2825.0,USD,2,111
SL000365,PRD003,CH007,2024-05,63,1575.0,USD,1,62
SL000366,PRD003,CH007,2024-06,59,1475.0,USD,1,58
SL000367,PRD003,CH007,2024-07,64,1600.0,USD,1,63
SL000368,PRD003,CH007,2024-08,61,1525.0,USD,1,60
SL000369,PRD003,CH007,2024-09,99,2475.0,USD,1,98
SL000370,PRD003,CH007,2024-10,164,4100.0,USD,3,161
SL000371,PRD003,CH007,2024-11,310,7750.0,USD,9,301
SL000372,PRD003,CH007,2024-12,396,9900.0,USD,11,385
SL000373,PRD003,CH007,2025-01,363,9075.0,USD,11,352
SL000374,PRD003,CH007,2025-02,350,8750.0,USD,9,341
SL000375,PRD003,CH007,2025-03,158,3950.0,USD,3,155
SL000376,PRD003,CH007,2025-04,106,2650.0,USD,3,103
SL000377,PRD003,CH007,2025-05,68,1700.0,USD,1,67
SL000378,PRD003,CH007,2025-06,65,1625.0,USD,1,64
SL000379,PRD004,CH001,2024-01,363,9075000,KRW,5,358
SL000380,PRD004,CH001,2024-02,318,7950000,KRW,4,314
SL000381,PRD004,CH001,2024-03,420,10500000,KRW,6,414
SL000382,PRD004,CH001,2024-04,441,11025000,KRW,5,436
SL000383,PRD004,CH001,2024-05,444,11100000,KRW,8,436
SL000384,PRD004,CH001,2024-06,395,9875000,KRW,6,389
SL000385,PRD004,CH001,2024-07,351,8775000,KRW,6,345
SL000386,PRD004,CH001,2024-08,367,9175000,KRW,4,363
SL000387,PRD004,CH001,2024-09,372,9300000,KRW,5,367
SL000388,PRD004,CH001,2024-10,444,11100000,KRW,5,439
SL000389,PRD004,CH001,2024-11,527,13175000,KRW,9,518
SL000390,PRD004,CH001,2024-12,535,13375000,KRW,6,529
SL000391,PRD004,CH001,2025-01,383,9575000,KRW,5,378
SL000392,PRD004,CH001,2025-02,354,8850000,KRW,5,349
SL000393,PRD004,CH001,2025-03,381,9525000,KRW,6,375
SL000394,PRD004,CH001,2025-04,460,11500000,KRW,5,455
SL000395,PRD004,CH001,2025-05,444,11100000,KRW,6,438
SL000396,PRD004,CH001,2025-06,433,10825000,KRW,6,427
SL000397,PRD004,CH002,2024-01,290,5510.0,USD,5,285
SL000398,PRD004,CH002,2024-02,243,4617.0,USD,4,239
SL000399,PRD004,CH002,2024-03,294,5586.0,USD,5,289
SL000400,PRD004,CH002,2024-04,315,5985.0,USD,5,310
SL000401,PRD004,CH002,2024-05,315,5985.0,USD,4,311
SL000402,PRD004,CH002,2024-06,305,5795.0,USD,5,300
SL000403,PRD004,CH002,2024-07,284,5396.0,USD,3,281
SL000404,PRD004,CH002,2024-08,272,5168.0,USD,3,269
SL000405,PRD004,CH002,2024-09,303,5757.0,USD,4,299
SL000406,PRD004,CH002,2024-10,327,6213.0,USD,4,323
SL000407,PRD004,CH002,2024-11,337,6403.0,USD,5,332
SL000408,PRD004,CH002,2024-12,410,7790.0,USD,5,405
SL000409,PRD004,CH002,2025-01,284,5396.0,USD,3,281
SL000410,PRD004,CH002,2025-02,267,5073.0,USD,4,263
SL000411,PRD004,CH002,2025-03,318,6042.0,USD,4,314
SL000412,PRD004,CH002,2025-04,325,6175.0,USD,5,320
SL000413,PRD004,CH002,2025-05,361,6859.0,USD,5,356
SL000414,PRD004,CH002,2025-06,272,5168.0,USD,4,268
SL000415,PRD004,CH003,2024-01,229,4351.0,USD,4,225
SL000416,PRD004,CH003,2024-02,228,4332.0,USD,3,225
SL000417,PRD004,CH003,2024-03,251,4769.0,USD,3,248
SL000418,PRD004,CH003,2024-04,274,5206.0,USD,3,271
SL000419,PRD004,CH003,2024-05,283,5377.0,USD,3,280
