RISK_ID,CUSTOMER_ID,YEAR_MONTH,CREDIT_SCORE_CURRENT,PD_PCT,LGD_PCT,EAD_KRW,EXPECTED_LOSS_KRW,RISK_GRADE,RISK_GRADE_PREV,GRADE_CHANGE,COLLATERAL_VALUE_KRW,MARKET_RISK_VAR_KRW,LIQUIDITY_RISK_SCORE
RSK00000143,CUS004,2024-11,355,14.8551,69.54,380801915,39337739,D,D,STABLE,349966114,,9
RSK00000144,CUS004,2024-12,335,14.9355,21.46,242841243,7783446,D,D,STABLE,318099903,,1
RSK00000145,CUS005,2022-01,680,1.4996,28.07,136645153,575191,BB,,,164191551,53982179,6
RSK00000146,CUS005,2022-02,708,1.5022,33.59,297294810,1500117,BB,BB,STABLE,339331606,17831228,6
RSK00000147,CUS005,2022-03,681,1.512,26.5,10818374,43347,BB,BB,STABLE,16062717,83625989,2
RSK00000148,CUS005,2022-04,683,1.5084,38.88,101234302,593705,BB,BB,STABLE,105432842,46606556,4
RSK00000149,CUS005,2022-05,669,1.4952,28.98,302107676,1309060,BB,BB,STABLE,287651408,96671763,10
RSK00000150,CUS005,2022-06,669,1.5054,37.56,252736226,1429042,BB,BB,STABLE,211409634,8312979,6
RSK00000151,CUS005,2022-07,664,1.5102,33.96,161228839,826885,BB,BB,STABLE,237089342,31351724,3
RSK00000152,CUS005,2022-08,687,1.4932,33.63,386525523,1940989,BB,BB,STABLE,460640434,71204159,9
RSK00000153,CUS005,2022-09,683,1.5027,26.39,241143337,956284,BB,BB,STABLE,288642707,85220592,1
RSK00000154,CUS005,2022-10,680,1.5146,38.13,435470864,2514918,BB,BB,STABLE,489106368,2143216,4
RSK00000155,CUS005,2022-11,697,3.9858,40.9,322877304,5263521,B,BB,DOWNGRADE,441988514,77585422,2
RSK00000156,CUS005,2022-12,665,9.0329,22.53,427320274,8696448,CCC,B,DOWNGRADE,405116557,32648481,9
RSK00000157,CUS005,2023-01,664,9.0401,36.81,16146473,537300,CCC,CCC,STABLE,19098820,55894047,6
RSK00000158,CUS005,2023-02,685,9.0733,62.07,41566033,2340915,CCC,CCC,STABLE,,98335526,7
RSK00000159,CUS005,2023-03,662,9.083,65.74,406333084,24262816,CCC,CCC,STABLE,,28559000,5
RSK00000160,CUS005,2023-04,675,8.941,40.36,343153686,12383001,CCC,CCC,STABLE,279268638,64948539,3
RSK00000161,CUS005,2023-05,708,9.0523,77.52,337855455,23708476,CCC,CCC,STABLE,461093585,22458372,7
RSK00000162,CUS005,2023-06,686,9.0858,24.13,38953924,854027,CCC,CCC,STABLE,45439483,36646796,3
RSK00000163,CUS005,2023-07,656,8.9355,20.92,7693645,143818,CCC,CCC,STABLE,8450136,84604124,7
RSK00000164,CUS005,2023-08,706,8.9369,22.14,322485343,6380791,CCC,CCC,STABLE,297701261,8844768,8
RSK00000165,CUS005,2023-09,653,9.016,34.07,161639182,4965154,CCC,CCC,STABLE,212662375,16267999,9
RSK00000166,CUS005,2023-10,692,9.0431,37.39,252840240,8549072,CCC,CCC,STABLE,236785440,44383179,3
RSK00000167,CUS005,2023-11,667,8.993,40.14,325760201,11759260,CCC,CCC,STABLE,319728654,88310913,1
RSK00000168,CUS005,2023-12,683,9.0105,68.29,48676614,2995204,CCC,CCC,STABLE,46481953,35347260,10
RSK00000169,CUS005,2024-01,664,9.0384,37.19,123247738,4142826,CCC,CCC,STABLE,152367402,73603023,6
RSK00000170,CUS005,2024-02,660,8.9179,30.64,364185794,9951175,CCC,CCC,STABLE,327726704,47737499,3
RSK00000171,CUS005,2024-03,670,9.009,36.09,54482984,1771431,CCC,CCC,STABLE,75063215,32554947,5
RSK00000172,CUS005,2024-04,698,9.0109,58.59,498440896,26315119,CCC,CCC,STABLE,,80053520,9
RSK00000173,CUS005,2024-05,690,9.0284,61.91,418008278,23364499,CCC,CCC,STABLE,,32382579,6
RSK00000174,CUS005,2024-06,663,9.044,36.54,334742952,11062175,CCC,CCC,STABLE,375685060,39057732,10
RSK00000175,CUS005,2024-07,692,8.9258,37.07,487363940,16125869,CCC,CCC,STABLE,428801923,27593093,6
RSK00000176,CUS005,2024-08,680,8.9403,25.22,17596421,396754,CCC,CCC,STABLE,25635638,16079045,6
RSK00000177,CUS005,2024-09,702,9.0816,62.82,486775546,27770842,CCC,CCC,STABLE,498946012,65676023,8
RSK00000178,CUS005,2024-10,677,9.0133,29.42,336602869,8925742,CCC,CCC,STABLE,460249908,19739214,6
RSK00000179,CUS005,2024-11,658,9.009,70.11,56611475,3575700,CCC,CCC,STABLE,57046906,4308606,7
RSK00000180,CUS005,2024-12,703,8.9557,29.8,200697218,5356205,CCC,CCC,STABLE,291457645,18951169,6
RSK00000181,CUS006,2022-01,675,1.5007,25.53,295581427,1132457,BB,,,436888329,,7
RSK00000182,CUS006,2022-02,642,1.5068,57.95,277989451,2427378,BB,BB,STABLE,,,5
RSK00000183,CUS006,2022-03,671,1.505,31.92,270964082,1301701,BB,BB,STABLE,361009500,,3
RSK00000184,CUS006,2022-04,668,1.49,36.24,257515683,1390523,BB,BB,STABLE,361240704,,7
RSK00000185,CUS006,2022-05,668,1.4872,24.58,375750281,1373569,BB,BB,STABLE,350138897,,5
RSK00000186,CUS006,2022-06,670,1.506,24.37,272248638,999186,BB,BB,STABLE,311887396,,1
RSK00000187,CUS006,2022-07,681,1.5133,24.41,408576114,1509266,BB,BB,STABLE,609430778,,10
RSK00000188,CUS006,2022-08,652,1.4865,20.97,153907826,479760,BB,BB,STABLE,221926271,,7
RSK00000189,CUS006,2022-09,663,1.5021,29.63,226132862,1006455,BB,BB,STABLE,333410641,,9
RSK00000190,CUS006,2022-10,644,1.5042,44.11,106679119,707819,BB,BB,STABLE,90424001,,9
RSK00000191,CUS006,2022-11,675,1.4907,27.27,356996597,1451241,BB,BB,STABLE,323255323,,9
RSK00000192,CUS006,2022-12,660,1.4897,28.96,54126569,233511,BB,BB,STABLE,80466832,,7
RSK00000193,CUS006,2023-01,641,1.4943,30.91,47627027,219984,BB,BB,STABLE,56033700,,7
RSK00000194,CUS006,2023-02,645,1.5049,34.2,404512166,2081926,BB,BB,STABLE,433379450,,2
RSK00000195,CUS006,2023-03,648,1.5043,21.79,84309418,276355,BB,BB,STABLE,74125822,,5
RSK00000196,CUS006,2023-04,671,1.5025,55.5,150975789,1258968,BB,BB,STABLE,,,3
RSK00000197,CUS006,2023-05,633,4.0235,74.85,232626055,7005742,B,BB,DOWNGRADE,,,10
RSK00000198,CUS006,2023-06,663,4.034,25.26,278299956,2835844,B,B,STABLE,339125817,,1
RSK00000199,CUS006,2023-07,687,3.9876,60.95,192238689,4672250,B,B,STABLE,274091221,,9
RSK00000200,CUS006,2023-08,672,3.9944,40.74,89078489,1449591,B,B,STABLE,120698124,,6
RSK00000201,CUS006,2023-09,660,4.0245,28.26,107596705,1223723,B,B,STABLE,129388953,,6
RSK00000202,CUS006,2023-10,664,4.0292,65.81,478001335,12674762,B,B,STABLE,,,3
RSK00000203,CUS006,2023-11,641,3.989,25.7,401903728,4120209,B,B,STABLE,600320815,,4
RSK00000204,CUS006,2023-12,683,3.9704,68.69,307894884,8397118,B,B,STABLE,281129210,,3
RSK00000205,CUS006,2024-01,636,4.0243,68.19,47148173,1293826,B,B,STABLE,42545920,,3
RSK00000206,CUS006,2024-02,670,3.9758,27.43,156287467,1704412,B,B,STABLE,222028231,,1
RSK00000207,CUS006,2024-03,682,4.0247,24.73,285337442,2839987,B,B,STABLE,398124743,,9
RSK00000208,CUS006,2024-04,672,4.0267,21.27,465294436,3985150,B,B,STABLE,587583218,,10
RSK00000209,CUS006,2024-05,692,3.9656,32.43,272263943,3501434,B,B,STABLE,285296498,,7
RSK00000210,CUS006,2024-06,684,4.0269,37.26,413461664,6203674,B,B,STABLE,467752878,,8
RSK00000211,CUS006,2024-07,683,4.0346,43.98,464890262,8249092,B,B,STABLE,466240326,,10
RSK00000212,CUS006,2024-08,672,3.9629,74.76,303689688,8997305,B,B,STABLE,,,7
RSK00000213,CUS006,2024-09,640,4.0149,72.54,442595350,12890184,B,B,STABLE,,,8
RSK00000214,CUS006,2024-10,672,3.9964,22.34,298954662,2669055,B,B,STABLE,329876091,,10
RSK00000215,CUS006,2024-11,638,4.0372,24.78,162413291,1624812,B,B,STABLE,185923657,,6
RSK00000216,CUS006,2024-12,634,4.0001,32.39,213371721,2764513,B,B,STABLE,254185392,,4
RSK00000217,CUS007,2022-01,675,1.5105,28.22,499695996,2130020,BB,,,699143614,40556222,4
RSK00000218,CUS007,2022-02,709,1.5059,36.19,172563511,940446,BB,BB,STABLE,179272080,67832944,8
RSK00000219,CUS007,2022-03,703,1.5006,69.93,399175209,4188823,BB,BB,STABLE,356139913,76752217,9
RSK00000220,CUS007,2022-04,669,1.5102,74.43,230097823,2586396,BB,BB,STABLE,213614795,61745878,2
RSK00000221,CUS007,2022-05,709,1.5148,66.42,54949102,552859,BB,BB,STABLE,47250263,16134346,2
RSK00000222,CUS007,2022-06,675,1.4951,39.64,410009801,2429954,BB,BB,STABLE,334450288,19491004,6
RSK00000223,CUS007,2022-07,715,1.4867,26.21,438446000,1708467,BB,BB,STABLE,373100205,95326386,9
RSK00000224,CUS007,2022-08,688,1.4853,77.0,320239669,3662520,BB,BB,STABLE,433900458,39371267,4
RSK00000225,CUS007,2022-09,687,1.5053,32.74,333803625,1645102,BB,BB,STABLE,354112077,18787231,6
RSK00000226,CUS007,2022-10,707,1.503,23.38,476672489,1675034,BB,BB,STABLE,700386286,52487361,7
RSK00000227,CUS007,2022-11,662,1.4907,25.38,470241472,1779110,BB,BB,STABLE,420142472,53133967,2
RSK00000228,CUS007,2022-12,683,1.4879,42.94,54194294,346250,BB,BB,STABLE,63915175,54072137,1
RSK00000229,CUS007,2023-01,686,1.5024,25.09,257028737,968875,BB,BB,STABLE,257873493,68773676,6
RSK00000230,CUS007,2023-02,688,1.4965,76.54,265949509,3046242,BB,BB,STABLE,,62346285,7
RSK00000231,CUS007,2023-03,704,1.5027,34.95,125203843,657563,BB,BB,STABLE,113650228,91335928,7
RSK00000232,CUS007,2023-04,707,1.4991,37.39,167958107,941428,BB,BB,STABLE,169985843,76869015,8
RSK00000233,CUS007,2023-05,696,1.4944,67.03,187547721,1878659,BB,BB,STABLE,237006390,56688418,2
RSK00000234,CUS007,2023-06,695,1.509,40.66,482198326,2958573,BB,BB,STABLE,617601262,89953566,9
RSK00000235,CUS007,2023-07,689,1.503,37.28,24403847,136739,BB,BB,STABLE,22310924,98265836,7
RSK00000236,CUS007,2023-08,709,1.4982,43.21,44016006,284947,BB,BB,STABLE,36440507,86744851,4
RSK00000237,CUS007,2023-09,712,1.5014,42.9,248391483,1599891,BB,BB,STABLE,293817861,74291402,1
RSK00000238,CUS007,2023-10,703,1.4888,75.89,387204569,4374832,BB,BB,STABLE,406001434,75251408,3
RSK00000239,CUS007,2023-11,704,1.4986,24.53,486830735,1789622,BB,BB,STABLE,502189748,57683927,10
RSK00000240,CUS007,2023-12,691,1.4957,70.57,168457317,1778093,BB,BB,STABLE,,90090375,2
RSK00000241,CUS007,2024-01,691,1.5037,42.44,322938148,2060895,BB,BB,STABLE,304304504,24258019,5
RSK00000242,CUS007,2024-02,718,1.5101,37.11,316470505,1773495,BB,BB,STABLE,421750159,50154649,9
RSK00000243,CUS007,2024-03,691,1.4943,25.9,243494693,942382,BB,BB,STABLE,315828577,38407893,7
RSK00000244,CUS007,2024-04,696,1.4866,42.65,125465766,795497,BB,BB,STABLE,165071228,98900314,1
RSK00000245,CUS007,2024-05,686,1.497,33.38,155343573,776250,BB,BB,STABLE,208818922,99606530,1
RSK00000246,CUS007,2024-06,701,1.5103,78.51,279374738,3312648,BB,BB,STABLE,239474948,5605229,5
RSK00000247,CUS007,2024-07,701,1.5028,75.39,30565209,346292,BB,BB,STABLE,41216031,38394883,6
RSK00000248,CUS007,2024-08,694,1.4873,79.31,263088297,3103331,BB,BB,STABLE,393168565,24486328,2
RSK00000249,CUS007,2024-09,717,1.5139,27.99,147190818,623707,BB,BB,STABLE,219396063,94529988,2
RSK00000250,CUS007,2024-10,684,1.4959,41.22,95564394,589260,BB,BB,STABLE,101138140,20984519,2
RSK00000251,CUS007,2024-11,717,1.487,76.1,402663395,4556567,BB,BB,STABLE,338813997,37494966,5
