TRANSACTION_ID,CUSTOMER_ID,PRODUCT_ID,BRANCH_ID,TRANSACTION_DATE,TRANSACTION_TIME,TRANSACTION_TYPE,AMOUNT_KRW,BALANCE_AFTER_KRW,CHANNEL,CURRENCY,IS_ANOMALY,ANOMALY_TYPE,STATUS
TXN00000019,CUS003,PRD013,,2023-01-01,19:39:34,카드결제,11552166,20580862,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000020,CUS032,PRD019,BRN005,2023-01-01,13:42:16,매도,169168493,208898682,영업점,KRW,N,,COMPLETED
TXN00000021,CUS039,PRD008,,2023-01-01,11:44:14,매수,33391485,,모바일앱,KRW,N,,COMPLETED
TXN00000022,CUS039,PRD023,,2023-01-01,18:22:22,대출실행,76082870,95174016,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000023,CUS011,PRD009,BRN013,2023-01-01,13:09:31,매수,84539607,131576308,영업점,KRW,N,,COMPLETED
TXN00000024,CUS027,PRD001,,2023-01-01,16:19:27,입금,120173777,120977413,모바일앱,KRW,N,,COMPLETED
TXN00000025,CUS027,PRD014,BRN006,2023-01-01,10:01:12,카드결제,16891322,41551319,영업점,KRW,N,,COMPLETED
TXN00000026,CUS044,PRD012,BRN009,2023-01-01,15:04:14,카드결제,1818460287,1824861098,영업점,KRW,N,,COMPLETED
TXN00000027,CUS004,PRD016,,2023-01-01,10:08:16,매도,20156971,34295395,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000028,CUS017,PRD007,,2023-01-01,11:45:46,매도,57399933,64014446,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000029,CUS030,PRD014,,2023-01-01,19:20:29,카드결제,153734800,,모바일앱,KRW,N,,COMPLETED
TXN00000030,CUS037,PRD009,,2023-01-01,14:25:59,매도,192882176,220135478,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000031,CUS008,PRD003,,2023-01-01,22:12:20,자동이체,1976711021,2013515450,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000032,CUS050,PRD004,BRN014,2023-01-01,19:15:44,대출상환,127261237,,ATM,KRW,N,,COMPLETED
TXN00000033,CUS042,PRD008,BRN014,2023-01-01,09:36:38,매도,116104750,149012187,ATM,KRW,N,,COMPLETED
TXN00000034,CUS046,PRD004,,2023-01-01,15:44:13,대출실행,56470917,94522483,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000035,CUS012,PRD001,,2023-01-01,10:58:20,출금,3278431863,3305025307,모바일앱,KRW,N,,COMPLETED
TXN00000036,CUS040,PRD023,BRN012,2023-01-01,10:16:28,대출상환,63563997,105402318,ATM,KRW,N,,COMPLETED
TXN00000037,CUS022,PRD007,,2023-01-01,14:02:11,매수,309325140,315728053,자동이체,KRW,N,,COMPLETED
TXN00000038,CUS040,PRD023,,2023-01-01,20:14:11,대출상환,9145018,23500136,인터넷뱅킹,KRW,Y,계좌분산,COMPLETED
TXN00000039,CUS038,PRD008,,2023-01-01,08:09:51,매도,88969354,110616810,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000040,CUS022,PRD007,BRN009,2023-01-01,12:57:20,매도,305654210,352040950,영업점,KRW,N,,COMPLETED
TXN00000041,CUS008,PRD003,BRN013,2023-01-01,19:00:53,자동이체,3388021631,3404620673,ATM,KRW,N,,COMPLETED
TXN00000042,CUS041,PRD003,,2023-01-02,10:58:31,자동이체,125487313,156917900,자동이체,KRW,N,,COMPLETED
TXN00000043,CUS047,PRD011,,2023-01-02,14:25:59,자동이체,392476569,,모바일앱,KRW,N,,COMPLETED
TXN00000044,CUS036,PRD009,,2023-01-02,15:03:02,매도,164926724,186044679,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000045,CUS041,PRD003,BRN001,2023-01-02,19:05:52,입금,171892761,203729667,ATM,KRW,N,,COMPLETED
TXN00000046,CUS032,PRD019,,2023-01-02,18:01:41,매도,127045155,151762289,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000047,CUS024,PRD004,BRN007,2023-01-02,08:59:53,대출상환,42933106,43958765,ATM,KRW,N,,COMPLETED
TXN00000048,CUS033,PRD009,BRN008,2023-01-02,15:22:51,매도,70439987,98163541,ATM,KRW,N,,COMPLETED
TXN00000049,CUS039,PRD023,,2023-01-02,17:41:13,대출실행,140326211,155028384,모바일앱,KRW,N,,COMPLETED
TXN00000050,CUS032,PRD019,,2023-01-02,17:53:50,매수,69182451,109463352,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000051,CUS048,PRD016,,2023-01-02,13:56:52,매도,3823405,22854523,모바일앱,KRW,N,,COMPLETED
TXN00000052,CUS027,PRD014,,2023-01-02,11:18:08,카드결제,59718563,99444844,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000053,CUS011,PRD011,,2023-01-02,21:42:58,입금,88471375,129904922,자동이체,KRW,N,,COMPLETED
TXN00000054,CUS002,PRD012,,2023-01-02,09:44:11,카드결제,117299485,167148125,모바일앱,KRW,N,,COMPLETED
TXN00000055,CUS013,PRD003,,2023-01-02,19:33:58,자동이체,133612397,153856546,모바일앱,KRW,N,,COMPLETED
TXN00000056,CUS022,PRD019,,2023-01-02,15:45:47,외환거래,374206870,,인터넷뱅킹,JPY,N,,COMPLETED
TXN00000057,CUS009,PRD015,,2023-01-02,16:28:41,외환거래,174206235,,모바일앱,EUR,N,,COMPLETED
TXN00000058,CUS034,PRD008,,2023-01-02,14:24:12,매도,1590472403,1611104181,자동이체,KRW,N,,COMPLETED
TXN00000059,CUS018,PRD024,,2023-01-02,20:01:43,이체,138338520,167186705,모바일앱,KRW,N,,COMPLETED
TXN00000060,CUS025,PRD012,,2023-01-02,18:56:34,카드결제,1005171,42772761,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000061,CUS008,PRD003,BRN007,2023-01-02,16:53:03,입금,1792778069,1818660696,영업점,KRW,N,,COMPLETED
TXN00000062,CUS021,PRD013,,2023-01-03,18:28:32,카드결제,149633640,171916070,모바일앱,KRW,N,,COMPLETED
TXN00000063,CUS021,PRD022,BRN008,2023-01-03,20:48:22,자동이체,189513495,196316066,ATM,KRW,N,,COMPLETED
TXN00000064,CUS001,PRD023,,2023-01-03,14:03:33,대출상환,90628035,125693062,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000065,CUS009,PRD006,,2023-01-03,08:43:22,대출실행,111336406,137113231,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000066,CUS017,PRD023,,2023-01-03,09:16:49,대출상환,79495377,79926779,모바일앱,KRW,N,,COMPLETED
TXN00000067,CUS034,PRD020,,2023-01-03,16:58:27,매수,4475911642,4480274596,자동이체,KRW,N,,COMPLETED
TXN00000068,CUS003,PRD018,,2023-01-03,20:19:59,매도,41317628,55655495,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000069,CUS045,PRD023,BRN002,2023-01-03,08:46:34,대출실행,4426520520,4467470579,ATM,KRW,N,,COMPLETED
TXN00000070,CUS043,PRD010,,2023-01-03,20:37:27,입금,163058236,195077251,모바일앱,KRW,N,,COMPLETED
TXN00000071,CUS037,PRD023,BRN007,2023-01-03,21:08:17,대출상환,41042123,78403559,ATM,KRW,N,,COMPLETED
TXN00000072,CUS034,PRD008,,2023-01-03,09:19:29,매수,3308442674,3354935139,자동이체,KRW,N,,FAILED
TXN00000073,CUS001,PRD016,BRN006,2023-01-03,15:20:40,외환거래,59809907,98365781,영업점,JPY,N,,COMPLETED
TXN00000074,CUS049,PRD017,BRN003,2023-01-03,10:02:42,매도,302530,11716130,ATM,KRW,N,,COMPLETED
TXN00000075,CUS003,PRD013,,2023-01-03,13:05:58,카드결제,89163734,124199569,모바일앱,KRW,N,,COMPLETED
TXN00000076,CUS013,PRD008,,2023-01-03,09:09:36,매도,178516329,209475422,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000077,CUS040,PRD016,,2023-01-03,18:07:19,매수,137847660,166493134,자동이체,KRW,N,,COMPLETED
TXN00000078,CUS047,PRD011,,2023-01-03,08:12:32,입금,450987879,491780938,모바일앱,KRW,N,,COMPLETED
TXN00000079,CUS045,PRD009,BRN015,2023-01-03,09:51:36,매도,684645016,728144508,ATM,KRW,N,,COMPLETED
TXN00000080,CUS048,PRD007,,2023-01-03,14:46:39,매도,44502196,75421714,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000081,CUS014,PRD001,,2023-01-03,15:54:12,입금,103075546,130210695,모바일앱,KRW,N,,COMPLETED
TXN00000082,CUS042,PRD023,BRN003,2023-01-03,13:05:05,대출실행,125836177,162234178,ATM,KRW,N,,COMPLETED
TXN00000083,CUS024,PRD020,,2023-01-04,12:36:26,외환거래,147316470,187260331,자동이체,USD,N,,COMPLETED
TXN00000084,CUS030,PRD014,,2023-01-04,18:14:30,카드결제,120889163,162910312,모바일앱,KRW,N,,FAILED
TXN00000085,CUS011,PRD013,BRN013,2023-01-04,21:30:36,카드결제,9742842,38593170,ATM,KRW,Y,계좌분산,COMPLETED
TXN00000086,CUS041,PRD003,,2023-01-04,18:03:56,자동이체,125105069,155177777,모바일앱,KRW,N,,COMPLETED
TXN00000087,CUS029,PRD015,,2023-01-04,13:31:20,매수,159285752,,모바일앱,KRW,N,,COMPLETED
TXN00000088,CUS035,PRD011,BRN008,2023-01-04,19:53:13,자동이체,138036380,142586295,영업점,KRW,Y,연속거래,COMPLETED
TXN00000089,CUS036,PRD009,BRN005,2023-01-04,13:23:48,매도,45012738,72290957,ATM,KRW,N,,COMPLETED
TXN00000090,CUS029,PRD015,BRN004,2023-01-04,16:13:01,매수,4544996,50631200,영업점,KRW,N,,COMPLETED
TXN00000091,CUS044,PRD012,,2023-01-04,09:11:59,카드결제,4674851110,,모바일앱,KRW,N,,COMPLETED
TXN00000092,CUS035,PRD006,BRN014,2023-01-04,18:54:50,대출실행,137111679,146191858,영업점,KRW,N,,COMPLETED
TXN00000093,CUS026,PRD017,BRN013,2023-01-04,21:45:38,매수,9049362,39662527,ATM,KRW,Y,계좌분산,COMPLETED
TXN00000094,CUS036,PRD012,,2023-01-04,16:24:38,카드결제,60113692,78661982,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000095,CUS028,PRD014,,2023-01-04,22:38:29,카드결제,130750471,178756007,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000096,CUS033,PRD009,,2023-01-04,20:26:46,매수,51283566,74087784,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000097,CUS029,PRD021,,2023-01-04,09:47:49,출금,176694261,191425363,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000098,CUS044,PRD018,,2023-01-04,18:28:57,매수,1536349454,,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000099,CUS048,PRD006,,2023-01-04,12:33:45,대출상환,70717918,73818521,자동이체,KRW,N,,COMPLETED
TXN00000100,CUS007,PRD018,BRN003,2023-01-04,09:19:19,매도,13809262,57624023,영업점,KRW,N,,COMPLETED
TXN00000101,CUS042,PRD013,,2023-01-04,08:54:12,카드결제,143825408,173719702,모바일앱,KRW,N,,COMPLETED
TXN00000102,CUS050,PRD012,,2023-01-04,09:38:47,카드결제,156448633,199422480,모바일앱,KRW,N,,COMPLETED
TXN00000103,CUS035,PRD011,,2023-01-04,22:55:09,입금,171489135,191893133,모바일앱,KRW,N,,COMPLETED
TXN00000104,CUS033,PRD003,,2023-01-04,14:16:30,자동이체,6651018,22313733,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000105,CUS020,PRD004,,2023-01-04,14:04:13,대출실행,164602807,186130533,모바일앱,KRW,N,,COMPLETED
TXN00000106,CUS014,PRD001,,2023-01-04,17:22:31,이체,121612877,169119818,모바일앱,KRW,N,,COMPLETED
TXN00000107,CUS010,PRD007,,2023-01-04,13:28:25,매수,190779125,193412207,모바일앱,KRW,N,,COMPLETED
TXN00000108,CUS024,PRD004,BRN014,2023-01-04,12:42:41,대출실행,60882746,76192241,영업점,KRW,N,,REVERSED
TXN00000109,CUS024,PRD022,,2023-01-04,13:35:40,자동이체,144305913,161011257,모바일앱,KRW,N,,COMPLETED
TXN00000110,CUS030,PRD014,BRN002,2023-01-04,12:19:50,카드결제,126427719,174109177,ATM,KRW,N,,COMPLETED
TXN00000111,CUS041,PRD003,,2023-01-04,12:34:41,입금,168348976,201134762,자동이체,KRW,N,,COMPLETED
TXN00000112,CUS008,PRD003,BRN011,2023-01-04,15:04:00,자동이체,4352351307,4363293546,영업점,KRW,N,,COMPLETED
TXN00000113,CUS037,PRD009,,2023-01-04,11:04:57,매수,61193574,81416293,모바일앱,KRW,N,,COMPLETED
TXN00000114,CUS004,PRD014,BRN012,2023-01-04,21:16:35,카드결제,186302823,219075001,ATM,KRW,N,,PENDING
TXN00000115,CUS038,PRD017,,2023-01-04,14:34:18,외환거래,170982425,187280090,모바일앱,USD,N,,COMPLETED
TXN00000116,CUS028,PRD014,,2023-01-04,19:59:01,카드결제,380110778,392771181,모바일앱,KRW,N,,COMPLETED
TXN00000117,CUS029,PRD015,BRN003,2023-01-04,17:07:47,매도,111541677,139415548,영업점,KRW,N,,PENDING
TXN00000118,CUS048,PRD024,,2023-01-04,11:58:17,출금,8619161,17740422,모바일앱,KRW,N,,COMPLETED
TXN00000119,CUS045,PRD012,,2023-01-04,17:17:37,카드결제,4606796351,4620905780,자동이체,KRW,N,,COMPLETED
TXN00000120,CUS027,PRD014,,2023-01-05,17:22:47,카드결제,25185848,57119137,모바일앱,KRW,N,,COMPLETED
TXN00000121,CUS041,PRD003,BRN004,2023-01-05,21:17:25,입금,73654681,,ATM,KRW,N,,COMPLETED
TXN00000122,CUS023,PRD004,BRN013,2023-01-05,12:29:54,대출상환,96780043,126024147,ATM,KRW,N,,COMPLETED
TXN00000123,CUS004,PRD020,,2023-01-05,14:35:15,매도,34434347,60009546,모바일앱,KRW,N,,COMPLETED
TXN00000124,CUS023,PRD023,,2023-01-05,17:57:40,대출상환,95577055,134777889,모바일앱,KRW,N,,COMPLETED
TXN00000125,CUS029,PRD015,BRN014,2023-01-05,22:54:16,매수,80173030,,ATM,KRW,N,,FAILED
TXN00000126,CUS036,PRD009,,2023-01-05,19:00:51,매도,92157199,96521690,자동이체,KRW,N,,COMPLETED
TXN00000127,CUS018,PRD024,,2023-01-05,18:59:16,자동이체,129157289,138698287,모바일앱,KRW,N,,COMPLETED
TXN00000128,CUS001,PRD019,BRN012,2023-01-05,20:30:15,매수,17754840,34812641,ATM,KRW,N,,COMPLETED
TXN00000129,CUS006,PRD015,BRN012,2023-01-05,15:43:18,외환거래,53152987,63239920,영업점,JPY,N,,COMPLETED
TXN00000130,CUS034,PRD020,BRN006,2023-01-05,21:37:20,매수,273849241,,영업점,KRW,N,,COMPLETED
TXN00000131,CUS029,PRD015,,2023-01-05,14:41:27,매수,137940936,,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000132,CUS004,PRD020,BRN002,2023-01-05,19:06:44,외환거래,128972636,,ATM,EUR,N,,COMPLETED
TXN00000133,CUS005,PRD011,,2023-01-05,14:14:30,자동이체,45866894,88333212,모바일앱,KRW,N,,COMPLETED
TXN00000134,CUS036,PRD007,,2023-01-05,09:35:39,매도,169355677,204654645,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000135,CUS030,PRD014,,2023-01-05,18:26:35,카드결제,38339335,67149429,모바일앱,KRW,N,,COMPLETED
TXN00000136,CUS047,PRD011,BRN001,2023-01-05,12:23:11,입금,7069892,,ATM,KRW,N,,COMPLETED
TXN00000137,CUS033,PRD003,,2023-01-05,13:55:41,자동이체,186673196,188039331,모바일앱,KRW,N,,COMPLETED
TXN00000138,CUS019,PRD006,BRN006,2023-01-05,12:06:50,대출실행,7340569,34533479,영업점,KRW,N,,COMPLETED
TXN00000139,CUS021,PRD013,BRN014,2023-01-05,17:37:09,카드결제,51743508,78807536,ATM,KRW,N,,COMPLETED
TXN00000140,CUS010,PRD013,BRN010,2023-01-05,21:08:08,카드결제,10038281,12252690,ATM,KRW,N,,COMPLETED
TXN00000141,CUS043,PRD010,,2023-01-05,13:03:24,입금,175839262,,모바일앱,KRW,N,,COMPLETED
TXN00000142,CUS003,PRD013,,2023-01-05,20:07:13,카드결제,143404216,164089678,모바일앱,KRW,N,,COMPLETED
TXN00000143,CUS042,PRD008,BRN014,2023-01-05,12:23:07,매수,42509739,58934438,ATM,KRW,N,,COMPLETED
TXN00000144,CUS044,PRD018,,2023-01-05,10:21:13,매도,1717817878,1737912900,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000145,CUS017,PRD012,,2023-01-05,14:32:27,카드결제,71849419,83617478,모바일앱,KRW,N,,COMPLETED
TXN00000146,CUS023,PRD004,,2023-01-05,20:27:29,대출상환,167809640,184183738,모바일앱,KRW,N,,COMPLETED
TXN00000147,CUS024,PRD022,BRN012,2023-01-05,15:39:53,입금,95629764,122893140,영업점,KRW,N,,COMPLETED
TXN00000148,CUS025,PRD014,,2023-01-05,21:23:21,카드결제,71819456,104663567,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000149,CUS016,PRD004,,2023-01-05,17:03:58,대출상환,224100890,244343367,인터넷뱅킹,KRW,N,,REVERSED
TXN00000150,CUS015,PRD007,,2023-01-06,19:25:23,매수,77465330,107196003,자동이체,KRW,N,,COMPLETED
TXN00000151,CUS026,PRD017,,2023-01-06,13:46:42,매수,90758328,104842360,모바일앱,KRW,N,,COMPLETED
TXN00000152,CUS027,PRD001,,2023-01-06,18:48:56,이체,67076356,77517561,모바일앱,KRW,N,,COMPLETED
TXN00000153,CUS025,PRD014,BRN008,2023-01-06,17:59:09,카드결제,27728042,50561489,ATM,KRW,N,,COMPLETED
TXN00000154,CUS045,PRD015,,2023-01-06,19:12:40,외환거래,4000560451,4022402486,자동이체,EUR,N,,COMPLETED
TXN00000155,CUS022,PRD019,,2023-01-06,18:15:36,매수,222205559,229101545,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000156,CUS031,PRD016,BRN014,2023-01-06,11:40:39,외환거래,146677495,,영업점,USD,N,,COMPLETED
TXN00000157,CUS033,PRD008,BRN008,2023-01-06,15:06:32,매수,186475522,,ATM,KRW,N,,COMPLETED
TXN00000158,CUS031,PRD009,,2023-01-06,14:24:10,매수,25623793,44102876,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000159,CUS036,PRD007,,2023-01-06,14:35:46,매도,154049226,168108301,자동이체,KRW,N,,FAILED
TXN00000160,CUS026,PRD003,BRN003,2023-01-06,20:37:19,자동이체,106541451,118985692,ATM,KRW,N,,COMPLETED
TXN00000161,CUS041,PRD003,,2023-01-06,21:24:44,자동이체,92478678,119788603,모바일앱,KRW,N,,COMPLETED
TXN00000162,CUS030,PRD014,,2023-01-06,22:47:37,카드결제,3056248,17600193,모바일앱,KRW,N,,COMPLETED
TXN00000163,CUS043,PRD010,,2023-01-06,09:42:11,자동이체,188590169,214410829,모바일앱,KRW,N,,COMPLETED
TXN00000164,CUS027,PRD014,BRN002,2023-01-06,08:43:26,카드결제,58649945,80804371,영업점,KRW,N,,COMPLETED
TXN00000165,CUS007,PRD001,BRN010,2023-01-06,20:22:49,입금,30501200,57535483,ATM,KRW,N,,COMPLETED
TXN00000166,CUS038,PRD001,BRN008,2023-01-06,20:48:05,출금,60789535,76433545,ATM,KRW,N,,COMPLETED
TXN00000167,CUS027,PRD014,,2023-01-06,20:42:13,카드결제,143214705,150051822,모바일앱,KRW,N,,COMPLETED
TXN00000168,CUS045,PRD023,BRN005,2023-01-06,19:05:03,대출실행,3716040288,3749266820,영업점,KRW,N,,COMPLETED
TXN00000169,CUS006,PRD024,,2023-01-06,08:25:18,입금,6698145,9989885,모바일앱,KRW,N,,COMPLETED
TXN00000170,CUS003,PRD013,,2023-01-06,16:33:53,카드결제,111945909,120036557,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000171,CUS005,PRD001,,2023-01-06,12:15:09,입금,53850686,71252489,모바일앱,KRW,N,,COMPLETED
TXN00000172,CUS036,PRD009,,2023-01-06,09:56:13,매도,53021110,58133278,모바일앱,KRW,N,,COMPLETED
TXN00000173,CUS043,PRD010,BRN013,2023-01-06,21:31:59,입금,55149031,91725731,영업점,KRW,N,,COMPLETED
TXN00000174,CUS045,PRD011,,2023-01-06,15:50:07,입금,3767278578,,모바일앱,KRW,N,,COMPLETED
TXN00000175,CUS002,PRD012,,2023-01-06,22:19:29,카드결제,43381645,78428889,모바일앱,KRW,N,,COMPLETED
TXN00000176,CUS008,PRD003,BRN015,2023-01-06,16:53:29,자동이체,1362993358,1395612895,영업점,KRW,N,,COMPLETED
TXN00000177,CUS028,PRD014,BRN002,2023-01-06,16:54:23,카드결제,204813955,224681812,ATM,KRW,N,,COMPLETED
TXN00000178,CUS006,PRD024,,2023-01-06,18:58:31,이체,165008200,172570621,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000179,CUS019,PRD006,BRN004,2023-01-06,18:15:09,대출실행,93519785,112675943,영업점,KRW,N,,COMPLETED
TXN00000180,CUS022,PRD007,,2023-01-06,13:21:42,매도,355849276,368401064,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000181,CUS023,PRD023,BRN011,2023-01-06,13:10:11,대출상환,198543162,219573603,영업점,KRW,N,,COMPLETED
TXN00000182,CUS032,PRD014,,2023-01-06,19:59:29,카드결제,139756534,175136457,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000183,CUS019,PRD006,,2023-01-07,08:03:23,대출실행,158614303,200903503,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000184,CUS043,PRD022,,2023-01-07,13:13:23,자동이체,39106160,51569720,모바일앱,KRW,N,,COMPLETED
TXN00000185,CUS025,PRD014,,2023-01-07,20:08:41,카드결제,108751489,,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000186,CUS002,PRD012,,2023-01-07,12:05:54,카드결제,29868504,,모바일앱,KRW,N,,COMPLETED
TXN00000187,CUS027,PRD001,,2023-01-07,08:16:50,자동이체,27553468,,모바일앱,KRW,N,,COMPLETED
TXN00000188,CUS027,PRD016,BRN008,2023-01-07,08:38:43,매도,26931554,59637165,ATM,KRW,N,,COMPLETED
TXN00000189,CUS013,PRD003,BRN003,2023-01-07,09:46:07,자동이체,177070272,187997466,ATM,KRW,N,,COMPLETED
TXN00000190,CUS036,PRD012,,2023-01-07,08:18:34,카드결제,126454496,148481790,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000191,CUS039,PRD008,BRN015,2023-01-07,09:02:02,매도,121442449,162166098,ATM,KRW,N,,COMPLETED
TXN00000192,CUS046,PRD009,,2023-01-07,14:59:01,매도,52150881,73637430,자동이체,KRW,N,,COMPLETED
TXN00000193,CUS011,PRD013,,2023-01-07,21:59:00,카드결제,77659869,85655910,자동이체,KRW,N,,COMPLETED
TXN00000194,CUS032,PRD014,BRN002,2023-01-07,20:38:29,카드결제,7851174,16515993,영업점,KRW,N,,COMPLETED
TXN00000195,CUS020,PRD004,,2023-01-07,12:39:58,대출상환,65128362,,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000196,CUS049,PRD017,,2023-01-07,22:48:06,외환거래,70511086,89932480,인터넷뱅킹,EUR,N,,COMPLETED
TXN00000197,CUS041,PRD003,,2023-01-07,08:35:11,입금,172227292,206548745,모바일앱,KRW,N,,COMPLETED
TXN00000198,CUS025,PRD012,,2023-01-07,13:48:31,카드결제,180851900,196208730,모바일앱,KRW,N,,COMPLETED
TXN00000199,CUS010,PRD013,,2023-01-07,21:14:42,카드결제,67274827,83450808,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000200,CUS021,PRD022,,2023-01-07,13:35:22,자동이체,421539852,446609818,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000201,CUS035,PRD016,,2023-01-07,22:11:47,매수,112511798,153061184,모바일앱,USD,Y,해외거래이상,COMPLETED
TXN00000202,CUS023,PRD004,BRN006,2023-01-07,17:33:51,대출상환,3975511,,영업점,KRW,N,,COMPLETED
TXN00000203,CUS016,PRD008,,2023-01-07,13:28:28,매수,45057253,71938601,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000204,CUS015,PRD001,,2023-01-07,16:42:04,이체,157781834,,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000205,CUS033,PRD003,,2023-01-07,15:12:46,자동이체,165356902,206647021,모바일앱,KRW,N,,COMPLETED
TXN00000206,CUS018,PRD024,,2023-01-07,20:29:53,자동이체,48422344,70205797,모바일앱,KRW,N,,COMPLETED
TXN00000207,CUS044,PRD016,,2023-01-07,19:15:09,매도,748792036,769124119,모바일앱,KRW,N,,COMPLETED
TXN00000208,CUS030,PRD014,,2023-01-07,09:19:46,카드결제,91817077,108466157,인터넷뱅킹,KRW,N,,COMPLETED
TXN00000209,CUS035,PRD016,,2023-01-07,15:20:18,외환거래,7739401,33620795,인터넷뱅킹,EUR,N,,COMPLETED
TXN00000210,CUS018,PRD020,,2023-01-07,15:23:03,매수,57158544,72131427,모바일앱,KRW,N,,COMPLETED
TXN00000211,CUS039,PRD008,,2023-01-07,10:22:54,매수,86488766,129540850,모바일앱,KRW,N,,COMPLETED
TXN00000212,CUS015,PRD007,,2023-01-07,15:17:08,매도,105319910,117755928,모바일앱,KRW,N,,COMPLETED
