USAGE_ID,METER_ID,USAGE_DATE,USAGE_KWH,PEAK_KW,OFFPEAK_KW,REACTIVE_KVARH,POWER_FACTOR,IS_PEAK_DAY,ESTIMATED_FLAG
72,MTR012,2023-01-04,1017.47,53.67,37.23,162.97,,1,N
73,MTR013,2023-01-04,4171.29,199.9,138.69,436.67,0.967,1,N
74,MTR014,2023-01-04,1222.9,56.83,36.28,128.71,0.961,1,N
75,MTR015,2023-01-04,397.33,19.53,11.93,58.78,0.871,1,N
76,MTR016,2023-01-04,112.4,5.99,3.67,18.47,0.883,1,Y
77,MTR017,2023-01-04,16527.38,776.55,455.38,2463.67,0.855,1,N
78,MTR018,2023-01-04,195.51,9.86,6.03,25.81,0.942,1,N
79,MTR019,2023-01-04,45928.29,2145.47,1318.72,10190.04,0.903,1,N
80,MTR020,2023-01-04,196.35,9.57,6.36,48.99,0.955,1,N
81,MTR001,2023-01-05,8869.31,487.75,241.94,963.86,,1,N
82,MTR002,2023-01-05,3559.48,173.81,117.83,827.81,0.87,1,N
83,MTR003,2023-01-05,10636.97,570.9,345.53,1267.0,0.932,1,N
84,MTR004,2023-01-05,972.34,48.78,36.55,159.84,0.93,1,N
85,MTR005,2023-01-05,11299.02,538.6,422.68,1935.31,0.92,1,N
86,MTR006,2023-01-05,2278.24,111.22,69.24,442.4,0.942,1,N
87,MTR007,2023-01-05,9089.76,434.3,343.96,990.98,0.955,1,N
88,MTR008,2023-01-05,562.86,26.4,18.31,120.98,0.917,1,N
89,MTR009,2023-01-05,14747.74,687.84,404.06,3627.77,0.985,1,N
90,MTR010,2023-01-05,958.12,46.31,30.54,159.92,0.965,1,N
91,MTR011,2023-01-05,8958.78,474.37,313.23,1924.09,0.977,1,N
92,MTR012,2023-01-05,904.54,49.19,26.75,69.77,0.914,1,N
93,MTR013,2023-01-05,4169.82,226.67,142.46,548.84,,1,N
94,MTR014,2023-01-05,1195.89,57.65,43.22,293.67,0.9,1,N
95,MTR015,2023-01-05,365.68,17.78,11.33,19.85,0.96,1,N
96,MTR016,2023-01-05,112.68,5.97,3.59,13.04,0.871,1,Y
97,MTR017,2023-01-05,16119.71,780.83,690.14,853.89,0.961,1,N
98,MTR018,2023-01-05,170.95,8.15,5.71,35.15,,1,N
99,MTR019,2023-01-05,45771.52,2278.8,1405.4,11113.56,0.859,1,N
100,MTR020,2023-01-05,193.7,10.57,6.9,12.23,0.889,1,N
101,MTR001,2023-01-06,8753.63,475.83,266.19,1930.69,0.941,1,N
102,MTR002,2023-01-06,3412.57,173.54,133.03,461.9,0.943,1,N
103,MTR003,2023-01-06,11140.19,531.62,370.31,1796.62,0.932,1,N
104,MTR004,2023-01-06,945.21,44.02,27.51,230.33,0.934,1,N
105,MTR005,2023-01-06,10756.99,552.48,301.24,1772.97,0.963,1,N
106,MTR006,2023-01-06,2286.93,105.31,76.82,236.67,0.875,1,N
107,MTR007,2023-01-06,8449.54,455.07,276.37,474.28,0.954,1,N
108,MTR008,2023-01-06,539.93,26.64,19.44,32.68,0.872,1,N
109,MTR009,2023-01-06,15152.78,720.88,612.59,2060.52,0.89,1,N
110,MTR010,2023-01-06,368.62,20.44,12.83,34.0,0.869,1,N
111,MTR011,2023-01-06,9200.1,459.98,261.95,1943.43,0.86,1,Y
112,MTR012,2023-01-06,880.06,43.37,26.9,117.52,,1,N
113,MTR013,2023-01-06,4179.2,195.49,168.03,701.16,0.923,1,N
114,MTR014,2023-01-06,1169.89,63.39,38.77,270.46,0.899,1,N
115,MTR015,2023-01-06,422.55,20.7,13.94,76.52,0.875,1,N
116,MTR016,2023-01-06,116.77,5.76,3.33,20.42,0.971,1,N
117,MTR017,2023-01-06,15582.36,777.98,615.97,2187.49,0.858,1,N
118,MTR018,2023-01-06,195.32,9.84,6.38,40.7,0.975,1,N
119,MTR019,2023-01-06,43836.79,2402.35,1830.73,10074.81,0.898,1,N
120,MTR020,2023-01-06,175.12,8.72,6.69,21.81,0.89,1,N
121,MTR001,2023-01-07,7665.38,370.07,303.23,1492.81,0.942,0,N
122,MTR002,2023-01-07,2983.17,143.46,91.09,504.18,0.981,0,N
123,MTR003,2023-01-07,10048.06,484.44,312.2,1800.66,0.909,0,N
124,MTR004,2023-01-07,598.45,31.65,22.77,39.16,,0,N
125,MTR005,2023-01-07,9917.82,535.4,321.81,817.72,0.966,0,N
126,MTR006,2023-01-07,1248.19,65.87,40.53,133.54,0.955,0,N
127,MTR007,2023-01-07,7693.11,353.08,228.08,1095.01,0.889,0,N
128,MTR008,2023-01-07,382.6,20.14,13.28,86.02,,0,N
129,MTR009,2023-01-07,13037.97,701.37,398.88,3119.76,0.881,0,N
130,MTR010,2023-01-07,200.88,9.14,7.45,11.18,0.98,0,N
131,MTR011,2023-01-07,7852.61,423.2,232.96,1097.17,,0,N
132,MTR012,2023-01-07,653.2,35.41,23.27,72.0,0.857,0,N
133,MTR013,2023-01-07,3330.15,166.0,136.13,262.13,0.91,0,N
134,MTR014,2023-01-07,743.24,40.68,21.65,112.58,0.988,0,N
135,MTR015,2023-01-07,246.4,13.64,7.95,29.31,0.953,0,N
136,MTR016,2023-01-07,126.04,6.74,3.54,18.01,0.947,0,N
137,MTR017,2023-01-07,13807.05,734.5,605.13,3267.77,0.922,0,N
138,MTR018,2023-01-07,195.52,9.11,6.42,14.64,0.902,0,N
139,MTR019,2023-01-07,45436.88,2272.97,1328.15,6990.7,0.962,0,N
140,MTR020,2023-01-07,215.89,10.46,8.5,36.81,0.91,0,N
141,MTR001,2023-01-08,7456.68,340.18,228.46,484.75,0.939,0,N
142,MTR002,2023-01-08,3174.77,175.02,114.97,653.06,0.901,0,N
143,MTR003,2023-01-08,9786.35,482.19,301.79,1268.38,0.941,0,N
144,MTR004,2023-01-08,672.09,35.29,23.97,93.59,0.989,0,N
145,MTR005,2023-01-08,8915.52,450.72,310.18,1661.73,0.968,0,N
146,MTR006,2023-01-08,1220.28,58.53,32.48,216.65,0.961,0,N
147,MTR007,2023-01-08,7089.01,363.99,211.68,1136.58,,0,N
148,MTR008,2023-01-08,385.01,18.08,13.95,94.13,0.94,0,N
149,MTR009,2023-01-08,13473.04,616.19,495.95,3127.66,,0,N
150,MTR010,2023-01-08,207.23,9.52,6.34,45.42,0.885,0,N
151,MTR011,2023-01-08,7665.19,352.16,312.72,1393.12,0.951,0,N
152,MTR012,2023-01-08,618.9,30.09,22.4,111.54,0.957,0,N
153,MTR013,2023-01-08,3539.17,166.79,111.59,387.49,,0,N
154,MTR014,2023-01-08,753.83,36.11,24.4,167.47,,0,N
155,MTR015,2023-01-08,251.1,13.22,10.23,27.13,0.904,0,N
156,MTR016,2023-01-08,127.02,6.03,4.44,19.43,0.92,0,Y
157,MTR017,2023-01-08,14189.03,779.52,491.2,3213.36,0.942,0,N
158,MTR018,2023-01-08,212.84,10.94,6.85,34.92,0.877,0,N
159,MTR019,2023-01-08,42864.2,2068.58,1436.65,10502.44,0.905,0,N
160,MTR020,2023-01-08,228.31,12.56,8.66,26.62,0.916,0,N
161,MTR001,2023-01-09,8534.0,407.21,267.48,1000.82,0.966,1,N
162,MTR002,2023-01-09,3503.19,172.28,93.51,683.35,,1,N
163,MTR003,2023-01-09,11639.53,572.41,411.73,2046.29,0.937,1,N
164,MTR004,2023-01-09,1063.69,58.85,41.49,85.4,0.947,1,N
165,MTR005,2023-01-09,11395.23,605.18,439.86,2079.01,0.924,1,N
166,MTR006,2023-01-09,2328.52,111.5,69.04,439.3,0.935,1,N
167,MTR007,2023-01-09,8680.0,460.99,285.11,984.38,0.899,1,N
168,MTR008,2023-01-09,532.14,24.28,16.52,128.2,0.963,1,N
169,MTR009,2023-01-09,15312.79,814.15,506.58,3623.08,,1,N
170,MTR010,2023-01-09,362.7,17.65,14.1,48.12,,1,N
171,MTR011,2023-01-09,9096.6,422.83,272.29,817.7,0.985,1,N
172,MTR012,2023-01-09,1059.87,50.73,30.57,246.57,0.875,1,N
173,MTR013,2023-01-09,4301.08,196.86,111.84,969.24,0.851,1,N
174,MTR014,2023-01-09,1330.99,66.63,38.29,293.1,0.916,1,N
175,MTR015,2023-01-09,369.0,17.62,12.09,60.35,0.956,1,N
176,MTR016,2023-01-09,119.84,5.8,4.92,9.36,0.895,1,N
177,MTR017,2023-01-09,16036.72,888.67,480.17,3023.78,,1,N
178,MTR018,2023-01-09,179.12,9.31,6.49,41.78,0.891,1,N
179,MTR019,2023-01-09,40421.31,2055.66,1290.58,5827.36,0.925,1,N
180,MTR020,2023-01-09,177.83,8.99,6.13,11.67,,1,N
181,MTR001,2023-01-10,8648.95,468.4,318.07,1441.17,0.863,1,N
182,MTR002,2023-01-10,3478.29,163.86,108.93,449.36,0.964,1,N
183,MTR003,2023-01-10,10697.21,585.31,277.68,602.76,0.907,1,N
184,MTR004,2023-01-10,1126.83,57.7,29.32,260.7,0.903,1,N
185,MTR005,2023-01-10,10985.91,546.15,337.18,1038.59,,1,N
186,MTR006,2023-01-10,2222.59,117.04,71.78,233.66,0.981,1,N
187,MTR007,2023-01-10,8919.79,473.84,384.48,505.89,0.934,1,Y
188,MTR008,2023-01-10,586.09,27.32,24.55,88.37,0.89,1,N
189,MTR009,2023-01-10,15144.13,815.38,502.96,1426.71,,1,N
190,MTR010,2023-01-10,384.29,19.23,11.27,91.58,0.944,1,N
191,MTR011,2023-01-10,9132.24,426.79,328.22,1748.96,0.963,1,N
192,MTR012,2023-01-10,1071.98,56.98,36.26,251.32,,1,N
193,MTR013,2023-01-10,3937.91,209.99,109.46,767.35,0.928,1,N
194,MTR014,2023-01-10,1168.25,53.47,39.76,291.96,0.917,1,N
195,MTR015,2023-01-10,372.44,19.08,11.43,45.38,0.887,1,N
196,MTR016,2023-01-10,102.64,4.74,3.27,13.63,0.929,1,N
197,MTR017,2023-01-10,16227.07,839.93,612.44,3515.96,0.92,1,N
198,MTR018,2023-01-10,173.89,8.71,6.29,36.34,0.874,1,N
199,MTR019,2023-01-10,45583.59,2513.53,1512.3,10896.19,0.944,1,N
200,MTR020,2023-01-10,199.36,9.96,7.79,34.6,0.943,1,N
201,MTR001,2023-01-11,8360.81,437.76,238.66,446.71,0.964,1,N
202,MTR002,2023-01-11,3497.94,173.98,113.64,361.91,0.906,1,N
203,MTR003,2023-01-11,11478.72,556.82,312.08,2317.75,0.863,1,N
204,MTR004,2023-01-11,2021.97,102.45,61.57,329.93,,1,N
205,MTR005,2023-01-11,10368.38,570.12,405.22,2437.78,0.976,1,Y
206,MTR006,2023-01-11,2335.91,111.19,71.13,302.87,0.861,1,N
207,MTR007,2023-01-11,8918.56,480.53,239.32,1737.63,0.92,1,N
208,MTR008,2023-01-11,551.04,25.25,17.74,112.8,0.854,1,N
209,MTR009,2023-01-11,15103.18,731.65,557.87,2623.77,0.962,1,N
210,MTR010,2023-01-11,330.81,17.17,11.93,16.88,0.893,1,N
211,MTR011,2023-01-11,8984.07,496.22,322.03,616.42,0.934,1,N
212,MTR012,2023-01-11,935.29,43.26,24.19,153.75,0.874,1,N
213,MTR013,2023-01-11,4018.2,201.55,159.01,403.19,0.885,1,N
214,MTR014,2023-01-11,1133.85,58.66,32.26,239.03,0.896,1,N
215,MTR015,2023-01-11,426.2,19.56,16.49,48.09,0.985,1,N
216,MTR016,2023-01-11,115.49,5.92,3.71,14.85,0.866,1,N
217,MTR017,2023-01-11,16296.74,782.24,559.92,1764.39,0.947,1,N
218,MTR018,2023-01-11,179.25,8.69,5.93,37.25,0.86,1,N
219,MTR019,2023-01-11,42182.44,2090.87,1220.42,5142.29,0.975,1,N
220,MTR020,2023-01-11,171.95,8.35,7.0,42.42,0.945,1,N
221,MTR001,2023-01-12,19952.74,993.9,645.98,3293.14,0.912,1,N
222,MTR002,2023-01-12,3506.15,178.3,111.3,256.7,,1,N
223,MTR003,2023-01-12,10901.53,524.44,392.71,1199.74,,1,N
224,MTR004,2023-01-12,1056.75,55.69,34.73,86.68,0.928,1,N
225,MTR005,2023-01-12,10601.6,518.25,439.3,1785.74,0.904,1,N
226,MTR006,2023-01-12,2257.58,105.06,92.39,260.07,0.914,1,N
227,MTR007,2023-01-12,8871.39,457.48,259.4,1538.94,0.964,1,N
228,MTR008,2023-01-12,571.53,29.73,23.34,107.84,0.922,1,N
229,MTR009,2023-01-12,14852.0,675.1,468.51,2197.03,0.87,1,N
230,MTR010,2023-01-12,6.32,0.29,0.19,0.94,0.946,1,N
231,MTR011,2023-01-12,9139.51,478.52,316.52,764.45,0.914,1,N
232,MTR012,2023-01-12,987.44,46.37,32.07,211.83,0.856,1,N
233,MTR013,2023-01-12,4105.26,186.63,146.21,491.46,0.964,1,N
234,MTR014,2023-01-12,1279.08,65.92,38.96,225.83,,1,N
235,MTR015,2023-01-12,372.64,18.49,13.92,71.1,0.891,1,N
236,MTR016,2023-01-12,121.74,5.76,3.15,30.25,,1,N
237,MTR017,2023-01-12,16013.32,802.36,497.42,1661.28,0.908,1,N
238,MTR018,2023-01-12,195.88,9.01,7.21,47.02,,1,N
239,MTR019,2023-01-12,44369.85,2283.23,1659.91,6960.96,0.88,1,N
240,MTR020,2023-01-12,178.59,8.81,5.87,21.21,,1,N
241,MTR001,2023-01-13,8747.57,485.9,256.68,791.34,,1,N
242,MTR002,2023-01-13,3493.74,179.28,109.05,290.35,0.905,1,N
243,MTR003,2023-01-13,478.25,25.3,16.42,24.8,0.947,1,N
244,MTR004,2023-01-13,1008.87,48.22,39.9,113.67,,1,N
245,MTR005,2023-01-13,10808.8,599.36,340.52,1491.83,0.951,1,N
246,MTR006,2023-01-13,2106.38,114.47,71.45,353.69,0.904,1,N
247,MTR007,2023-01-13,8472.2,414.69,251.92,1593.58,0.969,1,N
248,MTR008,2023-01-13,560.36,30.76,17.33,135.01,,1,N
249,MTR009,2023-01-13,15355.02,828.75,407.32,2513.25,0.901,1,N
250,MTR010,2023-01-13,389.8,20.46,17.01,24.2,0.961,1,N
251,MTR011,2023-01-13,9324.97,455.67,332.67,1044.22,0.922,1,N
252,MTR012,2023-01-13,984.74,47.52,35.17,186.84,0.952,1,N
253,MTR013,2023-01-13,3948.48,188.32,127.65,291.75,0.949,1,N
254,MTR014,2023-01-13,1323.49,70.9,47.6,272.94,0.888,1,N
255,MTR015,2023-01-13,358.07,17.17,12.91,23.42,0.914,1,N
256,MTR016,2023-01-13,112.73,5.55,3.85,10.79,,1,N
257,MTR017,2023-01-13,15791.36,736.88,461.51,3676.06,0.954,1,N
258,MTR018,2023-01-13,179.5,9.21,6.61,41.35,0.875,1,N
259,MTR019,2023-01-13,45828.62,2143.59,1709.15,7360.91,0.851,1,N
260,MTR020,2023-01-13,179.87,9.01,5.37,16.02,0.976,1,N
261,MTR001,2023-01-14,7073.65,328.87,187.57,355.75,0.942,0,N
262,MTR002,2023-01-14,2921.41,132.86,100.97,200.42,0.979,0,N
263,MTR003,2023-01-14,9517.54,513.52,315.66,618.32,0.929,0,N
264,MTR004,2023-01-14,605.95,29.13,17.32,68.84,,0,N
265,MTR005,2023-01-14,9568.37,487.53,317.85,2324.41,0.879,0,N
266,MTR006,2023-01-14,1235.53,59.44,44.67,268.34,,0,N
267,MTR007,2023-01-14,7471.69,412.25,225.7,1049.33,0.955,0,N
268,MTR008,2023-01-14,370.88,16.91,12.93,79.64,0.902,0,N
269,MTR009,2023-01-14,12778.56,591.33,481.41,968.08,0.977,0,N
270,MTR010,2023-01-14,201.62,9.47,6.84,11.27,0.946,0,N
271,MTR011,2023-01-14,7676.52,404.39,266.46,1016.36,,0,N
272,MTR012,2023-01-14,565.02,27.53,17.0,118.07,0.989,0,N
273,MTR013,2023-01-14,3494.37,186.67,127.42,327.79,0.975,0,N
274,MTR014,2023-01-14,833.21,38.05,28.04,151.12,0.887,0,N
275,MTR015,2023-01-14,225.15,10.63,7.2,49.05,0.968,0,N
276,MTR016,2023-01-14,132.0,6.06,4.09,21.47,0.876,0,N
277,MTR017,2023-01-14,13485.28,714.44,475.37,676.11,0.979,0,N
278,MTR018,2023-01-14,217.09,10.67,7.11,44.48,0.969,0,N
279,MTR019,2023-01-14,42003.09,2186.86,1752.07,3423.28,0.983,0,N
280,MTR020,2023-01-14,205.33,9.71,6.73,34.45,0.875,0,N
281,MTR001,2023-01-15,7385.8,336.07,218.92,417.12,0.934,0,N
282,MTR002,2023-01-15,2955.68,155.96,79.67,247.03,,0,N
283,MTR003,2023-01-15,10029.49,548.92,386.61,718.18,0.85,0,N
284,MTR004,2023-01-15,703.04,34.83,27.84,102.57,0.971,0,N
285,MTR005,2023-01-15,8676.92,397.9,352.35,729.04,0.903,0,N
286,MTR006,2023-01-15,1451.44,72.82,55.72,346.15,0.873,0,N
287,MTR007,2023-01-15,7096.85,339.24,242.4,754.43,,0,N
288,MTR008,2023-01-15,373.48,19.47,12.03,63.51,,0,N
289,MTR009,2023-01-15,12287.07,615.7,398.67,838.31,0.926,0,N
290,MTR010,2023-01-15,216.67,11.46,7.89,13.5,0.955,0,N
291,MTR011,2023-01-15,7986.78,373.86,237.46,1068.04,0.925,0,N
292,MTR012,2023-01-15,659.1,31.6,19.74,151.65,0.962,0,N
293,MTR013,2023-01-15,3502.1,164.93,117.61,471.65,0.988,0,N
294,MTR014,2023-01-15,776.2,35.84,27.13,99.06,0.906,0,N
295,MTR015,2023-01-15,245.79,12.23,8.16,32.66,0.871,0,N
296,MTR016,2023-01-15,137.96,6.85,5.11,18.24,0.904,0,N
297,MTR017,2023-01-15,13039.44,718.22,366.07,1516.47,0.883,0,N
298,MTR018,2023-01-15,206.7,10.35,6.82,14.4,,0,N
299,MTR019,2023-01-15,42461.24,2063.01,1612.57,3918.24,0.965,0,N
300,MTR020,2023-01-15,226.71,11.32,9.01,49.93,,0,N
301,MTR001,2023-01-16,8964.41,430.6,289.39,1924.67,0.921,1,N
302,MTR002,2023-01-16,3355.92,164.93,106.85,277.54,0.975,1,N
303,MTR003,2023-01-16,10894.03,508.39,305.9,2021.27,0.888,1,Y
304,MTR004,2023-01-16,80.07,3.92,3.07,8.05,0.963,1,N
305,MTR005,2023-01-16,10915.12,549.42,364.85,2345.25,,1,N
306,MTR006,2023-01-16,2217.64,108.52,76.33,158.83,0.859,1,N
307,MTR007,2023-01-16,8867.91,476.78,285.23,2039.06,0.963,1,N
308,MTR008,2023-01-16,576.85,26.23,20.09,77.13,,1,N
309,MTR009,2023-01-16,15037.46,711.34,437.61,2772.51,0.921,1,N
310,MTR010,2023-01-16,384.05,20.18,12.69,77.8,0.876,1,N
311,MTR011,2023-01-16,9045.92,468.09,304.08,984.29,0.969,1,N
312,MTR012,2023-01-16,994.28,49.71,26.65,125.61,,1,N
313,MTR013,2023-01-16,3908.65,197.11,124.67,754.89,0.959,1,N
314,MTR014,2023-01-16,32.91,1.76,0.94,4.87,,1,N
315,MTR015,2023-01-16,407.65,22.46,15.54,50.8,0.852,1,N
316,MTR016,2023-01-16,104.62,5.04,3.91,7.93,0.904,1,N
317,MTR017,2023-01-16,16228.6,838.63,467.47,4042.45,0.898,1,N
318,MTR018,2023-01-16,171.45,9.06,5.44,13.07,0.953,1,N
319,MTR019,2023-01-16,41956.97,2205.57,1252.41,2505.56,0.989,1,N
320,MTR020,2023-01-16,169.59,8.4,5.87,13.67,0.947,1,N
321,MTR001,2023-01-17,8780.7,411.8,367.66,1701.29,,1,N
322,MTR002,2023-01-17,3359.71,161.42,129.15,194.46,0.919,1,N
323,MTR003,2023-01-17,10685.27,516.79,369.54,726.78,0.922,1,N
324,MTR004,2023-01-17,973.57,49.03,39.36,82.7,0.856,1,N
325,MTR005,2023-01-17,10877.84,508.12,382.91,914.85,0.9,1,N
326,MTR006,2023-01-17,2313.58,118.02,72.12,241.46,0.904,1,N
327,MTR007,2023-01-17,9020.58,414.36,376.62,1201.59,0.933,1,N
328,MTR008,2023-01-17,521.49,25.15,17.46,127.6,0.868,1,N
329,MTR009,2023-01-17,14757.6,712.52,428.55,2439.87,0.929,1,N
330,MTR010,2023-01-17,344.38,16.68,13.8,41.03,0.945,1,N
331,MTR011,2023-01-17,9667.04,451.83,313.14,2164.29,0.86,1,N
332,MTR012,2023-01-17,1072.45,54.68,37.81,152.09,0.962,1,N
333,MTR013,2023-01-17,3969.7,202.03,142.75,198.62,0.863,1,N
334,MTR014,2023-01-17,1161.15,53.26,38.81,70.66,0.881,1,N
335,MTR015,2023-01-17,406.53,22.03,11.8,38.36,0.898,1,N
336,MTR016,2023-01-17,106.81,5.73,4.5,20.65,,1,N
337,MTR017,2023-01-17,16145.11,773.71,575.56,2145.59,0.98,1,N
338,MTR018,2023-01-17,192.07,10.36,5.67,29.98,0.857,1,N
339,MTR019,2023-01-17,42723.67,2103.14,1429.24,3233.17,0.904,1,N
340,MTR020,2023-01-17,187.12,8.89,6.05,45.42,0.986,1,N
341,MTR001,2023-01-18,8659.5,403.84,256.03,2053.19,0.939,1,N
342,MTR002,2023-01-18,3408.63,156.12,109.22,643.76,,1,N
343,MTR003,2023-01-18,11150.04,521.87,375.43,2446.99,0.963,1,Y
344,MTR004,2023-01-18,950.11,50.96,31.96,95.12,0.968,1,N
345,MTR005,2023-01-18,10745.48,512.72,289.96,2132.79,0.929,1,N
346,MTR006,2023-01-18,2278.22,116.53,58.88,558.54,0.894,1,Y
347,MTR007,2023-01-18,8704.33,402.12,249.21,1562.66,0.956,1,N
348,MTR008,2023-01-18,590.2,28.47,23.74,50.02,0.922,1,N
349,MTR009,2023-01-18,14970.25,718.38,587.78,1208.71,,1,N
350,MTR010,2023-01-18,364.82,18.77,10.91,41.43,0.881,1,N
351,MTR011,2023-01-18,9327.7,494.75,352.34,1139.47,0.881,1,N
352,MTR012,2023-01-18,1077.81,52.13,41.08,248.87,0.936,1,N
353,MTR013,2023-01-18,4077.82,202.26,150.72,947.14,0.965,1,N
354,MTR014,2023-01-18,1196.44,59.66,37.37,99.88,0.984,1,Y
355,MTR015,2023-01-18,361.03,18.33,12.6,56.88,0.948,1,N
356,MTR016,2023-01-18,114.44,5.77,4.39,7.73,0.858,1,N
357,MTR017,2023-01-18,15908.2,806.21,611.48,2937.6,0.925,1,N
