RESULT_ID,PROMOTION_ID,PRODUCT_ID,CHANNEL_ID,YEAR_MONTH,SALES_QTY,SALES_AMOUNT,DISCOUNT_AMOUNT,UPLIFT_PCT
PRS00132,PRM011,PRD013,CH002,2026-01,171,2116296,380933,11.3
PRS00133,PRM011,PRD014,CH002,2026-01,93,3364368,605586,46.2
PRS00134,PRM011,PRD016,CH002,2026-01,127,3385312,609356,21.2
PRS00135,PRM011,PRD017,CH002,2026-01,18,342720,61690,-60.5
PRS00136,PRM011,PRD018,CH002,2026-01,138,2890272,520249,27.1
PRS00137,PRM011,PRD019,CH002,2026-01,86,2865520,515794,33.1
PRS00138,PRM011,PRD020,CH002,2026-01,85,1942080,349574,-50.2
PRS00139,PRM012,PRD001,CH001,2026-03,184,3913067,782613,25.2
PRS00140,PRM012,PRD002,CH001,2026-03,105,1827000,365400,-32.7
PRS00141,PRM012,PRD003,CH001,2026-03,177,5475200,1095040,-5.1
PRS00142,PRM012,PRD004,CH001,2026-03,164,3963333,792667,26.3
PRS00143,PRM012,PRD005,CH001,2026-03,133,5785500,1157100,43.1
PRS00144,PRM012,PRD006,CH001,2026-03,99,5263500,1052700,49.7
PRS00145,PRM012,PRD008,CH001,2026-03,218,2528800,505760,10.4
PRS00146,PRM012,PRD009,CH001,2026-03,193,2798500,559700,17.5
PRS00147,PRM012,PRD010,CH001,2026-03,440,3402667,680533,46.3
PRS00148,PRM012,PRD012,CH001,2026-03,173,2675733,535147,0.0
PRS00149,PRM012,PRD013,CH001,2026-03,206,2588733,517747,7.6
PRS00150,PRM012,PRD014,CH001,2026-03,118,4334533,866907,52.8
PRS00151,PRM012,PRD016,CH001,2026-03,155,4195333,839067,17.1
PRS00152,PRM012,PRD018,CH001,2026-03,193,4104467,820893,46.6
PRS00153,PRM012,PRD019,CH001,2026-03,132,4466000,893200,60.3
PRS00154,PRM012,PRD020,CH001,2026-03,108,2505600,501120,-44.2
PRS00155,PRM013,PRD016,CH005,2026-04,38,744,164,59.9
PRS00156,PRM013,PRD018,CH005,2026-04,47,711,156,97.3
PRS00157,PRM013,PRD019,CH005,2026-04,37,889,196,182.1
PRS00158,PRM013,PRD020,CH005,2026-04,23,368,81,-33.0
PRS00159,PRM014,PRD001,CH003,2026-06,106,2250380,675114,14.5
PRS00160,PRM014,PRD002,CH003,2026-06,242,4203540,1261062,108.1
PRS00161,PRM014,PRD003,CH003,2026-06,68,2099840,629952,-35.7
PRS00162,PRM014,PRD004,CH003,2026-06,123,2967375,890212,41.9
PRS00163,PRM014,PRD005,CH003,2026-06,105,4559625,1367888,82.5
PRS00164,PRM014,PRD006,CH003,2026-06,101,5360575,1608172,159.4
PRS00165,PRM014,PRD008,CH003,2026-06,165,1910700,573210,28.1
PRS00166,PRM014,PRD009,CH003,2026-06,188,2721300,816390,87.1
PRS00167,PRM014,PRD010,CH003,2026-06,144,1111680,333504,-27.4
PRS00168,PRM014,PRD012,CH003,2026-06,131,2022640,606792,17.7
PRS00169,PRM014,PRD013,CH003,2026-06,147,1844115,553234,17.6
PRS00170,PRM014,PRD014,CH003,2026-06,117,4290390,1287117,137.7
PRS00171,PRM014,PRD016,CH003,2026-06,113,3053260,915978,33.0
PRS00172,PRM014,PRD018,CH003,2026-06,149,3163270,948981,78.1
PRS00173,PRM014,PRD019,CH003,2026-06,125,4221875,1266562,154.1
PRS00174,PRM014,PRD020,CH003,2026-06,580,13432800,4029840,498.3
