ORDER_ID,PRODUCT_ID,SUPPLIER_ID,ORDER_DATE,EXPECTED_DATE,QTY,UNIT_COST,STATUS
ORD00118,PRD001,SUP001,2025-10-03,2025-10-17,500,9400,DELIVERED
ORD00119,PRD002,SUP004,2025-10-03,2025-10-13,200,7100,DELIVERED
ORD00120,PRD004,SUP005,2025-10-03,2025-10-15,400,9400,DELIVERED
ORD00121,PRD005,SUP008,2025-10-03,2025-10-18,500,20000,DELIVERED
ORD00122,PRD006,SUP010,2025-10-03,2025-10-23,600,20500,DELIVERED
ORD00123,PRD008,SUP006,2025-10-03,2025-10-12,300,4400,DELIVERED
ORD00124,PRD009,SUP006,2025-10-03,2025-10-12,300,6500,DELIVERED
ORD00125,PRD010,SUP003,2025-10-03,2025-11-02,1000,2900,DELIVERED
ORD00126,PRD011,SUP006,2025-10-03,2025-10-12,300,5400,DELIVERED
ORD00127,PRD014,SUP007,2025-10-03,2025-10-31,800,15000,DELIVERED
ORD00128,PRD018,SUP005,2025-10-03,2025-10-15,400,9200,DELIVERED
ORD00129,PRD001,SUP001,2025-11-03,2025-11-17,500,8600,DELIVERED
ORD00130,PRD003,SUP001,2025-11-03,2025-11-17,500,12400,DELIVERED
ORD00131,PRD004,SUP005,2025-11-03,2025-11-15,400,10200,DELIVERED
ORD00132,PRD006,SUP010,2025-11-03,2025-11-23,600,22500,DELIVERED
ORD00133,PRD008,SUP006,2025-11-03,2025-11-12,300,5300,DELIVERED
ORD00134,PRD009,SUP006,2025-11-03,2025-11-12,300,5400,DELIVERED
ORD00135,PRD011,SUP006,2025-11-03,2025-11-12,300,5900,DELIVERED
ORD00136,PRD013,SUP009,2025-11-03,2025-11-11,250,5700,DELIVERED
ORD00137,PRD019,SUP007,2025-11-03,2025-12-01,800,12500,DELIVERED
ORD00138,PRD020,SUP004,2025-11-03,2025-11-13,200,8800,DELIVERED
ORD00139,PRD001,SUP001,2025-12-03,2025-12-17,500,7900,DELIVERED
ORD00140,PRD003,SUP001,2025-12-03,2025-12-17,500,11600,DELIVERED
ORD00141,PRD004,SUP005,2025-12-03,2025-12-15,400,10300,DELIVERED
ORD00142,PRD005,SUP008,2025-12-03,2025-12-18,500,19600,DELIVERED
ORD00143,PRD006,SUP010,2025-12-03,2025-12-23,600,22200,DELIVERED
ORD00144,PRD009,SUP006,2025-12-03,2025-12-12,300,6400,DELIVERED
ORD00145,PRD010,SUP003,2025-12-03,2026-01-02,1900,2900,DELIVERED
ORD00146,PRD011,SUP006,2025-12-03,2025-12-12,300,5500,DELIVERED
ORD00147,PRD014,SUP007,2025-12-03,2025-12-31,800,14000,DELIVERED
ORD00148,PRD016,SUP003,2025-12-03,2026-01-10,1000,10600,DELAYED
ORD00149,PRD017,SUP005,2025-12-03,2025-12-15,400,7100,DELIVERED
ORD00150,PRD001,SUP001,2026-01-03,2026-01-17,500,8400,DELIVERED
ORD00151,PRD002,SUP004,2026-01-03,2026-01-13,200,7800,DELIVERED
ORD00152,PRD003,SUP001,2026-01-03,2026-01-17,500,14200,DELIVERED
ORD00153,PRD005,SUP008,2026-01-03,2026-01-18,500,19300,DELIVERED
ORD00154,PRD006,SUP010,2026-01-03,2026-01-23,600,22200,DELIVERED
ORD00155,PRD008,SUP006,2026-01-03,2026-01-12,300,4300,DELIVERED
ORD00156,PRD012,SUP009,2026-01-03,2026-01-11,250,6300,DELIVERED
ORD00157,PRD014,SUP007,2026-01-03,2026-01-31,800,14900,DELIVERED
ORD00158,PRD016,SUP003,2026-01-03,2026-02-08,1000,11600,DELAYED
ORD00159,PRD017,SUP005,2026-01-03,2026-01-15,400,7800,DELIVERED
ORD00160,PRD018,SUP005,2026-01-03,2026-01-15,400,8700,DELIVERED
ORD00161,PRD019,SUP007,2026-01-03,2026-01-31,800,13300,DELIVERED
ORD00162,PRD002,SUP004,2026-02-03,2026-02-13,200,6600,DELIVERED
ORD00163,PRD003,SUP001,2026-02-03,2026-02-17,500,12200,DELIVERED
ORD00164,PRD004,SUP005,2026-02-03,2026-02-15,400,9100,DELIVERED
ORD00165,PRD005,SUP008,2026-02-03,2026-02-18,500,15800,DELIVERED
ORD00166,PRD006,SUP010,2026-02-03,2026-02-23,600,23900,DELIVERED
ORD00167,PRD009,SUP006,2026-02-03,2026-02-12,300,5900,DELIVERED
ORD00168,PRD010,SUP003,2026-02-03,2026-03-05,1900,3400,DELIVERED
ORD00169,PRD012,SUP009,2026-02-03,2026-02-11,250,6600,DELIVERED
ORD00170,PRD013,SUP009,2026-02-03,2026-02-11,250,4900,DELIVERED
ORD00171,PRD014,SUP007,2026-02-03,2026-03-03,800,14300,DELIVERED
ORD00172,PRD016,SUP003,2026-02-03,2026-03-10,1000,11400,DELAYED
ORD00173,PRD017,SUP005,2026-02-03,2026-02-15,400,9000,DELIVERED
ORD00174,PRD018,SUP005,2026-02-03,2026-02-15,400,9200,DELIVERED
ORD00175,PRD019,SUP007,2026-02-03,2026-03-03,800,13500,DELIVERED
ORD00176,PRD020,SUP004,2026-02-03,2026-02-13,200,10600,DELIVERED
ORD00177,PRD001,SUP001,2026-03-03,2026-03-17,500,8000,DELIVERED
ORD00178,PRD003,SUP001,2026-03-03,2026-03-17,500,13400,DELIVERED
ORD00179,PRD004,SUP005,2026-03-03,2026-03-15,400,9300,DELIVERED
ORD00180,PRD005,SUP008,2026-03-03,2026-03-18,500,17600,DELIVERED
ORD00181,PRD006,SUP010,2026-03-03,2026-03-23,600,20500,DELIVERED
ORD00182,PRD008,SUP006,2026-03-03,2026-03-12,300,5300,DELIVERED
ORD00183,PRD009,SUP006,2026-03-03,2026-03-12,300,5800,DELIVERED
ORD00184,PRD012,SUP009,2026-03-03,2026-03-11,250,6500,DELIVERED
ORD00185,PRD013,SUP009,2026-03-03,2026-03-11,250,4700,DELIVERED
ORD00186,PRD014,SUP007,2026-03-03,2026-03-31,800,15700,DELIVERED
ORD00187,PRD016,SUP003,2026-03-03,2026-04-11,1000,10800,DELAYED
ORD00188,PRD017,SUP005,2026-03-03,2026-03-15,400,7300,DELIVERED
ORD00189,PRD018,SUP005,2026-03-03,2026-03-15,400,7900,DELIVERED
ORD00190,PRD019,SUP007,2026-03-03,2026-04-08,800,15500,DELAYED
ORD00191,PRD020,SUP004,2026-03-05,2026-03-15,1500,9600,DELIVERED
ORD00192,PRD001,SUP001,2026-04-03,2026-04-17,500,7900,DELIVERED
ORD00193,PRD002,SUP004,2026-04-03,2026-04-13,200,6800,DELIVERED
ORD00194,PRD003,SUP001,2026-04-03,2026-04-17,500,12900,DELIVERED
ORD00195,PRD005,SUP008,2026-04-03,2026-04-18,500,17300,DELIVERED
ORD00196,PRD006,SUP010,2026-04-03,2026-04-23,600,24300,DELIVERED
ORD00197,PRD008,SUP006,2026-04-03,2026-04-12,300,5100,DELIVERED
ORD00198,PRD009,SUP006,2026-04-03,2026-04-12,300,5800,DELIVERED
ORD00199,PRD010,SUP003,2026-04-03,2026-05-03,1000,3500,DELIVERED
ORD00200,PRD012,SUP009,2026-04-03,2026-04-11,250,6000,DELIVERED
ORD00201,PRD016,SUP003,2026-04-03,2026-05-09,1000,11200,DELAYED
ORD00202,PRD018,SUP005,2026-04-03,2026-04-15,400,8100,DELIVERED
ORD00203,PRD001,SUP001,2026-05-03,2026-05-17,500,9900,DELIVERED
ORD00204,PRD002,SUP004,2026-05-03,2026-05-13,200,6900,DELIVERED
ORD00205,PRD003,SUP001,2026-05-03,2026-05-17,500,11700,DELIVERED
ORD00206,PRD005,SUP008,2026-05-03,2026-05-18,500,16100,DELIVERED
ORD00207,PRD006,SUP010,2026-05-03,2026-05-23,600,20500,DELIVERED
ORD00208,PRD009,SUP006,2026-05-03,2026-05-12,300,6600,DELIVERED
ORD00209,PRD012,SUP009,2026-05-03,2026-05-11,250,7100,DELIVERED
ORD00210,PRD013,SUP009,2026-05-03,2026-05-11,250,4800,DELIVERED
ORD00211,PRD014,SUP007,2026-05-03,2026-05-31,800,14400,DELIVERED
ORD00212,PRD016,SUP003,2026-05-03,2026-06-02,1000,12000,DELIVERED
ORD00213,PRD019,SUP007,2026-05-03,2026-05-31,800,12900,DELIVERED
ORD00214,PRD001,SUP001,2026-06-03,2026-06-17,500,7700,DELIVERED
ORD00215,PRD002,SUP004,2026-06-03,2026-06-13,200,6800,DELIVERED
ORD00216,PRD005,SUP008,2026-06-03,2026-06-18,500,16800,DELIVERED
ORD00217,PRD006,SUP010,2026-06-03,2026-06-23,600,21100,DELIVERED
ORD00218,PRD010,SUP003,2026-06-03,2026-07-03,1000,3500,IN_TRANSIT
ORD00219,PRD012,SUP009,2026-06-03,2026-06-11,250,5700,DELIVERED
ORD00220,PRD013,SUP009,2026-06-03,2026-06-11,250,5100,DELIVERED
ORD00221,PRD014,SUP007,2026-06-03,2026-07-01,800,15100,IN_TRANSIT
ORD00222,PRD016,SUP003,2026-06-03,2026-07-09,1000,12000,IN_TRANSIT
ORD00223,PRD018,SUP005,2026-06-03,2026-06-15,400,8000,DELIVERED
ORD00224,PRD019,SUP007,2026-06-03,2026-07-07,800,13400,IN_TRANSIT
