TICKET_ID,PRODUCT_ID,CHANNEL_ID,RECEIVED_DATE,ISSUE_TYPE,SEVERITY,STATUS,RESOLVED_DATE,HANDLING_DAYS,COMPENSATION_AMOUNT
CS00099,PRD013,CH003,2025-10-11,품질불량,MEDIUM,RESOLVED,2025-10-13,2,0
CS00100,PRD008,CH003,2025-10-15,품질불량,MEDIUM,RESOLVED,2025-10-18,3,0
CS00101,PRD009,CH001,2025-10-16,품질불량,HIGH,RESOLVED,2025-10-26,10,56000
CS00102,PRD013,CH001,2025-10-17,품질불량,LOW,RESOLVED,2025-10-18,1,0
CS00103,PRD010,CH001,2025-10-18,품질불량,MEDIUM,RESOLVED,2025-10-21,3,0
CS00104,PRD010,CH003,2025-10-19,교환요청,MEDIUM,RESOLVED,2025-10-24,5,0
CS00105,PRD008,CH001,2025-10-24,사용법문의,LOW,RESOLVED,2025-10-25,1,0
CS00106,PRD001,CH001,2025-10-27,품질불량,HIGH,RESOLVED,2025-11-05,9,87000
CS00107,PRD004,CH002,2025-10-29,사용법문의,MEDIUM,RESOLVED,2025-11-03,5,0
CS00108,PRD003,CH001,2025-11-01,배송지연,MEDIUM,RESOLVED,2025-11-04,3,0
CS00109,PRD012,CH001,2025-11-08,품질불량,HIGH,RESOLVED,2025-11-14,6,45000
CS00110,PRD009,CH002,2025-11-09,교환요청,LOW,RESOLVED,2025-11-10,1,0
CS00111,PRD010,CH001,2025-11-10,품질불량,MEDIUM,RESOLVED,2025-11-15,5,0
CS00112,PRD003,CH002,2025-11-16,품질불량,HIGH,RESOLVED,2025-11-28,12,143000
CS00113,PRD010,CH002,2025-11-20,품질불량,HIGH,RESOLVED,2025-12-02,12,45000
CS00114,PRD004,CH001,2025-11-21,품질불량,MEDIUM,RESOLVED,2025-11-23,2,0
CS00115,PRD012,CH003,2025-11-25,품질불량,HIGH,RESOLVED,2025-12-05,10,34000
CS00116,PRD008,CH001,2025-11-26,파손,MEDIUM,RESOLVED,2025-11-29,3,0
CS00117,PRD010,CH003,2025-11-28,품질불량,LOW,RESOLVED,2025-11-30,2,0
CS00118,PRD008,CH002,2025-12-01,파손,LOW,RESOLVED,2025-12-03,2,0
CS00119,PRD013,CH002,2025-12-01,품질불량,MEDIUM,RESOLVED,2025-12-06,5,0
CS00120,PRD003,CH003,2025-12-06,배송지연,LOW,RESOLVED,2025-12-07,1,0
CS00121,PRD010,CH002,2025-12-06,품질불량,LOW,RESOLVED,2025-12-08,2,0
CS00122,PRD010,CH003,2025-12-08,파손,MEDIUM,RESOLVED,2025-12-12,4,0
CS00123,PRD010,CH001,2025-12-09,품질불량,HIGH,RESOLVED,2025-12-18,9,43000
CS00124,PRD009,CH001,2025-12-13,사용법문의,LOW,RESOLVED,2025-12-16,3,0
CS00125,PRD013,CH001,2025-12-13,교환요청,MEDIUM,RESOLVED,2025-12-19,6,0
CS00126,PRD012,CH002,2025-12-21,배송지연,MEDIUM,RESOLVED,2025-12-26,5,0
CS00127,PRD018,CH001,2025-12-21,사용법문의,HIGH,RESOLVED,2025-12-26,5,48000
CS00128,PRD010,CH004,2025-12-24,품질불량,LOW,RESOLVED,2025-12-27,3,0
CS00129,PRD001,CH001,2025-12-28,품질불량,MEDIUM,RESOLVED,2025-12-31,3,0
CS00130,PRD010,CH001,2026-01-01,품질불량,HIGH,RESOLVED,2026-01-10,9,42000
CS00131,PRD013,CH002,2026-01-01,품질불량,MEDIUM,RESOLVED,2026-01-05,4,0
CS00132,PRD003,CH001,2026-01-03,품질불량,HIGH,RESOLVED,2026-01-12,9,141000
CS00133,PRD016,CH003,2026-01-04,품질불량,HIGH,RESOLVED,2026-01-15,11,166000
CS00134,PRD010,CH002,2026-01-07,품질불량,HIGH,RESOLVED,2026-01-12,5,48000
CS00135,PRD009,CH002,2026-01-11,품질불량,MEDIUM,RESOLVED,2026-01-16,5,0
CS00136,PRD016,CH002,2026-01-12,품질불량,HIGH,RESOLVED,2026-01-19,7,192000
CS00137,PRD018,CH001,2026-01-14,품질불량,MEDIUM,RESOLVED,2026-01-17,3,0
CS00138,PRD016,CH001,2026-01-15,품질불량,HIGH,RESOLVED,2026-01-21,6,167000
CS00139,PRD003,CH003,2026-01-16,배송지연,LOW,RESOLVED,2026-01-18,2,0
CS00140,PRD003,CH002,2026-01-19,품질불량,MEDIUM,RESOLVED,2026-01-22,3,0
CS00141,PRD008,CH002,2026-01-19,파손,MEDIUM,RESOLVED,2026-01-22,3,0
CS00142,PRD010,CH001,2026-01-19,교환요청,MEDIUM,RESOLVED,2026-01-25,6,0
CS00143,PRD016,CH004,2026-01-19,품질불량,MEDIUM,RESOLVED,2026-01-22,3,0
CS00144,PRD010,CH003,2026-01-20,품질불량,LOW,RESOLVED,2026-01-21,1,0
CS00145,PRD008,CH001,2026-01-22,품질불량,HIGH,RESOLVED,2026-02-03,12,44000
CS00146,PRD009,CH003,2026-01-22,교환요청,MEDIUM,RESOLVED,2026-01-25,3,0
CS00147,PRD010,CH001,2026-01-26,품질불량,MEDIUM,RESOLVED,2026-02-01,6,0
CS00148,PRD001,CH001,2026-01-27,품질불량,HIGH,RESOLVED,2026-02-03,7,62000
CS00149,PRD016,CH001,2026-01-29,품질불량,HIGH,RESOLVED,2026-02-04,6,158000
CS00150,PRD009,CH001,2026-02-02,사용법문의,HIGH,RESOLVED,2026-02-10,8,46000
CS00151,PRD016,CH002,2026-02-03,품질불량,MEDIUM,RESOLVED,2026-02-09,6,0
CS00152,PRD003,CH003,2026-02-08,파손,MEDIUM,RESOLVED,2026-02-10,2,0
CS00153,PRD013,CH002,2026-02-10,품질불량,MEDIUM,RESOLVED,2026-02-15,5,0
CS00154,PRD010,CH001,2026-02-12,품질불량,MEDIUM,RESOLVED,2026-02-14,2,0
CS00155,PRD016,CH004,2026-02-12,사용법문의,LOW,RESOLVED,2026-02-13,1,0
CS00156,PRD016,CH001,2026-02-13,품질불량,MEDIUM,RESOLVED,2026-02-19,6,0
CS00157,PRD009,CH003,2026-02-17,품질불량,LOW,RESOLVED,2026-02-20,3,0
CS00158,PRD008,CH002,2026-02-19,사용법문의,MEDIUM,RESOLVED,2026-02-21,2,0
CS00159,PRD016,CH003,2026-02-21,품질불량,HIGH,RESOLVED,2026-02-26,5,103000
CS00160,PRD016,CH002,2026-02-27,품질불량,HIGH,RESOLVED,2026-03-10,11,166000
CS00161,PRD018,CH001,2026-03-02,배송지연,MEDIUM,RESOLVED,2026-03-05,3,0
CS00162,PRD008,CH001,2026-03-05,파손,HIGH,RESOLVED,2026-03-16,11,31000
CS00163,PRD016,CH002,2026-03-05,품질불량,LOW,RESOLVED,2026-03-07,2,0
CS00164,PRD016,CH001,2026-03-16,품질불량,HIGH,RESOLVED,2026-03-23,7,164000
CS00165,PRD001,CH001,2026-03-18,품질불량,MEDIUM,RESOLVED,2026-03-23,5,0
CS00166,PRD003,CH001,2026-03-19,품질불량,HIGH,RESOLVED,2026-03-25,6,61000
CS00167,PRD016,CH001,2026-03-22,품질불량,LOW,RESOLVED,2026-03-25,3,0
CS00168,PRD008,CH003,2026-03-28,품질불량,HIGH,RESOLVED,2026-04-07,10,32000
CS00169,PRD002,CH001,2026-03-30,품질불량,MEDIUM,RESOLVED,2026-04-01,2,0
CS00170,PRD016,CH001,2026-03-30,품질불량,MEDIUM,RESOLVED,2026-04-05,6,0
CS00171,PRD016,CH003,2026-03-31,품질불량,MEDIUM,RESOLVED,2026-04-03,3,0
CS00172,PRD004,CH002,2026-04-04,품질불량,LOW,RESOLVED,2026-04-05,1,0
CS00173,PRD004,CH001,2026-04-04,파손,MEDIUM,RESOLVED,2026-04-08,4,0
CS00174,PRD016,CH003,2026-04-05,품질불량,HIGH,RESOLVED,2026-04-14,9,157000
CS00175,PRD019,CH001,2026-04-05,품질불량,LOW,RESOLVED,2026-04-08,3,0
CS00176,PRD012,CH002,2026-04-08,파손,LOW,RESOLVED,2026-04-09,1,0
CS00177,PRD016,CH002,2026-04-11,품질불량,LOW,RESOLVED,2026-04-12,1,0
CS00178,PRD006,CH001,2026-04-13,교환요청,HIGH,RESOLVED,2026-04-25,12,163000
CS00179,PRD001,CH002,2026-04-14,품질불량,HIGH,RESOLVED,2026-04-25,11,20000
CS00180,PRD008,CH001,2026-04-17,파손,LOW,RESOLVED,2026-04-18,1,0
CS00181,PRD012,CH001,2026-04-18,품질불량,LOW,RESOLVED,2026-04-21,3,0
CS00182,PRD016,CH002,2026-04-18,품질불량,MEDIUM,RESOLVED,2026-04-22,4,0
CS00183,PRD016,CH004,2026-04-18,품질불량,HIGH,RESOLVED,2026-04-28,10,44000
CS00184,PRD009,CH001,2026-04-19,품질불량,HIGH,RESOLVED,2026-04-30,11,44000
CS00185,PRD016,CH001,2026-04-21,품질불량,LOW,RESOLVED,2026-04-24,3,0
CS00186,PRD014,CH002,2026-04-22,품질불량,HIGH,RESOLVED,2026-05-01,9,69000
CS00187,PRD009,CH003,2026-04-25,품질불량,HIGH,RESOLVED,2026-05-02,7,16000
CS00188,PRD010,CH001,2026-04-26,품질불량,LOW,RESOLVED,2026-04-28,2,0
CS00189,PRD018,CH001,2026-04-26,품질불량,MEDIUM,RESOLVED,2026-04-28,2,0
CS00190,PRD001,CH001,2026-04-28,품질불량,HIGH,RESOLVED,2026-05-04,6,30000
CS00191,PRD018,CH001,2026-05-04,파손,LOW,RESOLVED,2026-05-06,2,0
CS00192,PRD016,CH002,2026-05-06,품질불량,MEDIUM,RESOLVED,2026-05-11,5,0
CS00193,PRD016,CH002,2026-05-09,품질불량,LOW,RESOLVED,2026-05-11,2,0
CS00194,PRD001,CH001,2026-05-10,배송지연,LOW,RESOLVED,2026-05-12,2,0
CS00195,PRD018,CH002,2026-05-11,파손,LOW,RESOLVED,2026-05-12,1,0
CS00196,PRD010,CH002,2026-05-13,파손,LOW,RESOLVED,2026-05-14,1,0
CS00197,PRD019,CH002,2026-05-16,품질불량,HIGH,RESOLVED,2026-05-23,7,52000
CS00198,PRD001,CH002,2026-05-18,품질불량,MEDIUM,RESOLVED,2026-05-24,6,0
CS00199,PRD020,CH001,2026-05-18,품질불량,MEDIUM,RESOLVED,2026-05-22,4,0
CS00200,PRD013,CH001,2026-05-19,사용법문의,LOW,RESOLVED,2026-05-20,1,0
CS00201,PRD016,CH003,2026-05-20,품질불량,HIGH,RESOLVED,2026-05-27,7,92000
CS00202,PRD008,CH001,2026-05-25,품질불량,HIGH,RESOLVED,2026-06-02,8,40000
CS00203,PRD012,CH002,2026-05-25,품질불량,HIGH,RESOLVED,2026-06-06,12,40000
CS00204,PRD016,CH001,2026-05-26,품질불량,HIGH,RESOLVED,2026-06-06,11,164000
CS00205,PRD014,CH002,2026-05-27,품질불량,MEDIUM,RESOLVED,2026-05-31,4,0
CS00206,PRD019,CH001,2026-05-31,품질불량,HIGH,RESOLVED,2026-06-11,11,104000
CS00207,PRD010,CH003,2026-06-04,사용법문의,MEDIUM,RESOLVED,2026-06-09,5,0
CS00208,PRD010,CH002,2026-06-05,품질불량,MEDIUM,RESOLVED,2026-06-08,3,0
CS00209,PRD016,CH002,2026-06-05,품질불량,LOW,RESOLVED,2026-06-06,1,0
CS00210,PRD009,CH002,2026-06-07,품질불량,HIGH,RESOLVED,2026-06-15,8,24000
CS00211,PRD008,CH003,2026-06-08,사용법문의,MEDIUM,RESOLVED,2026-06-11,3,0
CS00212,PRD016,CH003,2026-06-08,품질불량,HIGH,RESOLVED,2026-06-18,10,181000
CS00213,PRD020,CH004,2026-06-08,파손,LOW,RESOLVED,2026-06-11,3,0
CS00214,PRD018,CH001,2026-06-09,교환요청,LOW,RESOLVED,2026-06-12,3,0
CS00215,PRD013,CH001,2026-06-10,교환요청,LOW,RESOLVED,2026-06-13,3,0
CS00216,PRD014,CH002,2026-06-10,품질불량,LOW,RESOLVED,2026-06-13,3,0
CS00217,PRD002,CH003,2026-06-11,배송지연,LOW,RESOLVED,2026-06-13,2,0
CS00218,PRD016,CH002,2026-06-11,품질불량,HIGH,RESOLVED,2026-06-19,8,102000
CS00219,PRD020,CH002,2026-06-13,파손,LOW,RESOLVED,2026-06-15,2,0
CS00220,PRD014,CH003,2026-06-14,품질불량,MEDIUM,RESOLVED,2026-06-19,5,0
CS00221,PRD014,CH001,2026-06-15,품질불량,HIGH,RESOLVED,2026-06-25,10,66000
CS00222,PRD020,CH003,2026-06-16,품질불량,HIGH,RESOLVED,2026-06-27,11,199000
CS00223,PRD020,CH001,2026-06-16,품질불량,HIGH,RESOLVED,2026-06-26,10,86000
CS00224,PRD008,CH002,2026-06-17,품질불량,HIGH,RESOLVED,2026-06-23,6,25000
CS00225,PRD016,CH001,2026-06-17,배송지연,HIGH,RESOLVED,2026-06-26,9,62000
CS00226,PRD016,CH001,2026-06-18,품질불량,MEDIUM,RESOLVED,2026-06-24,6,0
CS00227,PRD013,CH003,2026-06-21,품질불량,LOW,RESOLVED,2026-06-24,3,0
CS00228,PRD016,CH001,2026-06-22,품질불량,LOW,RESOLVED,2026-06-23,1,0
CS00229,PRD005,CH001,2026-06-24,품질불량,HIGH,IN_PROGRESS,,,0
CS00230,PRD010,CH001,2026-06-24,품질불량,LOW,RESOLVED,2026-06-27,3,0
CS00231,PRD012,CH001,2026-06-25,교환요청,LOW,RESOLVED,2026-06-27,2,0
CS00232,PRD001,CH001,2026-06-30,품질불량,LOW,IN_PROGRESS,,,0
CS00233,PRD016,CH003,2026-06-30,배송지연,MEDIUM,IN_PROGRESS,,,0
CS00234,PRD019,CH002,2026-06-30,품질불량,HIGH,IN_PROGRESS,,,0
