RETURN_ID,PRODUCT_ID,CHANNEL_ID,RETURN_DATE,QTY,REASON,REFUND_AMOUNT
RET00055,PRD012,CH002,2025-03-25,3,단순변심,48000
RET00056,PRD015,CH002,2025-03-26,3,품질불량,30000
RET00057,PRD003,CH001,2025-03-27,5,단순변심,160000
RET00058,PRD003,CH003,2025-03-27,3,품질불량,96000
RET00059,PRD003,CH002,2025-03-28,3,품질불량,96000
RET00060,PRD004,CH002,2025-03-29,3,단순변심,75000
RET00061,PRD010,CH002,2025-03-31,5,단순변심,40000
RET00062,PRD016,CH002,2025-04-02,3,오배송,84000
RET00063,PRD008,CH001,2025-04-06,3,단순변심,36000
RET00064,PRD013,CH001,2025-04-06,5,단순변심,65000
RET00065,PRD011,CH001,2025-04-07,3,단순변심,42000
RET00066,PRD008,CH002,2025-04-08,3,단순변심,36000
RET00067,PRD013,CH002,2025-04-08,3,오배송,39000
RET00068,PRD004,CH002,2025-04-09,3,기타,75000
RET00069,PRD013,CH003,2025-04-09,3,품질불량,39000
RET00070,PRD009,CH001,2025-04-10,3,단순변심,45000
RET00071,PRD016,CH001,2025-04-15,3,품질불량,84000
RET00072,PRD008,CH003,2025-04-16,3,품질불량,36000
RET00073,PRD018,CH001,2025-04-16,3,단순변심,66000
RET00074,PRD009,CH002,2025-04-21,3,단순변심,45000
RET00075,PRD012,CH001,2025-04-27,3,단순변심,48000
RET00076,PRD012,CH002,2025-04-27,3,기타,48000
RET00077,PRD001,CH001,2025-04-28,4,배송파손,88000
RET00078,PRD001,CH002,2025-04-28,3,단순변심,66000
RET00079,PRD004,CH001,2025-04-28,3,배송파손,75000
RET00080,PRD020,CH003,2025-05-01,3,배송파손,72000
RET00081,PRD009,CH001,2025-05-02,4,오배송,60000
RET00082,PRD008,CH001,2025-05-06,4,배송파손,48000
RET00083,PRD018,CH001,2025-05-06,3,단순변심,66000
RET00084,PRD020,CH002,2025-05-07,3,배송파손,72000
RET00085,PRD001,CH001,2025-05-08,3,단순변심,66000
RET00086,PRD013,CH002,2025-05-08,4,오배송,52000
RET00087,PRD013,CH001,2025-05-10,4,단순변심,52000
RET00088,PRD012,CH001,2025-05-12,4,품질불량,64000
RET00089,PRD004,CH001,2025-05-15,3,단순변심,75000
RET00090,PRD017,CH001,2025-05-15,3,오배송,60000
RET00091,PRD020,CH001,2025-05-15,4,단순변심,96000
RET00092,PRD002,CH001,2025-05-16,5,품질불량,90000
RET00093,PRD013,CH003,2025-05-16,3,단순변심,39000
RET00094,PRD008,CH002,2025-05-17,3,단순변심,36000
RET00095,PRD002,CH002,2025-05-18,3,기타,54000
RET00096,PRD016,CH001,2025-05-18,4,단순변심,112000
RET00097,PRD005,CH001,2025-05-20,3,단순변심,135000
RET00098,PRD009,CH002,2025-05-29,3,단순변심,45000
RET00099,PRD012,CH002,2025-05-31,3,단순변심,48000
RET00100,PRD016,CH002,2025-05-31,3,배송파손,84000
RET00101,PRD002,CH002,2025-06-01,7,단순변심,126000
RET00102,PRD008,CH001,2025-06-02,4,단순변심,48000
RET00103,PRD013,CH002,2025-06-06,4,배송파손,52000
RET00104,PRD020,CH002,2025-06-06,8,단순변심,192000
RET00105,PRD001,CH001,2025-06-07,4,단순변심,88000
RET00106,PRD002,CH003,2025-06-07,6,단순변심,108000
RET00107,PRD004,CH001,2025-06-09,4,품질불량,100000
RET00108,PRD012,CH001,2025-06-10,4,단순변심,64000
RET00109,PRD020,CH001,2025-06-10,9,품질불량,216000
RET00110,PRD002,CH001,2025-06-11,8,배송파손,144000
RET00111,PRD020,CH004,2025-06-12,3,오배송,72000
RET00112,PRD008,CH003,2025-06-15,4,품질불량,48000
RET00113,PRD013,CH003,2025-06-15,3,품질불량,39000
RET00114,PRD020,CH003,2025-06-15,7,배송파손,168000
RET00115,PRD001,CH002,2025-06-20,3,오배송,66000
RET00116,PRD008,CH002,2025-06-21,4,단순변심,48000
RET00117,PRD013,CH001,2025-06-26,5,단순변심,65000
RET00118,PRD009,CH001,2025-06-27,4,단순변심,60000
RET00119,PRD004,CH003,2025-06-28,3,배송파손,75000
RET00120,PRD009,CH002,2025-06-28,3,품질불량,45000
RET00121,PRD012,CH002,2025-06-28,3,단순변심,48000
RET00122,PRD016,CH002,2025-06-30,3,단순변심,84000
RET00123,PRD013,CH002,2025-07-02,3,단순변심,39000
RET00124,PRD016,CH001,2025-07-04,3,품질불량,84000
RET00125,PRD008,CH001,2025-07-07,3,단순변심,36000
RET00126,PRD001,CH002,2025-07-08,3,오배송,66000
RET00127,PRD002,CH003,2025-07-08,9,단순변심,162000
RET00128,PRD013,CH001,2025-07-09,4,단순변심,52000
RET00129,PRD001,CH001,2025-07-10,4,배송파손,88000
RET00130,PRD009,CH001,2025-07-10,3,단순변심,45000
RET00131,PRD009,CH002,2025-07-11,3,단순변심,45000
RET00132,PRD002,CH001,2025-07-12,6,단순변심,108000
RET00133,PRD004,CH001,2025-07-12,3,단순변심,75000
RET00134,PRD008,CH003,2025-07-12,3,오배송,36000
RET00135,PRD009,CH003,2025-07-12,3,품질불량,45000
RET00136,PRD012,CH001,2025-07-15,4,단순변심,64000
RET00137,PRD018,CH001,2025-07-15,3,단순변심,66000
RET00138,PRD020,CH001,2025-07-15,6,단순변심,144000
RET00139,PRD012,CH002,2025-07-16,4,단순변심,64000
RET00140,PRD013,CH003,2025-07-16,3,단순변심,39000
RET00141,PRD008,CH002,2025-07-18,3,품질불량,36000
RET00142,PRD002,CH002,2025-07-23,11,배송파손,198000
RET00143,PRD020,CH002,2025-07-26,6,단순변심,144000
RET00144,PRD020,CH003,2025-07-26,6,품질불량,144000
RET00145,PRD002,CH001,2025-07-27,7,배송파손,126000
RET00146,PRD020,CH004,2025-07-28,3,배송파손,72000
RET00147,PRD004,CH002,2025-07-29,3,단순변심,75000
RET00148,PRD012,CH003,2025-07-30,3,품질불량,48000
RET00149,PRD001,CH001,2025-08-05,4,단순변심,88000
RET00150,PRD009,CH001,2025-08-05,4,단순변심,60000
RET00151,PRD020,CH002,2025-08-05,7,단순변심,168000
RET00152,PRD011,CH001,2025-08-06,3,단순변심,42000
RET00153,PRD010,CH001,2025-08-07,3,품질불량,24000
RET00154,PRD002,CH002,2025-08-09,9,배송파손,162000
RET00155,PRD020,CH001,2025-08-09,7,단순변심,168000
RET00156,PRD002,CH001,2025-08-10,9,품질불량,162000
RET00157,PRD013,CH002,2025-08-10,3,오배송,39000
RET00158,PRD013,CH001,2025-08-11,4,단순변심,52000
RET00159,PRD004,CH001,2025-08-14,4,배송파손,100000
RET00160,PRD008,CH002,2025-08-14,3,품질불량,36000
RET00161,PRD002,CH003,2025-08-16,9,단순변심,162000
RET00162,PRD013,CH003,2025-08-16,3,품질불량,39000
RET00163,PRD012,CH001,2025-08-21,5,품질불량,80000
RET00164,PRD018,CH001,2025-08-21,3,배송파손,66000
RET00165,PRD008,CH001,2025-08-22,6,단순변심,72000
RET00166,PRD016,CH001,2025-08-22,3,오배송,84000
RET00167,PRD020,CH004,2025-08-23,3,단순변심,72000
RET00168,PRD009,CH002,2025-08-27,3,기타,45000
RET00169,PRD008,CH003,2025-08-28,3,단순변심,36000
RET00170,PRD020,CH003,2025-08-28,5,배송파손,120000
RET00171,PRD002,CH001,2025-08-29,8,단순변심,144000
RET00172,PRD020,CH001,2025-08-29,6,단순변심,144000
RET00173,PRD012,CH002,2025-08-30,3,품질불량,48000
RET00174,PRD020,CH002,2025-09-02,4,단순변심,96000
RET00175,PRD013,CH001,2025-09-08,5,단순변심,65000
RET00176,PRD012,CH001,2025-09-09,4,단순변심,64000
RET00177,PRD020,CH003,2025-09-09,3,품질불량,72000
RET00178,PRD008,CH001,2025-09-12,4,품질불량,48000
RET00179,PRD018,CH002,2025-09-12,3,단순변심,66000
RET00180,PRD002,CH001,2025-09-13,6,오배송,108000
RET00181,PRD009,CH001,2025-09-13,3,오배송,45000
RET00182,PRD008,CH002,2025-09-14,4,오배송,48000
RET00183,PRD013,CH003,2025-09-14,3,단순변심,39000
RET00184,PRD009,CH002,2025-09-15,3,단순변심,45000
RET00185,PRD001,CH002,2025-09-16,3,단순변심,66000
RET00186,PRD012,CH002,2025-09-16,3,단순변심,48000
RET00187,PRD002,CH002,2025-09-17,4,기타,72000
RET00188,PRD002,CH003,2025-09-19,4,오배송,72000
RET00189,PRD001,CH001,2025-09-27,3,단순변심,66000
RET00190,PRD020,CH001,2025-09-27,5,단순변심,120000
RET00191,PRD013,CH002,2025-09-29,3,단순변심,39000
RET00192,PRD016,CH001,2025-09-30,3,배송파손,84000
RET00193,PRD003,CH002,2025-10-02,3,배송파손,96000
RET00194,PRD003,CH003,2025-10-03,3,오배송,96000
RET00195,PRD012,CH002,2025-10-03,3,단순변심,48000
RET00196,PRD013,CH003,2025-10-08,3,기타,39000
RET00197,PRD008,CH003,2025-10-13,3,단순변심,36000
RET00198,PRD009,CH001,2025-10-14,4,품질불량,60000
RET00199,PRD013,CH001,2025-10-14,4,품질불량,52000
RET00200,PRD010,CH001,2025-10-15,8,품질불량,64000
RET00201,PRD010,CH002,2025-10-15,6,단순변심,48000
RET00202,PRD010,CH003,2025-10-16,4,배송파손,32000
RET00203,PRD012,CH001,2025-10-16,5,단순변심,80000
RET00204,PRD008,CH001,2025-10-24,3,단순변심,36000
RET00205,PRD001,CH001,2025-10-27,4,품질불량,88000
RET00206,PRD004,CH002,2025-10-28,3,단순변심,75000
RET00207,PRD001,CH002,2025-10-29,3,단순변심,66000
RET00208,PRD003,CH001,2025-10-30,3,기타,96000
RET00209,PRD010,CH001,2025-11-01,8,단순변심,64000
RET00210,PRD008,CH003,2025-11-02,3,단순변심,36000
RET00211,PRD009,CH001,2025-11-02,3,오배송,45000
RET00212,PRD008,CH002,2025-11-05,3,단순변심,36000
RET00213,PRD010,CH002,2025-11-06,6,단순변심,48000
RET00214,PRD009,CH002,2025-11-07,3,오배송,45000
RET00215,PRD012,CH001,2025-11-07,4,품질불량,64000
RET00216,PRD013,CH001,2025-11-07,3,단순변심,39000
RET00217,PRD010,CH001,2025-11-08,8,품질불량,64000
RET00218,PRD001,CH002,2025-11-12,3,배송파손,66000
RET00219,PRD003,CH002,2025-11-15,6,품질불량,192000
RET00220,PRD013,CH003,2025-11-17,3,단순변심,39000
RET00221,PRD010,CH002,2025-11-19,6,품질불량,48000
RET00222,PRD018,CH001,2025-11-19,3,오배송,66000
RET00223,PRD003,CH003,2025-11-20,4,단순변심,128000
RET00224,PRD004,CH001,2025-11-21,3,품질불량,75000
RET00225,PRD012,CH003,2025-11-22,3,품질불량,48000
RET00226,PRD004,CH002,2025-11-24,3,단순변심,75000
RET00227,PRD008,CH001,2025-11-24,4,단순변심,48000
RET00228,PRD010,CH004,2025-11-24,5,단순변심,40000
RET00229,PRD001,CH001,2025-11-25,3,배송파손,66000
RET00230,PRD010,CH003,2025-11-25,11,품질불량,88000
RET00231,PRD013,CH002,2025-11-28,3,품질불량,39000
RET00232,PRD003,CH001,2025-11-30,6,기타,192000
RET00233,PRD008,CH002,2025-12-01,3,오배송,36000
RET00234,PRD008,CH003,2025-12-02,3,단순변심,36000
RET00235,PRD010,CH002,2025-12-04,6,기타,48000
RET00236,PRD010,CH002,2025-12-04,6,단순변심,48000
RET00237,PRD003,CH003,2025-12-05,4,오배송,128000
RET00238,PRD010,CH001,2025-12-06,7,단순변심,56000
RET00239,PRD010,CH003,2025-12-06,9,단순변심,72000
RET00240,PRD010,CH001,2025-12-08,6,단순변심,48000
RET00241,PRD013,CH001,2025-12-11,3,배송파손,39000
RET00242,PRD003,CH002,2025-12-12,5,단순변심,160000
RET00243,PRD009,CH001,2025-12-13,4,단순변심,60000
RET00244,PRD018,CH001,2025-12-19,3,단순변심,66000
RET00245,PRD012,CH002,2025-12-21,3,단순변심,48000
RET00246,PRD010,CH004,2025-12-23,4,품질불량,32000
RET00247,PRD012,CH001,2025-12-23,3,단순변심,48000
RET00248,PRD003,CH001,2025-12-26,7,기타,224000
RET00249,PRD001,CH001,2025-12-27,3,품질불량,66000
RET00250,PRD008,CH001,2025-12-29,5,단순변심,60000
RET00251,PRD010,CH001,2025-12-30,6,품질불량,48000
RET00252,PRD013,CH002,2025-12-31,3,단순변심,39000
RET00253,PRD009,CH001,2026-01-01,3,단순변심,45000
RET00254,PRD016,CH003,2026-01-02,7,품질불량,196000
RET00255,PRD003,CH001,2026-01-03,6,품질불량,192000
RET00256,PRD010,CH001,2026-01-04,6,단순변심,48000
RET00257,PRD010,CH002,2026-01-06,7,단순변심,56000
RET00258,PRD010,CH002,2026-01-07,7,품질불량,56000
RET00259,PRD016,CH002,2026-01-09,7,품질불량,196000
RET00260,PRD009,CH002,2026-01-10,4,단순변심,60000
RET00261,PRD012,CH002,2026-01-13,4,단순변심,64000
RET00262,PRD016,CH001,2026-01-13,6,품질불량,168000
RET00263,PRD018,CH001,2026-01-14,3,품질불량,66000
RET00264,PRD003,CH002,2026-01-16,6,단순변심,192000
RET00265,PRD003,CH003,2026-01-16,5,단순변심,160000
RET00266,PRD013,CH001,2026-01-16,3,단순변심,39000
RET00267,PRD016,CH004,2026-01-16,4,품질불량,112000
RET00268,PRD010,CH001,2026-01-17,6,배송파손,48000
RET00269,PRD010,CH003,2026-01-18,9,품질불량,72000
RET00270,PRD008,CH002,2026-01-19,4,오배송,48000
RET00271,PRD008,CH001,2026-01-22,4,품질불량,48000
RET00272,PRD009,CH003,2026-01-22,3,단순변심,45000
RET00273,PRD010,CH004,2026-01-23,5,배송파손,40000
RET00274,PRD001,CH001,2026-01-24,3,품질불량,66000
RET00275,PRD013,CH002,2026-01-24,3,오배송,39000
RET00276,PRD018,CH002,2026-01-25,3,단순변심,66000
RET00277,PRD010,CH001,2026-01-26,6,품질불량,48000
RET00278,PRD016,CH001,2026-01-26,6,품질불량,168000
RET00279,PRD012,CH001,2026-01-27,4,단순변심,64000
RET00280,PRD016,CH002,2026-01-31,8,품질불량,224000
RET00281,PRD009,CH001,2026-02-01,4,단순변심,60000
RET00282,PRD003,CH002,2026-02-04,4,단순변심,128000
RET00283,PRD009,CH002,2026-02-05,3,오배송,45000
RET00284,PRD003,CH003,2026-02-08,3,기타,96000
RET00285,PRD016,CH002,2026-02-08,7,배송파손,196000
RET00286,PRD013,CH002,2026-02-10,3,단순변심,39000
RET00287,PRD016,CH001,2026-02-10,6,품질불량,168000
RET00288,PRD016,CH004,2026-02-10,6,배송파손,168000
RET00289,PRD012,CH001,2026-02-11,4,단순변심,64000
RET00290,PRD010,CH001,2026-02-12,9,단순변심,72000
RET00291,PRD013,CH001,2026-02-12,3,단순변심,39000
RET00292,PRD003,CH001,2026-02-14,6,배송파손,192000
RET00293,PRD004,CH001,2026-02-14,3,단순변심,75000
RET00294,PRD009,CH003,2026-02-15,3,품질불량,45000
RET00295,PRD008,CH002,2026-02-17,3,기타,36000
RET00296,PRD008,CH001,2026-02-21,3,배송파손,36000
RET00297,PRD016,CH003,2026-02-21,10,품질불량,280000
RET00298,PRD010,CH003,2026-02-24,8,배송파손,64000
RET00299,PRD016,CH002,2026-02-24,7,품질불량,196000
RET00300,PRD018,CH002,2026-02-24,3,단순변심,66000
RET00301,PRD012,CH002,2026-02-25,3,배송파손,48000
RET00302,PRD010,CH002,2026-02-27,7,단순변심,56000
RET00303,PRD010,CH004,2026-02-27,3,배송파손,24000
RET00304,PRD016,CH001,2026-02-27,7,배송파손,196000
RET00305,PRD018,CH001,2026-02-27,3,단순변심,66000
RET00306,PRD016,CH004,2026-03-02,5,단순변심,140000
RET00307,PRD005,CH001,2026-03-03,3,단순변심,135000
RET00308,PRD003,CH002,2026-03-04,3,배송파손,96000
RET00309,PRD008,CH001,2026-03-04,4,단순변심,48000
RET00310,PRD016,CH002,2026-03-05,7,품질불량,196000
RET00311,PRD016,CH002,2026-03-05,7,배송파손,196000
RET00312,PRD008,CH002,2026-03-09,4,단순변심,48000
RET00313,PRD010,CH002,2026-03-11,6,단순변심,48000
RET00314,PRD010,CH001,2026-03-15,9,단순변심,72000
RET00315,PRD012,CH002,2026-03-15,3,배송파손,48000
RET00316,PRD016,CH001,2026-03-16,7,품질불량,196000
RET00317,PRD001,CH001,2026-03-18,5,단순변심,110000
RET00318,PRD013,CH001,2026-03-18,5,오배송,65000
RET00319,PRD003,CH001,2026-03-19,3,배송파손,96000
RET00320,PRD016,CH001,2026-03-19,7,품질불량,196000
RET00321,PRD010,CH003,2026-03-20,6,기타,48000
RET00322,PRD018,CH001,2026-03-21,4,단순변심,88000
RET00323,PRD008,CH003,2026-03-25,3,단순변심,36000
RET00324,PRD004,CH001,2026-03-26,3,기타,75000
RET00325,PRD009,CH002,2026-03-26,3,단순변심,45000
RET00326,PRD019,CH001,2026-03-26,3,단순변심,105000
RET00327,PRD009,CH003,2026-03-28,3,단순변심,45000
RET00328,PRD016,CH001,2026-03-28,7,품질불량,196000
RET00329,PRD016,CH003,2026-03-28,9,품질불량,252000
RET00330,PRD010,CH004,2026-03-29,3,단순변심,24000
RET00331,PRD002,CH001,2026-03-30,3,배송파손,54000
RET00332,PRD009,CH001,2026-03-30,5,단순변심,75000
RET00333,PRD012,CH001,2026-03-31,4,단순변심,64000
RET00334,PRD004,CH002,2026-04-01,3,단순변심,75000
RET00335,PRD008,CH003,2026-04-01,3,단순변심,36000
RET00336,PRD016,CH003,2026-04-02,11,품질불량,308000
RET00337,PRD019,CH001,2026-04-03,3,품질불량,105000
RET00338,PRD004,CH001,2026-04-04,3,단순변심,75000
RET00339,PRD012,CH002,2026-04-05,3,기타,48000
RET00340,PRD008,CH002,2026-04-08,3,오배송,36000
RET00341,PRD016,CH002,2026-04-08,6,품질불량,168000
RET00342,PRD001,CH002,2026-04-11,3,품질불량,66000
RET00343,PRD006,CH001,2026-04-12,3,배송파손,165000
RET00344,PRD016,CH001,2026-04-14,7,배송파손,196000
RET00345,PRD008,CH001,2026-04-16,5,단순변심,60000
RET00346,PRD016,CH002,2026-04-16,7,품질불량,196000
RET00347,PRD016,CH004,2026-04-16,5,품질불량,140000
RET00348,PRD012,CH001,2026-04-17,5,단순변심,80000
RET00349,PRD012,CH003,2026-04-17,3,배송파손,48000
RET00350,PRD009,CH001,2026-04-18,4,품질불량,60000
RET00351,PRD016,CH001,2026-04-19,6,품질불량,168000
RET00352,PRD009,CH002,2026-04-20,4,단순변심,60000
RET00353,PRD018,CH002,2026-04-21,3,단순변심,66000
RET00354,PRD005,CH001,2026-04-22,3,배송파손,135000
RET00355,PRD009,CH003,2026-04-22,3,품질불량,45000
RET00356,PRD014,CH002,2026-04-22,3,품질불량,114000
RET00357,PRD010,CH001,2026-04-23,3,단순변심,24000
RET00358,PRD013,CH001,2026-04-24,4,단순변심,52000
RET00359,PRD001,CH001,2026-04-25,3,품질불량,66000
RET00360,PRD018,CH001,2026-04-25,4,품질불량,88000
RET00361,PRD013,CH002,2026-04-26,4,단순변심,52000
RET00362,PRD009,CH002,2026-05-03,3,단순변심,45000
RET00363,PRD016,CH002,2026-05-03,6,품질불량,168000
RET00364,PRD018,CH001,2026-05-03,3,오배송,66000
RET00365,PRD012,CH001,2026-05-04,4,배송파손,64000
RET00366,PRD001,CH001,2026-05-07,3,단순변심,66000
RET00367,PRD016,CH002,2026-05-07,7,품질불량,196000
RET00368,PRD009,CH001,2026-05-08,4,단순변심,60000
RET00369,PRD018,CH002,2026-05-08,3,단순변심,66000
RET00370,PRD016,CH004,2026-05-09,5,단순변심,140000
RET00371,PRD010,CH002,2026-05-13,4,단순변심,32000
RET00372,PRD019,CH002,2026-05-14,3,품질불량,105000
RET00373,PRD020,CH002,2026-05-14,5,단순변심,120000
RET00374,PRD020,CH001,2026-05-15,7,배송파손,168000
RET00375,PRD001,CH002,2026-05-18,3,단순변심,66000
RET00376,PRD013,CH001,2026-05-19,4,단순변심,52000
RET00377,PRD013,CH003,2026-05-19,3,배송파손,39000
RET00378,PRD016,CH003,2026-05-20,10,품질불량,280000
RET00379,PRD010,CH001,2026-05-21,4,단순변심,32000
RET00380,PRD014,CH001,2026-05-22,3,단순변심,114000
RET00381,PRD008,CH001,2026-05-23,4,품질불량,48000
RET00382,PRD013,CH002,2026-05-23,3,단순변심,39000
RET00383,PRD016,CH001,2026-05-23,7,품질불량,196000
RET00384,PRD012,CH002,2026-05-25,3,품질불량,48000
RET00385,PRD005,CH001,2026-05-26,3,단순변심,135000
RET00386,PRD010,CH003,2026-05-26,3,단순변심,24000
RET00387,PRD014,CH002,2026-05-26,3,배송파손,114000
RET00388,PRD016,CH001,2026-05-28,6,배송파손,168000
RET00389,PRD019,CH001,2026-05-28,3,오배송,105000
RET00390,PRD020,CH003,2026-05-28,4,단순변심,96000
RET00391,PRD018,CH003,2026-05-29,3,단순변심,66000
RET00392,PRD008,CH002,2026-05-30,3,단순변심,36000
RET00393,PRD016,CH002,2026-06-02,6,품질불량,168000
RET00394,PRD010,CH003,2026-06-03,3,단순변심,24000
RET00395,PRD009,CH002,2026-06-05,4,품질불량,60000
RET00396,PRD010,CH002,2026-06-05,4,배송파손,32000
RET00397,PRD012,CH002,2026-06-05,3,배송파손,48000
RET00398,PRD020,CH004,2026-06-05,5,배송파손,120000
RET00399,PRD002,CH002,2026-06-07,5,단순변심,90000
RET00400,PRD008,CH003,2026-06-07,3,단순변심,36000
RET00401,PRD014,CH002,2026-06-07,3,품질불량,114000
RET00402,PRD013,CH001,2026-06-08,5,오배송,65000
RET00403,PRD016,CH003,2026-06-08,8,품질불량,224000
RET00404,PRD018,CH001,2026-06-09,4,단순변심,88000
RET00405,PRD002,CH003,2026-06-10,4,배송파손,72000
RET00406,PRD016,CH002,2026-06-10,7,품질불량,196000
RET00407,PRD020,CH002,2026-06-12,7,배송파손,168000
RET00408,PRD014,CH003,2026-06-13,3,품질불량,114000
RET00409,PRD016,CH004,2026-06-13,5,배송파손,140000
RET00410,PRD008,CH002,2026-06-14,3,품질불량,36000
RET00411,PRD002,CH001,2026-06-15,6,기타,108000
RET00412,PRD014,CH001,2026-06-15,4,품질불량,152000
RET00413,PRD019,CH001,2026-06-15,4,단순변심,140000
RET00414,PRD020,CH003,2026-06-15,11,품질불량,264000
RET00415,PRD016,CH001,2026-06-16,6,품질불량,168000
RET00416,PRD018,CH002,2026-06-16,3,배송파손,66000
RET00417,PRD020,CH001,2026-06-16,6,품질불량,144000
RET00418,PRD009,CH001,2026-06-17,4,배송파손,60000
RET00419,PRD016,CH001,2026-06-17,6,배송파손,168000
RET00420,PRD012,CH003,2026-06-18,3,단순변심,48000
RET00421,PRD013,CH003,2026-06-18,4,품질불량,52000
RET00422,PRD018,CH003,2026-06-19,3,단순변심,66000
RET00423,PRD016,CH001,2026-06-21,6,품질불량,168000
RET00424,PRD005,CH001,2026-06-22,3,품질불량,135000
RET00425,PRD010,CH001,2026-06-22,4,배송파손,32000
RET00426,PRD012,CH001,2026-06-23,3,배송파손,48000
RET00427,PRD020,CH001,2026-06-25,6,단순변심,144000
RET00428,PRD020,CH002,2026-06-25,7,기타,168000
RET00429,PRD001,CH001,2026-06-27,3,품질불량,66000
RET00430,PRD001,CH002,2026-06-27,3,기타,66000
RET00431,PRD008,CH001,2026-06-28,5,품질불량,60000
RET00432,PRD009,CH003,2026-06-28,4,단순변심,60000
RET00433,PRD020,CH001,2026-06-28,6,단순변심,144000
RET00434,PRD019,CH002,2026-06-29,4,품질불량,140000
RET00435,PRD013,CH002,2026-06-30,3,단순변심,39000
RET00436,PRD016,CH003,2026-06-30,8,배송파손,224000
